Player,Position,GP,GPG,APG,PPG,PlayerID
Aaron Dell,G,33,0.00,0.00,0.00,dellaa01
Aaron Ekblad,D,67,0.07,0.54,0.61,ekblaaa01
Aaron Ness,D,24,0.00,0.04,0.04,nessaa01
Adam Boqvist,D,41,0.10,0.22,0.32,boqviad01
Adam Brooks,C,7,0.00,0.43,0.43,brookad01
Adam Erne,LW,56,0.04,0.05,0.09,ernead01
Adam Fox,D,70,0.11,0.49,0.60,foxad01
Adam Gaudette,C,59,0.20,0.36,0.56,gaudead01
Adam Henrique,C,71,0.37,0.24,0.61,henriad01
Adam Johnson,C,7,0.14,0.14,0.29,johnsad01
Adam Larsson,D,49,0.02,0.10,0.12,larssad01
Adam Lowry,LW,49,0.08,0.12,0.20,lowryad01
Adam Pelech,D,38,0.03,0.21,0.24,pelecad01
Adam Werner,G,2,0.00,0.00,0.00,wernead01
Adin Hill,G,13,0.00,0.00,0.00,hillad01
Adrian Kempe,LW,69,0.16,0.30,0.46,kempead01
Alan Quine,C,9,0.11,0.00,0.11,quineal01
Alec Martinez,D,51,0.06,0.25,0.31,martial01
Aleksander Barkov,C,66,0.30,0.64,0.94,barkoal01
Aleksi Saarela,C,9,0.22,0.22,0.44,saareal01
Alex Biega,D,49,0.00,0.06,0.06,biegaal01
Alex Chiasson,RW,65,0.17,0.20,0.37,chiasal01
Alex DeBrincat,RW,70,0.26,0.39,0.64,debrial01
Alex Galchenyuk,C,59,0.14,0.27,0.41,galchal01
Alex Goligoski,D,70,0.06,0.40,0.46,goligal01
Alex Iafallo,C,70,0.24,0.37,0.61,iafalal01
Alex Killorn,C/LW,68,0.38,0.34,0.72,killoal01
Alex Lyon,G,3,0.00,0.00,0.00,lyonal01
Alex Nedeljkovic,G,4,0.00,0.00,0.00,nedelal01
Alex Ovechkin,LW,68,0.71,0.28,0.99,ovechal01
Alex Pietrangelo,D,70,0.23,0.51,0.74,pietral01
Alex Stalock,G,38,0.00,0.03,0.03,staloal01
Alex Tuch,RW,42,0.19,0.21,0.40,tuchal01
Alexandar Georgiev,G,34,0.00,0.03,0.03,georgal01
Alexander Edler,D,59,0.08,0.47,0.56,edleral01
Alexander Kerfoot,C,65,0.14,0.29,0.43,kerfoal01
Alexander Nylander,LW,65,0.15,0.25,0.40,nylanal01
Alexander Radulov,RW,60,0.25,0.32,0.57,radulal01
Alexander Steen,C,55,0.13,0.18,0.31,steenal01
Alexander True,F,12,0.00,0.33,0.33,trueal01
Alexander Volkov,RW,9,0.00,0.11,0.11,volkoal01
Alexander Wennberg,C,57,0.09,0.30,0.39,wennbal01
Alexander Yelesin,D,4,0.00,0.00,0.00,yelesal01
