Player,Position,GP,GPG,APG,PPG,PlayerID
Aaron Downey,RW,4,0.25,0.25,0.50,downeaa01
Aaron Johnson,D,38,0.08,0.13,0.21,johnsaa01
Aaron MacKenzie,D,5,0.00,0.00,0.00,mackeaa01
Aaron Rome,D,8,0.00,0.13,0.13,romeaa01
Aaron Voros,LW,54,0.15,0.15,0.30,vorosaa01
Aaron Ward,D,65,0.05,0.11,0.15,wardaa01
Adam Burish,RW,66,0.09,0.05,0.14,burisad01
Adam Foote,D,42,0.02,0.14,0.17,footead01
Adam Hall,RW,74,0.07,0.07,0.14,hallad01
Adam Mair,C,75,0.11,0.15,0.25,mairad01
Adam Pardy,D,60,0.02,0.15,0.17,pardyad01
Adrian Aucoin,D,81,0.12,0.30,0.42,aucoiad01
Al Montoya,G,5,0.00,0.00,0.00,montoal01
Aleš Hemský,RW,72,0.32,0.60,0.92,hemskal01
Aleš Kotalík,RW,75,0.27,0.31,0.57,kotalal01
Alex Auld,G,43,0.00,0.00,0.00,auldal01
Alex Frolov,LW,77,0.42,0.35,0.77,froloal01
Alex Goligoski,D,45,0.13,0.31,0.44,goligal01
Alex Henry,D,2,0.00,0.00,0.00,henryal01
Alex Kovalev,RW,78,0.33,0.50,0.83,kovalal01
Alex Ovechkin,LW,79,0.71,0.68,1.39,ovechal01
Alex Pietrangelo,D,8,0.00,0.13,0.13,pietral01
Alex Tanguay,LW,50,0.32,0.50,0.82,tangual01
Alexander Edler,D,80,0.13,0.34,0.46,edleral01
Alexander Nikulin,C,1,0.00,0.00,0.00,nikulal01
Alexander Semin,RW,62,0.55,0.73,1.27,seminal01
Alexander Steen,C,81,0.10,0.25,0.35,steenal01
Alexander Sulzer,D,2,0.00,0.00,0.00,sulzeal01
Alexandre Bolduc,C,7,0.00,0.14,0.14,boldual01
Alexandre Burrows,LW,82,0.34,0.28,0.62,burroal01
Alexandre Giroux,LW,12,0.08,0.08,0.17,giroual01
Alexandre Picard,D,47,0.13,0.17,0.30,picaral01
Alexandre Picard,LW,15,0.00,0.07,0.07,picaral02
Alexei Ponikarovsky,LW,82,0.28,0.46,0.74,ponikal01
Alexei Semenov,D,47,0.02,0.15,0.17,semenal01
