Player,Position,GP,GPG,APG,PPG,PlayerID
A.J. Greer,LW,61,0.08,0.11,0.20,greeraj01
Aaron Dell,G,4,0.00,0.00,0.00,dellaa01
Aaron Ekblad,D,71,0.20,0.34,0.54,ekblaaa01
Aatu Räty,C,15,0.13,0.07,0.20,ratyaa01
Adam Beckman,LW,9,0.00,0.00,0.00,beckmad01
Adam Boqvist,D,46,0.11,0.41,0.52,boqviad01
Adam Erne,LW,61,0.13,0.16,0.30,ernead01
Adam Fox,D,82,0.15,0.73,0.88,foxad01
Adam Ginning,D,1,0.00,0.00,0.00,ginniad01
Adam Henrique,C,62,0.35,0.26,0.61,henriad01
Adam Larsson,D,82,0.10,0.30,0.40,larssad01
Adam Lowry,LW,82,0.16,0.28,0.44,lowryad01
Adam Pelech,D,61,0.10,0.25,0.34,pelecad01
Adam Raška,RW,3,0.00,0.00,0.00,raskaad01
Adam Ružička,C,44,0.14,0.32,0.45,ruzicad01
Adin Hill,G,27,0.00,0.04,0.04,hillad01
Adrian Kempe,LW,82,0.50,0.32,0.82,kempead01
Aidan McDonough,LW,6,0.17,0.00,0.17,mcdonai01
Akira Schmid,G,18,0.00,0.00,0.00,schmiak01
Akito Hirose,D,7,0.00,0.43,0.43,hirosak01
Alec Martinez,D,77,0.04,0.14,0.18,martial01
Alec Regula,D,4,0.00,0.00,0.00,regulal01
Aleksander Barkov,C,68,0.34,0.81,1.15,barkoal01
Aleksi Heponiemi,C,10,0.10,0.20,0.30,heponal01
Alex Barré-Boulet,F,1,0.00,0.00,0.00,barreal01
Alex Belzile,F,31,0.19,0.26,0.45,belzial01
Alex Chiasson,RW,20,0.30,0.15,0.45,chiasal01
Alex DeBrincat,RW,82,0.33,0.48,0.80,debrial01
Alex Galchenyuk,C,11,0.00,0.00,0.00,galchal01
Alex Goligoski,D,46,0.04,0.09,0.13,goligal01
Alex Iafallo,C,59,0.24,0.37,0.61,iafalal01
Alex Killorn,C/LW,82,0.33,0.45,0.78,killoal01
Alex Lyon,G,15,0.00,0.00,0.00,lyonal01
Alex Nedeljkovic,G,15,0.00,0.00,0.00,nedelal01
Alex Newhook,C,82,0.17,0.20,0.37,newhoal01
Alex Ovechkin,LW,73,0.58,0.45,1.03,ovechal01
Alex Pietrangelo,D,73,0.15,0.59,0.74,pietral01
Alex Stalock,G,27,0.00,0.00,0.00,staloal01
Alex Steeves,F,3,0.00,0.00,0.00,steeval02
Alex Tuch,RW,74,0.49,0.58,1.07,tuchal01
Alex Turcotte,C,4,0.00,0.00,0.00,turcoal02
Alex Vlasic,D,6,0.00,0.17,0.17,vlasial01
Alexandar Georgiev,G,62,0.00,0.02,0.02,georgal01
Alexander Alexeyev,D,32,0.00,0.16,0.16,alexeal01
Alexander Barabanov,F,68,0.22,0.47,0.69,barabal01
Alexander Edler,D,64,0.03,0.14,0.17,edleral01
Alexander Holtz,RW,19,0.16,0.05,0.21,holtzal01
Alexander Kerfoot,C,82,0.12,0.27,0.39,kerfoal01
Alexander Nylander,LW,9,0.11,0.11,0.22,nylanal01
Alexander Romanov,D,76,0.03,0.26,0.29,romanal01
Alexander Wennberg,C,82,0.16,0.30,0.46,wennbal01
Alexandre Carrier,D,43,0.05,0.16,0.21,carrial01
Alexey Toropchenko,RW,69,0.14,0.13,0.28,toropal01
Alexis Lafrenière,LW,81,0.20,0.28,0.48,lafreal01
Aliaksei Protas,C,58,0.07,0.19,0.26,protaal01
Anders Bjork,LW,14,0.14,0.43,0.57,bjorkan01
Anders Lee,LW,82,0.34,0.27,0.61,leean01
André Burakovsky,LW,49,0.27,0.53,0.80,burakan01
Andreas Athanasiou,C,81,0.25,0.25,0.49,athanan01
Andreas Englund,D,47,0.00,0.09,0.09,engluan01
Andreas Johnsson,LW,13,0.00,0.23,0.23,johnsan01
Andrei Kuzmenko,F,81,0.48,0.43,0.91,kuzmean01
Andrei Svechnikov,RW,64,0.36,0.50,0.86,svechan01
Andrei Vasilevskiy,G,60,0.00,0.03,0.03,vasilan02
Andrew Agozzino,LW,4,0.25,0.50,0.75,agozzan01
