Player,Position,GP,GPG,APG,PPG,PlayerID
Aaron Downey,RW,42,0.07,0.10,0.17,downeaa01
Aaron Gavey,C,5,0.00,0.00,0.00,gaveyaa01
Aaron Johnson,D,26,0.08,0.23,0.31,johnsaa01
Aaron Miller,D,56,0.00,0.14,0.14,milleaa01
Aaron Ward,D,71,0.08,0.27,0.35,wardaa01
Adam Berkhoel,G,9,0.00,0.00,0.00,berkhad01
Adam Foote,D,65,0.09,0.25,0.34,footead01
Adam Hall,RW,75,0.19,0.20,0.39,hallad01
Adam Hauser,G,1,0.00,0.00,0.00,hausead01
Adam Mair,C,40,0.05,0.13,0.18,mairad01
Adam Munro,G,10,0.00,0.10,0.10,munroad01
Adrian Aucoin,D,33,0.03,0.15,0.18,aucoiad01
Aki Berg,D,75,0.00,0.11,0.11,bergak01
Alain Nasreddine,D,6,0.00,0.00,0.00,nasreal01
Aleš Hemský,RW,81,0.23,0.72,0.95,hemskal01
Aleš Kotalík,RW,82,0.30,0.45,0.76,kotalal01
Alex Auld,G,67,0.00,0.03,0.03,auldal01
Alex Frolov,LW,69,0.30,0.48,0.78,froloal01
Alex Henry,D,63,0.00,0.08,0.08,henryal01
Alex Kovalev,RW,69,0.33,0.61,0.94,kovalal01
Alex Ovechkin,LW,81,0.64,0.67,1.31,ovechal01
Alex Tanguay,LW,71,0.41,0.69,1.10,tangual01
Alexander Karpovtsev,D,6,0.00,0.00,0.00,karpoal01
Alexander Khavanov,D,64,0.09,0.09,0.19,khavaal01
Alexander Mogilny,RW,34,0.35,0.38,0.74,mogilal01
Alexander Perezhogin,RW,67,0.13,0.15,0.28,perezal01
Alexander Steen,C,75,0.24,0.36,0.60,steenal01
Alexander Suglobov,RW,3,0.33,0.00,0.33,sugloal01
Alexandre Burrows,LW,43,0.16,0.12,0.28,burroal01
Alexandre Daigle,RW,46,0.11,0.50,0.61,daiglal02
Alexandre Giroux,LW,1,0.00,0.00,0.00,giroual01
Alexandre Picard,LW,17,0.00,0.00,0.00,picaral02
Alexandre Picard,D,6,0.00,0.00,0.00,picaral01
Alexei Ponikarovsky,LW,81,0.26,0.21,0.47,ponikal01
Alexei Semenov,D,27,0.07,0.07,0.15,semenal01
Alexei Yashin,C,82,0.34,0.46,0.80,yashial01
Alexei Zhamnov,C,24,0.04,0.38,0.42,zhamnal01
Alexei Zhitnik,D,59,0.08,0.41,0.49,zhitnal01
Allan Rourke,D,6,0.00,0.17,0.17,rourkal01
Alyn McCauley,C,76,0.16,0.18,0.34,mccaual01
André Roy,LW,42,0.05,0.02,0.07,royan01
Andreas Lilja,D,82,0.02,0.16,0.18,liljaan01
Andrei Kostitsyn,RW,12,0.17,0.08,0.25,kostian01
Andrei Markov,D,67,0.15,0.54,0.69,markoan01
Andrei Nazarov,RW,2,0.00,0.00,0.00,nazaran01
Andrei Zyuzin,D,57,0.12,0.19,0.32,zyuzian01
Andrej Meszároš,D,82,0.12,0.35,0.48,meszaan01
Andrew Alberts,D,73,0.01,0.08,0.10,alberan01
Andrew Brunette,LW,82,0.29,0.48,0.77,brunean01
Andrew Cassels,C,31,0.13,0.26,0.39,cassean01
Andrew Ference,D,82,0.05,0.33,0.38,ferenan01
Andrew Hutchinson,D,36,0.08,0.22,0.31,hutchan01
Andrew Ladd,LW,29,0.21,0.17,0.38,laddan01
Andrew Peters,LW,28,0.00,0.00,0.00,peteran01
Andrew Raycroft,G,30,0.00,0.00,0.00,raycran01
Andy Delmore,D,7,0.00,0.00,0.00,delmoan01
Andy Hilbert,C,47,0.26,0.32,0.57,hilbean01
Andy McDonald,C,82,0.41,0.62,1.04,mcdonan01
Andy Roach,D,5,0.20,0.40,0.60,roachan01
Andy Sutton,D,76,0.11,0.22,0.33,suttoan01
Andy Wozniewski,D,13,0.00,0.08,0.08,woznian01
Anson Carter,RW,81,0.41,0.27,0.68,cartean01
Antero Niittymäki,G,46,0.00,0.02,0.02,niittan01
Anthony Stewart,C,10,0.20,0.10,0.30,stewaan01
Antoine Vermette,C,82,0.26,0.15,0.40,vermean01
Anton Babchuk,D,39,0.13,0.13,0.26,babchan01
Anton Volchenkov,D,75,0.05,0.17,0.23,volchan01
Antti Laaksonen,LW,81,0.20,0.22,0.42,laaksan01
Antti Miettinen,LW,79,0.14,0.25,0.39,miettan01
