Player,Position,GP,GPG,APG,PPG,PlayerID
A.J. Greer,LW,9,0.11,0.11,0.22,greeraj01
Aaron Dell,G,12,0.00,0.00,0.00,dellaa01
Aaron Ekblad,D,61,0.25,0.69,0.93,ekblaaa01
Adam Beckman,LW,3,0.00,0.33,0.33,beckmad01
Adam Boqvist,D,52,0.21,0.21,0.42,boqviad01
Adam Brooks,C,25,0.08,0.04,0.12,brookad01
Adam Erne,LW,79,0.08,0.16,0.24,ernead01
Adam Fox,D,78,0.14,0.81,0.95,foxad01
Adam Gaudette,C,58,0.09,0.16,0.24,gaudead01
Adam Henrique,C,58,0.33,0.40,0.72,henriad01
Adam Huska,G,1,0.00,0.00,0.00,huskaad01
Adam Larsson,D,82,0.10,0.21,0.30,larssad01
Adam Lowry,LW,79,0.16,0.10,0.27,lowryad01
Adam Pelech,D,78,0.04,0.32,0.36,pelecad01
Adam Raška,RW,5,0.00,0.00,0.00,raskaad01
Adam Ružička,C,28,0.18,0.18,0.36,ruzicad01
Adin Hill,G,25,0.00,0.08,0.08,hillad01
Adrian Kempe,LW,78,0.45,0.24,0.69,kempead01
Akira Schmid,G,6,0.00,0.00,0.00,schmiak01
Alec Martinez,D,26,0.12,0.19,0.31,martial01
Alec Regula,D,15,0.07,0.00,0.07,regulal01
Aleksander Barkov,C,67,0.58,0.73,1.31,barkoal01
Aleksi Heponiemi,C,6,0.00,0.17,0.17,heponal01
Alex Barré-Boulet,F,16,0.19,0.19,0.38,barreal01
Alex Belzile,F,11,0.00,0.00,0.00,belzial01
Alex Biega,D,2,0.00,0.00,0.00,biegaal01
Alex Chiasson,RW,67,0.19,0.13,0.33,chiasal01
Alex DeBrincat,RW,82,0.50,0.45,0.95,debrial01
Alex Formenton,LW,79,0.23,0.18,0.41,formeal01
Alex Galchenyuk,C,60,0.10,0.25,0.35,galchal01
Alex Goligoski,D,72,0.03,0.39,0.42,goligal01
Alex Iafallo,C,79,0.22,0.25,0.47,iafalal01
Alex Killorn,C/LW,82,0.30,0.41,0.72,killoal01
Alex Lyon,G,2,0.00,0.00,0.00,lyonal01
Alex Nedeljkovic,G,59,0.00,0.03,0.03,nedelal01
Alex Newhook,C,71,0.18,0.28,0.46,newhoal01
Alex Ovechkin,LW,77,0.65,0.52,1.17,ovechal01
Alex Pietrangelo,D,80,0.16,0.39,0.55,pietral01
Alex Stalock,G,1,0.00,0.00,0.00,staloal01
Alex Steeves,F,3,0.00,0.33,0.33,steeval02
Alex Tuch,RW,50,0.24,0.52,0.76,tuchal01
Alex Turcotte,C,8,0.00,0.00,0.00,turcoal02
Alex Vlasic,D,15,0.07,0.07,0.13,vlasial01
Alexandar Georgiev,G,33,0.00,0.00,0.00,georgal01
Alexander Alexeyev,D,1,0.00,0.00,0.00,alexeal01
Alexander Barabanov,F,70,0.14,0.41,0.56,barabal01
Alexander Edler,D,41,0.07,0.39,0.46,edleral01
Alexander Holtz,RW,9,0.00,0.22,0.22,holtzal01
Alexander Kerfoot,C,82,0.16,0.46,0.62,kerfoal01
Alexander Radulov,RW,71,0.06,0.25,0.31,radulal01
Alexander Romanov,D,79,0.04,0.13,0.16,romanal01
Alexander True,F,8,0.00,0.00,0.00,trueal01
Alexander Wennberg,C,80,0.14,0.33,0.46,wennbal01
Alexandre Carrier,D,77,0.04,0.35,0.39,carrial01
Alexandre Texier,C,36,0.31,0.25,0.56,texieal01
Alexey Toropchenko,RW,28,0.07,0.00,0.07,toropal01
Alexis Lafrenière,LW,79,0.24,0.15,0.39,lafreal01
Aliaksei Protas,C,33,0.09,0.18,0.27,protaal01
Anders Bjork,LW,58,0.09,0.05,0.14,bjorkan01
Anders Lee,LW,76,0.37,0.24,0.61,leean01
André Burakovsky,LW,80,0.28,0.49,0.76,burakan01
Andreas Athanasiou,C,28,0.39,0.21,0.61,athanan01
Andreas Johnsson,LW,71,0.18,0.31,0.49,johnsan01
Andrei Svechnikov,RW,78,0.38,0.50,0.88,svechan01
Andrei Vasilevskiy,G,63,0.00,0.02,0.02,vasilan02
Andrej Sekera,D,32,0.03,0.09,0.13,sekeran01
Andrej Šustr,D,38,0.03,0.13,0.16,sustran01
Andrew Agozzino,LW,1,0.00,0.00,0.00,agozzan01
Andrew Cogliano,LW/C,74,0.05,0.16,0.22,coglian01
Andrew Copp,C,72,0.29,0.44,0.74,coppan01
Andrew Hammond,G,11,0.00,0.00,0.00,hammoan01
Andrew Ladd,LW,51,0.14,0.10,0.24,laddan01
Andrew Mangiapane,LW,82,0.43,0.24,0.67,mangian01
Andrew Peeke,D,82,0.02,0.16,0.18,peekean01
Andrew Poturalski,C,2,0.00,1.00,1.00,poturan01
Andy Andreoff,LW,6,0.17,0.00,0.17,andrean01
Andy Greene,D,69,0.03,0.12,0.14,greenan01
Anthony Angello,C,4,0.00,0.00,0.00,angelan01
Anthony Beauvillier,LW,75,0.16,0.29,0.45,beauvan01
Anthony Cirelli,C,76,0.22,0.34,0.57,cirelan01
Anthony Duclair,LW,74,0.42,0.36,0.78,duclaan01
Anthony Greco,RW,1,0.00,0.00,0.00,grecoan01
Anthony Mantha,RW,37,0.24,0.38,0.62,manthan01
Anthony Stolarz,G,28,0.00,0.04,0.04,stolaan01
Antoine Roussel,LW,53,0.08,0.08,0.15,roussan01
Anton Blidh,LW,32,0.06,0.22,0.28,blidhan01
Anton Forsberg,G,46,0.00,0.00,0.00,forsban01
Anton Khudobin,G,9,0.00,0.00,0.00,khudoan01
