Player,Position,GP,GPG,APG,PPG,PlayerID
Aaron Gagnon,C,7,0.00,0.00,0.00,gagnoaa01
Aaron Johnson,D,56,0.05,0.23,0.29,johnsaa01
Aaron Ness,D,9,0.00,0.00,0.00,nessaa01
Aaron Palushaj,RW,38,0.03,0.11,0.13,palusaa01
Aaron Rome,D,43,0.09,0.14,0.23,romeaa01
Aaron Volpatti,RW,23,0.04,0.00,0.04,volpaaa01
Adam Burish,C,65,0.09,0.20,0.29,burisad01
Adam Cracknell,RW,2,0.50,0.00,0.50,crackad01
Adam Hall,RW,57,0.04,0.09,0.12,hallad01
Adam Henrique,C,74,0.22,0.47,0.69,henriad01
Adam Larsson,D,65,0.03,0.25,0.28,larssad01
Adam McQuaid,D,72,0.03,0.11,0.14,mcquaad01
Adam Pardy,D,36,0.00,0.08,0.08,pardyad01
Adrian Aucoin,D,64,0.03,0.11,0.14,aucoiad01
Akim Aliu,RW,2,1.00,0.50,1.50,aliuak01
Al Montoya,G,31,0.00,0.00,0.00,montoal01
Alec Martinez,D,51,0.12,0.12,0.24,martial01
Aleš Hemský,RW,69,0.14,0.38,0.52,hemskal01
Alex Auld,G,14,0.00,0.00,0.00,auldal01
Alex Goligoski,D,71,0.13,0.30,0.42,goligal01
Alex Ovechkin,LW,78,0.49,0.35,0.83,ovechal01
Alex Pietrangelo,D,81,0.15,0.48,0.63,pietral01
Alex Plante,D,3,0.00,0.33,0.33,plantal01
Alex Tanguay,LW,64,0.20,0.56,0.77,tangual01
Alexander Burmistrov,C,76,0.17,0.20,0.37,burmial01
Alexander Edler,D,82,0.13,0.46,0.60,edleral01
Alexander Radulov,RW,9,0.33,0.44,0.78,radulal01
Alexander Semin,LW,77,0.27,0.43,0.70,seminal01
Alexander Steen,C,43,0.35,0.30,0.65,steenal01
Alexander Sulzer,D,27,0.11,0.22,0.33,sulzeal01
Alexander Urbom,D,5,0.20,0.00,0.20,urbomal01
Alexandre Bolduc,C,2,0.00,0.00,0.00,boldual01
Alexandre Burrows,LW,80,0.35,0.30,0.65,burroal01
Alexandre Giroux,C,9,0.11,0.00,0.11,giroual01
Alexandre Picard,D,17,0.00,0.24,0.24,picaral01
Alexei Emelin,D,67,0.04,0.06,0.10,emelial01
Alexei Ponikarovsky,LW,82,0.17,0.23,0.40,ponikal01
Allen York,G,11,0.00,0.00,0.00,yorkal01
Anders Lindbäck,G,16,0.00,0.06,0.06,lindban01
Anders Nilsson,G,4,0.00,0.00,0.00,nilssan01
André Deveaux,C,9,0.00,0.11,0.11,deveaan01
Andre Petersson,RW,1,0.00,0.00,0.00,peteran02
Andreas Engqvist,C,12,0.00,0.00,0.00,engqvan01
Andreas Lilja,D,46,0.00,0.13,0.13,liljaan01
Andreas Nödl,RW,60,0.05,0.08,0.13,nodlan01
Andrei Kostitsyn,LW,72,0.22,0.28,0.50,kostian01
Andrei Loktionov,C,39,0.08,0.10,0.18,loktian01
Andrei Markov,D,13,0.00,0.23,0.23,markoan01
Andrej Meszároš,D,62,0.11,0.29,0.40,meszaan01
Andrej Sekera,D,69,0.04,0.14,0.19,sekeran01
Andrew Alberts,D,44,0.05,0.02,0.07,alberan01
Andrew Brunette,LW,78,0.15,0.19,0.35,brunean01
Andrew Cogliano,C,82,0.16,0.16,0.32,coglian01
Andrew Desjardins,C,76,0.05,0.17,0.22,desjaan01
Andrew Ebbett,C,18,0.28,0.06,0.33,ebbetan01
Andrew Ference,D,72,0.08,0.25,0.33,ferenan01
Andrew Gordon,RW,37,0.05,0.08,0.14,gordoan01
Andrew Joudrey,C,1,0.00,0.00,0.00,joudran01
Andrew Ladd,LW,82,0.34,0.27,0.61,laddan01
Andrew MacDonald,D,75,0.07,0.19,0.25,macdoan01
Andrew Murray,C,39,0.03,0.08,0.10,murraan01
Andrew Raycroft,G,10,0.00,0.00,0.00,raycran01
Andrew Shaw,C,37,0.32,0.30,0.62,shawan01
Andy Greene,D,56,0.02,0.27,0.29,greenan01
Andy McDonald,C,25,0.40,0.48,0.88,mcdonan01
