Player,Position,GP,GPG,APG,PPG,PlayerID
A.J. Greer,LW,5,0.00,0.20,0.20,greeraj01
Aaron Dell,G,20,0.00,0.00,0.00,dellaa01
Aaron Ekblad,D,68,0.15,0.16,0.31,ekblaaa01
Aaron Ness,D,2,0.00,0.00,0.00,nessaa01
Adam Clendening,D,31,0.06,0.29,0.35,clendad01
Adam Cracknell,RW,69,0.14,0.09,0.23,crackad01
Adam Erne,LW,26,0.12,0.00,0.12,ernead01
Adam Henrique,C,82,0.24,0.24,0.49,henriad01
Adam Larsson,D,79,0.05,0.19,0.24,larssad01
Adam Lowry,C,82,0.18,0.17,0.35,lowryad01
Adam McQuaid,D,77,0.03,0.10,0.13,mcquaad01
Adam Pardy,D,4,0.00,0.00,0.00,pardyad01
Adam Pelech,D,44,0.07,0.16,0.23,pelecad01
Adrian Kempe,LW,25,0.08,0.16,0.24,kempead01
Al Montoya,G,19,0.00,0.11,0.11,montoal01
Alan Quine,C,61,0.08,0.21,0.30,quineal01
Alec Martinez,D,82,0.11,0.37,0.48,martial01
Aleksander Barkov,C,61,0.34,0.51,0.85,barkoal01
Aleš Hemský,RW,15,0.27,0.20,0.47,hemskal01
Alex Biega,D,36,0.00,0.08,0.08,biegaal01
Alex Chiasson,RW,81,0.15,0.15,0.30,chiasal01
Alex Galchenyuk,C,61,0.28,0.44,0.72,galchal01
Alex Goligoski,D,82,0.07,0.37,0.44,goligal01
Alex Killorn,LW,81,0.23,0.21,0.44,killoal01
Alex Nedeljkovic,G,1,0.00,0.00,0.00,nedelal01
Alex Ovechkin,LW,82,0.40,0.44,0.84,ovechal01
Alex Pietrangelo,D,80,0.18,0.43,0.60,pietral01
Alex Stalock,G,2,0.00,0.00,0.00,staloal01
Alex Tuch,RW,6,0.00,0.00,0.00,tuchal01
Alexander Burmistrov,C,49,0.10,0.22,0.33,burmial01
Alexander Edler,D,68,0.09,0.22,0.31,edleral01
Alexander Nylander,RW,4,0.00,0.25,0.25,nylanal01
Alexander Petrovic,D,49,0.02,0.27,0.29,petroal01
Alexander Radulov,RW,76,0.24,0.47,0.71,radulal01
Alexander Steen,LW,76,0.21,0.46,0.67,steenal01
Alexander Wennberg,C,80,0.16,0.58,0.74,wennbal01
Alexandre Burrows,LW/RW,75,0.20,0.21,0.41,burroal01
Alexandre Carrier,D,2,0.00,0.00,0.00,carrial01
Alexandre Grenier,RW,3,0.00,0.00,0.00,grenial01
Alexei Emelin,D,76,0.03,0.11,0.13,emelial01
Alexey Marchenko,D,41,0.02,0.17,0.20,marchal01
Anders Lee,LW,81,0.42,0.22,0.64,leean01
Anders Nilsson,G,26,0.00,0.00,0.00,nilssan01
André Burakovsky,LW,64,0.19,0.36,0.55,burakan01
Andreas Athanasiou,C,64,0.28,0.17,0.45,athanan01
Andreas Englund,D,5,0.00,0.00,0.00,engluan01
Andreas Martinsen,LW,64,0.05,0.06,0.11,martian01
Andrei Markov,D,62,0.10,0.48,0.58,markoan01
Andrei Vasilevskiy,G,50,0.00,0.04,0.04,vasilan02
Andrej Nestrašil,C,19,0.05,0.21,0.26,nestran01
Andrej Sekera,D,80,0.10,0.34,0.44,sekeran01
Andrej Šustr,D,80,0.04,0.14,0.18,sustran01
Andrew Cogliano,LW,82,0.20,0.23,0.43,coglian01
Andrew Copp,C,64,0.14,0.13,0.27,coppan01
Andrew Desjardins,LW,46,0.00,0.02,0.02,desjaan01
Andrew Hammond,G,6,0.00,0.00,0.00,hammoan01
Andrew Ladd,LW,78,0.29,0.10,0.40,laddan01
Andrew MacDonald,D,73,0.03,0.22,0.25,macdoan01
Andrew Poturalski,C,2,0.00,0.00,0.00,poturan01
Andrew Shaw,C,68,0.18,0.25,0.43,shawan01
Andy Andreoff,LW,36,0.00,0.06,0.06,andrean01
Andy Greene,D,66,0.06,0.14,0.20,greenan01
Anthony Beauvillier,LW,66,0.14,0.23,0.36,beauvan01
Anthony Bitetto,D,29,0.00,0.24,0.24,bitetan01
Anthony Duclair,LW,58,0.09,0.17,0.26,duclaan01
Anthony Mantha,RW,60,0.28,0.32,0.60,manthan01
Anthony Stolarz,G,7,0.00,0.00,0.00,stolaan01
Antoine Bibeau,G,2,0.00,0.00,0.00,bibeaan01
Antoine Roussel,LW,60,0.20,0.25,0.45,roussan01
Antoine Vermette,C,72,0.13,0.26,0.39,vermean01
Anton Blidh,LW,19,0.05,0.05,0.11,blidhan01
Anton Forsberg,G,1,0.00,0.00,0.00,forsban01
Anton Khudobin,G,16,0.00,0.06,0.06,khudoan01
Anton Lander,C,22,0.05,0.14,0.18,landean01
Anton Lindholm,D,12,0.00,0.00,0.00,lindhan01
Anton Rodin,RW,3,0.00,0.33,0.33,rodinan01
Anton Slepyshev,LW,41,0.10,0.15,0.24,slepyan01
Anton Strålman,D,73,0.07,0.23,0.30,stralan01
Antti Niemi,G,37,0.00,0.00,0.00,niemian02
Antti Raanta,G,30,0.00,0.03,0.03,raantan01
Anže Kopitar,C,76,0.16,0.53,0.68,kopitan01
Artem Anisimov,C,64,0.34,0.36,0.70,anisiar01
Artemi Panarin,LW,82,0.38,0.52,0.90,panarar01
Artturi Lehkonen,LW,73,0.25,0.14,0.38,lehkoar01
Austin Czarnik,C,49,0.10,0.16,0.27,czarnau01
Austin Watson,LW,77,0.06,0.16,0.22,watsoau01
Auston Matthews,C,82,0.49,0.35,0.84,matthau01
Barclay Goodrow,RW,3,0.00,0.33,0.33,goodrba01
Beau Bennett,RW,65,0.12,0.17,0.29,bennebe01
Ben Bishop,G,39,0.00,0.00,0.00,bishobe01
Ben Chiarot,D,59,0.03,0.17,0.20,chiarbe01
Ben Harpur,D,6,0.00,0.00,0.00,harpube01
Ben Hutton,D,71,0.07,0.20,0.27,huttobe01
Ben Lovejoy,D,82,0.01,0.07,0.09,lovejbe01
Ben Smith,RW,40,0.05,0.05,0.10,smithbe01
Ben Street,C,6,0.00,0.17,0.17,streebe01
Ben Thomson,LW,3,0.00,0.00,0.00,thomsbe01
Benoît Pouliot,LW,67,0.12,0.09,0.21,poulibe01
Blake Coleman,C,23,0.04,0.04,0.09,colembl01
Blake Comeau,LW,77,0.10,0.16,0.26,comeabl01
Blake Pietila,LW,10,0.00,0.10,0.10,pietibl01
Blake Speers,C,3,0.00,0.00,0.00,speerbl01
Blake Wheeler,RW,82,0.32,0.59,0.90,wheelbl01
Bo Horvat,C,81,0.25,0.40,0.64,horvabo01
Bobby Farnham,RW,3,0.00,0.00,0.00,farnhbo01
Bobby Ryan,RW,62,0.21,0.19,0.40,ryanbo01
