Player,Position,GP,GPG,APG,PPG,PlayerID
Aaron Ness,D,20,0.05,0.10,0.15,nessaa01
Aaron Palushaj,RW,2,0.00,0.00,0.00,palusaa01
Aaron Rome,D,25,0.00,0.04,0.04,romeaa01
Aaron Volpatti,LW,41,0.05,0.00,0.05,volpaaa01
Adam Almqvist,D,2,0.50,0.00,0.50,almqvad01
Adam Burish,RW,15,0.00,0.00,0.00,burisad01
Adam Cracknell,RW,19,0.00,0.11,0.11,crackad01
Adam Hall,RW,80,0.05,0.06,0.11,hallad01
Adam Henrique,C,77,0.32,0.23,0.56,henriad01
Adam Larsson,D,26,0.04,0.08,0.12,larssad01
Adam McQuaid,D,30,0.03,0.17,0.20,mcquaad01
Adam Pardy,D,60,0.00,0.10,0.10,pardyad01
Adam Payerl,C,2,0.00,0.00,0.00,payerad01
Al Montoya,G,28,0.00,0.00,0.00,montoal01
Alec Martinez,D,61,0.18,0.18,0.36,martial01
Aleksander Barkov,C,54,0.15,0.30,0.44,barkoal01
Aleš Hemský,RW,75,0.17,0.40,0.57,hemskal01
Alex Chiasson,RW,79,0.16,0.28,0.44,chiasal01
Alex Galchenyuk,C,65,0.20,0.28,0.48,galchal01
Alex Goligoski,D,81,0.07,0.44,0.52,goligal01
Alex Grant,D,2,1.00,0.00,1.00,grantal01
Alex Killorn,C,82,0.21,0.29,0.50,killoal01
Alex Ovechkin,LW,78,0.65,0.36,1.01,ovechal01
Alex Pietrangelo,D,81,0.10,0.53,0.63,pietral01
Alex Stalock,G,24,0.00,0.00,0.00,staloal01
Alex Tanguay,LW,16,0.25,0.44,0.69,tangual01
Alexander Edler,D,63,0.11,0.24,0.35,edleral01
Alexander Khokhlachev,C,1,0.00,0.00,0.00,khokhal01
Alexander Petrovic,D,7,0.00,0.14,0.14,petroal01
Alexander Semin,RW,65,0.34,0.31,0.65,seminal01
Alexander Steen,LW,68,0.49,0.43,0.91,steenal01
Alexander Sulzer,D,25,0.00,0.08,0.08,sulzeal01
Alexander Urbom,D,20,0.05,0.05,0.10,urbomal01
Alexandre Burrows,LW,49,0.10,0.20,0.31,burroal01
Alexei Emelin,D,59,0.05,0.24,0.29,emelial01
Alexey Marchenko,D,1,0.00,0.00,0.00,marchal01
Anders Lee,C,22,0.41,0.23,0.64,leean01
Anders Lindbäck,G,23,0.00,0.00,0.00,lindban01
Anders Nilsson,G,19,0.00,0.00,0.00,nilssan01
André Benoit,D,79,0.09,0.27,0.35,benoian01
Andrei Loktionov,C,68,0.10,0.22,0.32,loktian01
Andrei Markov,D,81,0.09,0.44,0.53,markoan01
Andrej Meszároš,D,52,0.13,0.29,0.42,meszaan01
Andrej Sekera,D,74,0.15,0.45,0.59,sekeran01
