Player,Position,GP,GPG,APG,PPG,PlayerID
Aaron Downey,RW,56,0.00,0.05,0.05,downeaa01
Aaron Johnson,D,30,0.00,0.07,0.07,johnsaa01
Aaron Miller,D,57,0.02,0.14,0.16,milleaa01
Aaron Rome,D,17,0.06,0.06,0.12,romeaa01
Aaron Voros,LW,55,0.13,0.13,0.25,vorosaa01
Aaron Ward,D,65,0.08,0.12,0.20,wardaa01
Adam Berti,LW,2,0.00,0.00,0.00,bertiad01
Adam Burish,RW,81,0.05,0.05,0.10,burisad01
Adam Foote,D,75,0.01,0.20,0.21,footead01
Adam Hall,RW,46,0.04,0.09,0.13,hallad01
Adam Mair,C,72,0.07,0.17,0.24,mairad01
Adam Pineault,RW,3,0.00,0.00,0.00,pineaad01
Adrian Aucoin,D,76,0.13,0.33,0.46,aucoiad01
Alain Nasreddine,D,6,0.00,0.00,0.00,nasreal01
Aleš Hemský,RW,74,0.27,0.69,0.96,hemskal01
Aleš Kotalík,RW,79,0.29,0.25,0.54,kotalal01
Alex Auld,G,32,0.00,0.00,0.00,auldal01
Alex Foster,C,3,0.00,0.00,0.00,fosteal01
Alex Frolov,LW,71,0.32,0.62,0.94,froloal01
Alex Goligoski,D,3,0.00,0.67,0.67,goligal01
Alex Kovalev,RW,82,0.43,0.60,1.02,kovalal01
Alex Ovechkin,LW,82,0.79,0.57,1.37,ovechal01
Alex Tanguay,LW,78,0.23,0.51,0.74,tangual01
Alexander Edler,D,75,0.11,0.16,0.27,edleral01
Alexander Nikulin,C,2,0.00,0.00,0.00,nikulal01
Alexander Radulov,RW,81,0.32,0.40,0.72,radulal01
Alexander Semin,LW,63,0.41,0.25,0.67,seminal01
Alexander Steen,LW,76,0.20,0.36,0.55,steenal01
Alexandre Burrows,LW,82,0.15,0.23,0.38,burroal01
Alexandre Picard,D,24,0.13,0.13,0.25,picaral01
Alexandre Picard,LW,3,0.00,0.00,0.00,picaral02
Alexei Ponikarovsky,LW,66,0.27,0.26,0.53,ponikal01
Alexei Semenov,D,22,0.05,0.14,0.18,semenal01
Alexei Zhitnik,D,65,0.05,0.08,0.12,zhitnal01
Allan Rourke,D,13,0.00,0.00,0.00,rourkal01
Anders Eriksson,D,61,0.02,0.28,0.30,eriksan01
André Roy,RW,63,0.06,0.05,0.11,royan01
Andreas Karlsson,C,58,0.03,0.03,0.07,karlsan01
Andreas Lilja,D,79,0.03,0.13,0.15,liljaan01
