Player,Position,GP,GPG,APG,PPG,PlayerID
Aaron Ekblad,D,81,0.15,0.33,0.48,ekblaaa01
Aaron Volpatti,LW,2,0.00,0.00,0.00,volpaaa01
Adam Burish,RW,20,0.05,0.10,0.15,burisad01
Adam Clendening,D,21,0.05,0.14,0.19,clendad01
Adam Cracknell,RW,17,0.00,0.06,0.06,crackad01
Adam Henrique,C,75,0.21,0.36,0.57,henriad01
Adam Larsson,D,64,0.05,0.33,0.38,larssad01
Adam Lowry,LW,80,0.14,0.15,0.29,lowryad01
Adam McQuaid,D,63,0.02,0.10,0.11,mcquaad01
Adam Pardy,D,55,0.00,0.16,0.16,pardyad01
Al Montoya,G,20,0.00,0.00,0.00,montoal01
Alec Martinez,D,56,0.11,0.29,0.39,martial01
Aleksander Barkov,C,71,0.23,0.28,0.51,barkoal01
Aleš Hemský,RW,76,0.14,0.28,0.42,hemskal01
Alex Biega,D,7,0.14,0.00,0.14,biegaal01
Alex Chiasson,RW,76,0.14,0.20,0.34,chiasal01
Alex Galchenyuk,C,80,0.25,0.33,0.58,galchal01
Alex Goligoski,D,81,0.05,0.40,0.44,goligal01
Alex Killorn,C,71,0.21,0.32,0.54,killoal01
Alex Ovechkin,LW,81,0.65,0.35,1.00,ovechal01
Alex Pietrangelo,D,81,0.09,0.48,0.57,pietral01
Alex Stalock,G,22,0.00,0.00,0.00,staloal01
Alex Tanguay,LW,80,0.28,0.41,0.69,tangual01
Alexander Edler,D,74,0.11,0.31,0.42,edleral01
Alexander Khokhlachev,C,3,0.00,0.00,0.00,khokhal01
Alexander Petrovic,D,33,0.00,0.09,0.09,petroal01
Alexander Semin,RW,57,0.11,0.23,0.33,seminal01
Alexander Steen,LW,74,0.32,0.54,0.86,steenal01
Alexander Wennberg,C,68,0.06,0.24,0.29,wennbal01
Alexandre Bolduc,C,3,0.00,0.00,0.00,boldual01
Alexandre Burrows,RW,70,0.26,0.21,0.47,burroal01
Alexei Emelin,D,68,0.04,0.16,0.21,emelial01
Alexey Marchenko,D,13,0.08,0.08,0.15,marchal01
Anders Lee,C,76,0.33,0.21,0.54,leean01
Anders Lindbäck,G,26,0.00,0.04,0.04,lindban01
André Benoit,D,59,0.02,0.14,0.15,benoian01
André Burakovsky,LW,53,0.17,0.25,0.42,burakan01
Andrei Markov,D,81,0.12,0.49,0.62,markoan01
Andrei Vasilevskiy,G,16,0.00,0.00,0.00,vasilan02
Andrej Meszároš,D,60,0.12,0.12,0.23,meszaan01
Andrej Nestrašil,C,54,0.13,0.24,0.37,nestran01
Andrej Sekera,D,73,0.04,0.27,0.32,sekeran01
Andrej Šustr,D,72,0.00,0.18,0.18,sustran01
Andrew Agozzino,LW,1,0.00,1.00,1.00,agozzan01
Andrew Campbell,D,33,0.00,0.03,0.03,campban01
Andrew Cogliano,C,82,0.18,0.17,0.35,coglian01
Andrew Copp,C,1,0.00,1.00,1.00,coppan01
Andrew Desjardins,C,69,0.07,0.07,0.14,desjaan01
Andrew Ebbett,C,24,0.04,0.21,0.25,ebbetan01
Andrew Ference,D,70,0.04,0.16,0.20,ferenan01
Andrew Hammond,G,24,0.00,0.04,0.04,hammoan01
Andrew Ladd,LW,81,0.30,0.47,0.77,laddan01
Andrew MacDonald,D,58,0.03,0.17,0.21,macdoan01
Andrew MacWilliam,D,12,0.00,0.17,0.17,macwian01
Andrew Miller,C,9,0.11,0.56,0.67,millean01
Andrew Shaw,C,79,0.19,0.14,0.33,shawan01
Andrey Makarov,G,1,0.00,0.00,0.00,makaran01
Andy Andreoff,C,18,0.11,0.06,0.17,andrean01
Andy Greene,D,82,0.04,0.23,0.27,greenan01
Anthony Bitetto,D,7,0.00,0.00,0.00,bitetan01
Anthony Duclair,LW,18,0.06,0.33,0.39,duclaan01
Anthony Peluso,RW,49,0.02,0.02,0.04,pelusan01
Antoine Roussel,LW,80,0.16,0.15,0.31,roussan01
Antoine Vermette,C,82,0.16,0.30,0.46,vermean01
Anton Forsberg,G,5,0.00,0.00,0.00,forsban01
Anton Khudobin,G,34,0.00,0.00,0.00,khudoan01
Anton Lander,C,38,0.16,0.37,0.53,landean01
Anton Strålman,D,82,0.11,0.37,0.48,stralan01
Anton Volchenkov,D,46,0.00,0.15,0.15,volchan01
Antti Niemi,G,61,0.00,0.05,0.05,niemian02
Antti Raanta,G,14,0.00,0.00,0.00,raantan01
Anže Kopitar,C,79,0.20,0.61,0.81,kopitan01
Artem Anisimov,C,52,0.13,0.38,0.52,anisiar01
B.J. Crombeen,RW,58,0.05,0.05,0.10,crombbj01
Barclay Goodrow,RW,60,0.07,0.13,0.20,goodrba01
Barret Jackman,D,80,0.03,0.16,0.19,jackmba01
Beau Bennett,RW,49,0.08,0.16,0.24,bennebe01
Ben Bishop,G,62,0.00,0.06,0.06,bishobe01
Ben Chiarot,D,40,0.05,0.15,0.20,chiarbe01
Ben Lovejoy,D,60,0.03,0.20,0.23,lovejbe01
Ben Scrivens,G,57,0.00,0.02,0.02,scrivbe01
Ben Smith,RW,80,0.09,0.09,0.18,smithbe01
Ben Street,C,3,0.00,0.00,0.00,streebe01
Benoît Pouliot,LW,58,0.33,0.26,0.59,poulibe01
Blair Jones,C,4,0.00,0.00,0.00,jonesbl01
Blake Comeau,LW,61,0.26,0.25,0.51,comeabl01
Blake Wheeler,RW,79,0.33,0.44,0.77,wheelbl01
Bo Horvat,C,68,0.19,0.18,0.37,horvabo01
Bobby Farnham,RW,11,0.00,0.00,0.00,farnhbo01
Bobby Robins,C,3,0.00,0.00,0.00,robinbo01
Bobby Ryan,RW,78,0.23,0.46,0.69,ryanbo01
Bogdan Yakimov,C,1,0.00,0.00,0.00,yakimbo01
Boone Jenner,C,31,0.29,0.26,0.55,jennebo01
Borna Rendulic,RW,11,0.09,0.09,0.18,rendubo01
Boyd Gordon,C,68,0.09,0.10,0.19,gordobo01
Brad Boyes,RW,78,0.18,0.31,0.49,boyesbr01
Brad Hunt,D,11,0.09,0.18,0.27,huntbr01
Brad Malone,C,65,0.11,0.12,0.23,malonbr01
Brad Marchand,LW,77,0.31,0.23,0.55,marchbr03
Brad Richards,C,76,0.16,0.33,0.49,richabr01
Brad Richardson,RW,45,0.18,0.29,0.47,richabr02
Brad Stuart,D,65,0.05,0.15,0.20,stuarbr02
Braden Holtby,G,73,0.00,0.03,0.03,holtbbr01
Brandon Bollig,LW,62,0.02,0.06,0.08,bollibr01
Brandon Davidson,D,12,0.08,0.00,0.08,davidbr01
Brandon DeFazio,LW,2,0.00,0.00,0.00,defazbr01
Brandon Dubinsky,C,47,0.28,0.49,0.77,dubinbr01
Brandon Gormley,D,27,0.07,0.07,0.15,gormlbr01
Brandon Kozun,RW,20,0.10,0.10,0.20,kozunbr01
Brandon Manning,D,11,0.00,0.27,0.27,mannibr01
Brandon McMillan,C,58,0.02,0.05,0.07,mcmilbr01
Brandon Pirri,C,49,0.45,0.04,0.49,pirribr01
Brandon Prust,LW,82,0.05,0.17,0.22,prustbr01
Brandon Saad,LW,82,0.28,0.35,0.63,saadbr01
Brandon Sutter,C,80,0.26,0.15,0.41,suttebr03
Brayden McNabb,D,71,0.03,0.31,0.34,mcnabbr01
Brayden Schenn,C,82,0.22,0.35,0.57,schenbr01
Braydon Coburn,D,43,0.02,0.23,0.26,coburbr01
Brendan Gallagher,RW,82,0.29,0.28,0.57,gallabr01
Brendan Ranford,LW,1,0.00,0.00,0.00,ranfobr01
Brendan Shinnimin,C,12,0.00,0.08,0.08,shinnbr01
Brendan Smith,D,76,0.05,0.12,0.17,smithbr05
Brendan Woods,LW,2,0.00,0.00,0.00,woodsbr01
Brenden Dillon,D,80,0.03,0.10,0.13,dillobr01
Brenden Morrow,LW,70,0.04,0.07,0.11,morrobr01
Brent Burns,D,82,0.21,0.52,0.73,burnsbr01
Brent Seabrook,D,82,0.10,0.28,0.38,seabrbr01
Brett Bellemore,D,49,0.04,0.16,0.20,bellebr01
Brett Connolly,RW,55,0.22,0.09,0.31,connobr01
Brett Kulak,D,1,0.00,0.00,0.00,kulakbr01
Brett Ritchie,RW,31,0.19,0.10,0.29,ritchbr01
Brett Sutter,C,6,0.00,0.50,0.50,suttebr04
Brian Boyle,C,82,0.18,0.11,0.29,boylebr01
Brian Campbell,D,82,0.04,0.29,0.33,campbbr02
Brian Dumoulin,D,8,0.13,0.00,0.13,dumoubr01
Brian Elliott,G,46,0.00,0.07,0.07,elliobr01
Brian Ferlin,RW,7,0.00,0.14,0.14,ferlibr01
Brian Flynn,C,63,0.08,0.19,0.27,flynnbr01
Brian Gibbons,C,25,0.00,0.20,0.20,gibbobr02
Brian Gionta,RW,69,0.19,0.32,0.51,giontbr01
Brian Lashoff,D,11,0.00,0.18,0.18,lashobr01
Brian McGrattan,RW,8,0.00,0.00,0.00,mcgrabr01
Brian Strait,D,52,0.04,0.10,0.13,straibr01
Brock Nelson,C,82,0.24,0.27,0.51,nelsobr01
Brody Sutter,C,4,0.00,0.00,0.00,suttebr05
Brooks Laich,C,66,0.11,0.20,0.30,laichbr01
Brooks Orpik,D,78,0.00,0.24,0.24,orpikbr01
Bryan Allen,D,11,0.00,0.18,0.18,allenbr01
Bryan Bickell,LW,80,0.18,0.18,0.35,bickebr01
Bryan Lerg,C,2,0.50,0.00,0.50,lergbr01
Bryan Little,C,70,0.34,0.40,0.74,littlbr01
Bryan Rust,RW,14,0.07,0.07,0.14,rustbr01
Bryce Salvador,D,15,0.00,0.13,0.13,salvabr01
Cal Clutterbuck,RW,76,0.09,0.12,0.21,cluttca01
Calle Järnkrok,C,74,0.09,0.15,0.24,jarnkca01
Calvin de Haan,D,65,0.02,0.17,0.18,dehaaca01
Calvin Pickard,G,16,0.00,0.00,0.00,pickaca01
Cam Atkinson,RW,78,0.28,0.23,0.51,atkinca01
Cam Fowler,D,80,0.09,0.34,0.43,fowleca01
Cam Talbot,G,36,0.00,0.00,0.00,talboca01
Cam Ward,G,51,0.00,0.00,0.00,wardca01
Cameron Schilling,D,4,0.00,0.00,0.00,schilca01
Carey Price,G,66,0.00,0.02,0.02,priceca01
Carl Gunnarsson,D,61,0.03,0.16,0.20,gunnaca01
Carl Hagelin,LW,82,0.21,0.22,0.43,hagelca01
Carl Klingberg,LW,2,0.00,0.00,0.00,klingca01
Carl Söderberg,C,82,0.16,0.38,0.54,soderca01
Carlo Colaiacovo,D,33,0.06,0.18,0.24,colaica01
Carter Ashton,RW,7,0.00,0.00,0.00,ashtoca01
Carter Hutton,G,18,0.00,0.00,0.00,huttoca01
Casey Bailey,C,6,0.17,0.00,0.17,baileca01
Casey Cizikas,C,70,0.13,0.13,0.26,cizikca01
Cédric Paquette,C,64,0.19,0.11,0.30,paquece01
Chad Johnson,G,19,0.00,0.00,0.00,johnsch02
Chad Ruhwedel,D,4,0.00,0.25,0.25,ruhwech01
Charlie Coyle,C,82,0.13,0.29,0.43,coylech01
Chris Brown,C,5,0.20,0.00,0.20,brownch01
Chris Butler,D,33,0.09,0.18,0.27,butlech01
Chris Conner,RW,2,0.00,0.00,0.00,connech01
Chris Driedger,G,1,0.00,0.00,0.00,driedch01
Chris Higgins,LW,77,0.16,0.31,0.47,higgich01
Chris Kelly,C,80,0.09,0.26,0.35,kellych01
Chris Kreider,LW,80,0.26,0.31,0.58,kreidch01
Chris Kunitz,LW,74,0.23,0.31,0.54,kunitch01
Chris Mueller,C,7,0.14,0.14,0.29,muellch01
Chris Neil,RW,38,0.11,0.08,0.18,neilch01
Chris Phillips,D,36,0.00,0.08,0.08,phillch02
Chris Porter,LW,24,0.04,0.04,0.08,portech01
Chris Stewart,RW,81,0.17,0.27,0.44,stewach02
Chris Summers,D,20,0.00,0.15,0.15,summech01
Chris Tanev,D,70,0.03,0.26,0.29,tanevch01
Chris Terry,LW,57,0.19,0.16,0.35,terrych01
Chris Thorburn,RW,81,0.09,0.09,0.17,thorbch01
Chris Tierney,C,43,0.14,0.35,0.49,tiernch01
Chris VandeVelde,C,72,0.13,0.08,0.21,vandech01
