Player,Position,GP,GPG,APG,PPG,PlayerID
Brad Winchester,LW,64,0.05,0.08,0.13,winchbr01
Brandon Bochenski,RW,28,0.14,0.32,0.46,bochebr01
Brandon Dubinsky,C,69,0.29,0.35,0.64,dubinbr01
Brandon Prust,LW,69,0.07,0.13,0.20,prustbr01
Brandon Segal,RW,44,0.14,0.14,0.27,segalbr01
Brandon Sutter,C,72,0.29,0.26,0.56,suttebr03
Brandon Yip,RW,32,0.34,0.25,0.59,yipbr01
Brayden Irwin,C,2,0.00,0.00,0.00,irwinbr01
Brayden Schenn,C,1,0.00,0.00,0.00,schenbr01
Braydon Coburn,D,81,0.06,0.17,0.23,coburbr01
Brendan Mikkelson,D,28,0.00,0.07,0.07,mikkebr01
Brendan Morrison,C,74,0.16,0.41,0.57,morribr01
Brendan Witt,D,42,0.05,0.07,0.12,wittbr01
Brenden Morrow,LW,76,0.26,0.34,0.61,morrobr01
Brent Burns,D,47,0.06,0.36,0.43,burnsbr01
Brent Johnson,G,23,0.00,0.04,0.04,johnsbr02
Brent Seabrook,D,78,0.05,0.33,0.38,seabrbr01
Brent Sopel,D,73,0.01,0.10,0.11,sopelbr01
Brett Carson,D,54,0.04,0.19,0.22,carsobr01
Brett Clark,D,64,0.05,0.27,0.31,clarkbr01
Brett Festerling,D,42,0.00,0.07,0.07,festebr01
Brett Lebda,D,63,0.02,0.11,0.13,lebdabr01
Brett Sutter,C,10,0.00,0.00,0.00,suttebr04
Brian Boucher,G,33,0.00,0.03,0.03,bouchbr01
Brian Boyle,C,71,0.06,0.03,0.08,boylebr01
Brian Campbell,D,68,0.10,0.46,0.56,campbbr02
Brian Elliott,G,55,0.00,0.02,0.02,elliobr01
Brian Gionta,RW,61,0.46,0.30,0.75,giontbr01
Brian Lee,D,23,0.09,0.04,0.13,leebr01
Brian McGrattan,RW,34,0.03,0.09,0.12,mcgrabr01
Brian Pothier,D,61,0.08,0.16,0.25,pothibr01
Brian Rafalski,D,78,0.10,0.44,0.54,rafalbr01
Brian Rolston,C,80,0.25,0.21,0.46,rolstbr01
Brian Sutherby,C,46,0.11,0.09,0.20,suthebr01
Brian Willsie,RW,4,0.00,0.00,0.00,willsbr01
Brock Trotter,C,2,0.00,0.00,0.00,trottbr02
Brooks Laich,C,78,0.32,0.44,0.76,laichbr01
Brooks Orpik,D,73,0.03,0.32,0.34,orpikbr01
Bruno Gervais,D,71,0.04,0.20,0.24,gervabr01
Bryan Allen,D,74,0.05,0.12,0.18,allenbr01
Bryan Bickell,LW,16,0.19,0.06,0.25,bickebr01
Bryan Little,C,79,0.16,0.27,0.43,littlbr01
Bryan McCabe,D,82,0.10,0.43,0.52,mccabbr01
Bryan Rodney,D,22,0.05,0.45,0.50,rodnebr01
Bryce Salvador,D,79,0.05,0.13,0.18,salvabr01
Byron Bitz,RW,52,0.10,0.12,0.21,bitzby01
Cal Clutterbuck,RW,74,0.18,0.11,0.28,cluttca01
Cal O'Reilly,C,31,0.06,0.29,0.35,oreilca01
Cam Barker,D,70,0.07,0.23,0.30,barkeca01
Cam Janssen,RW,43,0.00,0.00,0.00,janssca01
Cam Ward,G,47,0.00,0.06,0.06,wardca01
Carey Price,G,41,0.00,0.02,0.02,priceca01
Carl Gunnarsson,D,43,0.07,0.28,0.35,gunnaca01
Carlo Colaiacovo,D,67,0.10,0.37,0.48,colaica01
Casey Borer,D,2,0.00,0.00,0.00,borerca01
Casey Wellman,C,12,0.08,0.25,0.33,wellmca01
Chad Johnson,G,5,0.00,0.20,0.20,johnsch02
Chad Kolarik,RW,2,0.00,0.00,0.00,kolarch01
Chad Larose,RW,56,0.20,0.30,0.50,larosch01
Charles Linglet,LW,5,0.00,0.00,0.00,linglch01
Chris Bourque,LW,21,0.00,0.14,0.14,bourqch01
Chris Butler,D,59,0.02,0.34,0.36,butlech01
Chris Campoli,D,67,0.06,0.21,0.27,campoch01
Chris Chelios,D,7,0.00,0.00,0.00,chelich01
Chris Clark,RW,74,0.09,0.18,0.27,clarkch01
Chris Conner,RW,8,0.25,0.13,0.38,connech01
Chris Drury,C,77,0.18,0.23,0.42,drurych01
Chris Durno,LW,41,0.10,0.10,0.20,durnoch01
Chris Higgins,C,67,0.12,0.13,0.25,higgich01
Chris Kelly,C,81,0.19,0.21,0.40,kellych01
Chris Kunitz,LW,50,0.26,0.38,0.64,kunitch01
Chris Mason,G,61,0.00,0.00,0.00,masonch02
Chris Minard,LW,5,0.00,0.20,0.20,minarch01
Chris Neil,RW,68,0.15,0.18,0.32,neilch01
Chris Osgood,G,23,0.00,0.04,0.04,osgooch01
Chris Phillips,D,82,0.10,0.20,0.29,phillch02
Chris Pronger,D,82,0.12,0.55,0.67,prongch01
Chris Stewart,RW,77,0.36,0.47,0.83,stewach02
Chris Thorburn,C,76,0.05,0.12,0.17,thorbch01
Christian Ehrhoff,D,80,0.18,0.38,0.55,ehrhoch01
Christian Hanson,RW,31,0.06,0.16,0.23,hansoch01
Christoph Schubert,D,47,0.04,0.11,0.15,schubch01
Chuck Kobasew,RW,49,0.18,0.12,0.31,kobasch01
Clarke MacArthur,LW,81,0.20,0.23,0.43,macarcl01
Claude Giroux,RW,82,0.20,0.38,0.57,giroucl01
Clay Wilson,D,2,0.00,0.00,0.00,wilsocl01
Clayton Stoner,D,8,0.00,0.25,0.25,stonecl01
Cody Almond,C,7,0.14,0.00,0.14,almonco01
Cody Franson,D,61,0.10,0.25,0.34,fransco01
Cody McLeod,LW,74,0.09,0.15,0.24,mcleoco01
Colby Armstrong,RW,79,0.19,0.18,0.37,armstco01
Colin Fraser,C,70,0.10,0.17,0.27,fraseco01
Colin McDonald,C,2,0.50,0.00,0.50,mcdonco01
Colin White,D,81,0.02,0.12,0.15,whiteco01
Colin Wilson,C,35,0.23,0.20,0.43,wilsoco01
Colton Orr,RW,82,0.05,0.02,0.07,orrco01
Corey Crawford,G,1,0.00,0.00,0.00,crawfco01
Corey Elkins,C,3,0.33,0.00,0.33,elkinco01
Corey Locke,C,3,0.00,0.00,0.00,lockeco01
Corey Perry,RW,82,0.33,0.60,0.93,perryco01
Corey Potter,D,3,0.00,0.00,0.00,potteco01
Cory Murphy,D,12,0.17,0.08,0.25,murphco01
Cory Sarich,D,57,0.02,0.09,0.11,saricco01
Cory Schneider,G,2,0.00,0.00,0.00,schneco01
Cory Stillman,LW,58,0.26,0.38,0.64,stillco01
Craig Adams,RW,82,0.00,0.12,0.12,adamscr01
Craig Anderson,G,71,0.00,0.04,0.04,andercr01
Craig Conroy,C,63,0.05,0.19,0.24,conrocr01
Craig Rivet,D,78,0.01,0.18,0.19,rivetcr01
Cristobal Huet,G,48,0.00,0.00,0.00,huetcr01
Curtis Glencross,LW,67,0.22,0.27,0.49,glenccu01
