Player,Position,GP,GPG,APG,PPG,PlayerID
Aaron Gagnon,C,10,0.30,0.00,0.30,gagnoaa01
Aaron Johnson,D,10,0.00,0.00,0.00,johnsaa01
Aaron Palushaj,RW,25,0.08,0.28,0.36,palusaa01
Aaron Rome,D,27,0.00,0.19,0.19,romeaa01
Aaron Volpatti,RW,33,0.03,0.03,0.06,volpaaa01
Adam Burish,C,46,0.02,0.04,0.07,burisad01
Adam Cracknell,RW,20,0.10,0.20,0.30,crackad01
Adam Hall,RW,37,0.00,0.11,0.11,hallad01
Adam Henrique,C,42,0.26,0.12,0.38,henriad01
Adam Larsson,D,37,0.00,0.16,0.16,larssad01
Adam McQuaid,D,32,0.03,0.09,0.13,mcquaad01
Adam Pardy,D,17,0.00,0.24,0.24,pardyad01
Adrian Aucoin,D,36,0.00,0.11,0.11,aucoiad01
Akim Aliu,RW,5,0.00,0.00,0.00,aliuak01
Al Montoya,G,7,0.00,0.00,0.00,montoal01
Alec Martinez,D,27,0.04,0.15,0.19,martial01
Aleš Hemský,RW,38,0.24,0.29,0.53,hemskal01
Alex Chiasson,RW,7,0.86,0.14,1.00,chiasal01
Alex Galchenyuk,C,48,0.19,0.38,0.56,galchal01
Alex Goligoski,D,47,0.06,0.51,0.57,goligal01
Alex Killorn,C,38,0.18,0.32,0.50,killoal01
Alex Kovalev,RW,14,0.14,0.21,0.36,kovalal01
Alex Ovechkin,RW,48,0.67,0.50,1.17,ovechal01
Alex Pietrangelo,D,47,0.11,0.40,0.51,pietral01
Alex Stalock,G,2,0.00,0.00,0.00,staloal01
Alex Tanguay,LW,40,0.28,0.40,0.68,tangual01
Alexander Burmistrov,C,44,0.09,0.14,0.23,burmial01
Alexander Edler,D,45,0.18,0.31,0.49,edleral01
Alexander Petrovic,D,6,0.00,0.00,0.00,petroal01
Alexander Semin,LW,44,0.30,0.70,1.00,seminal01
Alexander Steen,C,40,0.20,0.48,0.68,steenal01
Alexander Sulzer,D,17,0.18,0.06,0.24,sulzeal01
Alexander Urbom,D,1,0.00,0.00,0.00,urbomal01
Alexandre Bolduc,C,14,0.00,0.00,0.00,boldual01
Alexandre Burrows,LW,47,0.28,0.23,0.51,burroal01
Alexei Emelin,D,38,0.08,0.24,0.32,emelial01
Alexei Ponikarovsky,LW,42,0.10,0.12,0.21,ponikal01
Anders Lee,C,2,0.50,0.50,1.00,leean01
Anders Lindbäck,G,24,0.00,0.04,0.04,lindban01
André Benoit,D,33,0.09,0.21,0.30,benoian01
Andreas Lilja,D,4,0.00,0.00,0.00,liljaan01
Andreas Nödl,RW,8,0.00,0.13,0.13,nodlan01
Andrei Loktionov,C,28,0.29,0.14,0.43,loktian01
Andrei Markov,D,48,0.21,0.42,0.63,markoan01
Andrej Meszároš,D,11,0.00,0.18,0.18,meszaan01
Andrej Sekera,D,37,0.05,0.27,0.32,sekeran01
