Player,Position,GP,GPG,APG,PPG,PlayerID
A.J. Greer,LW,15,0.07,0.07,0.13,greeraj01
Aaron Dell,G,25,0.00,0.00,0.00,dellaa01
Aaron Ekblad,D,82,0.16,0.29,0.45,ekblaaa01
Adam Clendening,D,4,0.00,0.00,0.00,clendad01
Adam Cracknell,RW,2,0.00,0.00,0.00,crackad01
Adam Erne,LW,65,0.11,0.20,0.31,ernead01
Adam Gaudette,C,56,0.09,0.13,0.21,gaudead01
Adam Henrique,C,82,0.22,0.29,0.51,henriad01
Adam Johnson,C,6,0.00,0.33,0.33,johnsad01
Adam Larsson,D,82,0.04,0.21,0.24,larssad01
Adam Lowry,LW,78,0.15,0.14,0.29,lowryad01
Adam McQuaid,D,50,0.06,0.08,0.14,mcquaad01
Adam Pelech,D,78,0.06,0.21,0.27,pelecad01
Adin Hill,G,13,0.00,0.00,0.00,hillad01
Adrian Kempe,LW,81,0.15,0.20,0.35,kempead01
Alan Quine,C,13,0.23,0.15,0.38,quineal01
Alec Martinez,D,60,0.07,0.23,0.30,martial01
Aleksander Barkov,C,82,0.43,0.74,1.17,barkoal01
Alex Biega,D,41,0.05,0.34,0.39,biegaal01
Alex Chiasson,RW,73,0.30,0.22,0.52,chiasal01
Alex DeBrincat,RW,82,0.50,0.43,0.93,debrial01
Alex Formenton,LW,9,0.11,0.00,0.11,formeal01
Alex Galchenyuk,C,72,0.26,0.31,0.57,galchal01
Alex Goligoski,D,76,0.04,0.32,0.36,goligal01
Alex Iafallo,C,82,0.18,0.22,0.40,iafalal01
Alex Killorn,C/LW,82,0.22,0.27,0.49,killoal01
Alex Lyon,G,2,0.00,0.00,0.00,lyonal01
Alex Nedeljkovic,G,1,0.00,0.00,0.00,nedelal01
Alex Ovechkin,LW,81,0.63,0.47,1.10,ovechal01
Alex Pietrangelo,D,71,0.18,0.39,0.58,pietral01
Alex Stalock,G,21,0.00,0.10,0.10,staloal01
Alex Tuch,RW,74,0.27,0.43,0.70,tuchal01
Alexandar Georgiev,G,33,0.00,0.06,0.06,georgal01
Alexander Edler,D,56,0.18,0.43,0.61,edleral01
Alexander Kerfoot,C,78,0.19,0.35,0.54,kerfoal01
Alexander Nylander,LW,12,0.17,0.17,0.33,nylanal01
Alexander Petrovic,D,35,0.00,0.06,0.06,petroal01
Alexander Radulov,RW,70,0.41,0.61,1.03,radulal01
Alexander Steen,C,65,0.15,0.26,0.42,steenal01
Alexander Wennberg,C,75,0.03,0.31,0.33,wennbal01
Alexandre Fortin,LW,24,0.13,0.13,0.25,fortial01
Alexandre Texier,C,2,0.50,0.00,0.50,texieal01
Anders Bjork,LW,20,0.05,0.10,0.15,bjorkan01
Anders Lee,LW,82,0.34,0.28,0.62,leean01
Anders Nilsson,G,36,0.00,0.03,0.03,nilssan01
André Burakovsky,LW,76,0.16,0.17,0.33,burakan01
Andreas Athanasiou,C,76,0.39,0.32,0.71,athanan01
Andreas Englund,D,3,0.00,0.00,0.00,engluan01
Andreas Johnsson,LW,73,0.27,0.32,0.59,johnsan01
Andreas Martinsen,LW,24,0.04,0.13,0.17,martian01
Andrei Svechnikov,RW,82,0.24,0.21,0.45,svechan01
Andrei Vasilevskiy,G,53,0.00,0.06,0.06,vasilan02
