Player,Position,GP,GPG,APG,PPG,PlayerID
Aaron Ekblad,D,78,0.19,0.27,0.46,ekblaaa01
Aaron Ness,D,8,0.00,0.25,0.25,nessaa01
Adam Clendening,D,29,0.03,0.21,0.24,clendad01
Adam Cracknell,RW,52,0.10,0.10,0.19,crackad01
Adam Henrique,C,80,0.38,0.25,0.63,henriad01
Adam Larsson,D,82,0.04,0.18,0.22,larssad01
Adam Lowry,C,74,0.09,0.14,0.23,lowryad01
Adam McQuaid,D,64,0.02,0.13,0.14,mcquaad01
Adam Pardy,D,23,0.00,0.17,0.17,pardyad01
Adam Pelech,D,9,0.00,0.22,0.22,pelecad01
Al Montoya,G,25,0.00,0.00,0.00,montoal01
Alan Quine,C,2,0.50,0.00,0.50,quineal01
Alec Martinez,D,78,0.13,0.27,0.40,martial01
Aleksander Barkov,C,66,0.42,0.47,0.89,barkoal01
Aleš Hemský,RW,75,0.17,0.35,0.52,hemskal01
Alex Biega,D,51,0.00,0.14,0.14,biegaal01
Alex Chiasson,RW,77,0.10,0.08,0.18,chiasal01
Alex Friesen,C,1,0.00,0.00,0.00,friesal01
Alex Galchenyuk,C,82,0.37,0.32,0.68,galchal01
Alex Goligoski,D,82,0.06,0.39,0.45,goligal01
Alex Grant,D,5,0.00,0.00,0.00,grantal01
Alex Killorn,C,81,0.17,0.32,0.49,killoal01
Alex Ovechkin,LW,79,0.63,0.27,0.90,ovechal01
Alex Pietrangelo,D,73,0.10,0.41,0.51,pietral01
Alex Stalock,G,13,0.00,0.08,0.08,staloal01
Alex Tanguay,LW,70,0.11,0.39,0.50,tangual01
Alexander Burmistrov,C,81,0.09,0.17,0.26,burmial01
Alexander Edler,D,52,0.12,0.27,0.38,edleral01
Alexander Khokhlachev,C,5,0.00,0.00,0.00,khokhal01
Alexander Petrovic,D,66,0.03,0.23,0.26,petroal01
Alexander Semin,LW,15,0.07,0.20,0.27,seminal01
Alexander Steen,LW,67,0.25,0.52,0.78,steenal01
Alexander Wennberg,C,69,0.12,0.46,0.58,wennbal01
Alexandre Burrows,RW,79,0.11,0.16,0.28,burroal01
Alexandre Grenier,RW,6,0.00,0.00,0.00,grenial01
Alexei Emelin,D,72,0.00,0.17,0.17,emelial01
Alexey Marchenko,D,66,0.03,0.14,0.17,marchal01
Anders Lee,LW,80,0.19,0.26,0.45,leean01
Anders Lindbäck,G,19,0.00,0.05,0.05,lindban01
Anders Nilsson,G,29,0.00,0.03,0.03,nilssan01
André Benoit,D,2,0.00,0.00,0.00,benoian01
André Burakovsky,LW,79,0.22,0.27,0.48,burakan01
Andreas Athanasiou,C,37,0.24,0.14,0.38,athanan01
Andreas Martinsen,LW,55,0.07,0.13,0.20,martian01
Andrei Markov,D,82,0.06,0.48,0.54,markoan01
Andrei Vasilevskiy,G,24,0.00,0.00,0.00,vasilan02
Andrej Nestrašil,C,55,0.16,0.25,0.42,nestran01
Andrej Sekera,D,81,0.07,0.30,0.37,sekeran01
Andrej Šustr,D,77,0.05,0.22,0.27,sustran01
Andrew Agozzino,LW,9,0.00,0.22,0.22,agozzan01
Andrew Bodnarchuk,D,37,0.00,0.11,0.11,bodnaan01
