Player,Position,GP,GPG,APG,PPG,PlayerID
Aaron Gagnon,C,19,0.00,0.11,0.11,gagnoaa01
Aaron Palushaj,RW,3,0.00,0.00,0.00,palusaa01
Aaron Rome,D,56,0.02,0.07,0.09,romeaa01
Aaron Volpatti,RW,15,0.07,0.07,0.13,volpaaa01
Aaron Voros,LW,12,0.00,0.00,0.00,vorosaa01
Adam Burish,C,63,0.13,0.10,0.22,burisad01
Adam Cracknell,RW,24,0.13,0.17,0.29,crackad01
Adam Foote,D,47,0.00,0.17,0.17,footead01
Adam Hall,RW,82,0.09,0.13,0.22,hallad01
Adam Henrique,C,1,0.00,0.00,0.00,henriad01
Adam Mair,C,65,0.02,0.05,0.06,mairad01
Adam McQuaid,D,67,0.04,0.18,0.22,mcquaad01
Adam Pardy,D,30,0.03,0.20,0.23,pardyad01
Adrian Aucoin,D,75,0.04,0.25,0.29,aucoiad01
Al Montoya,G,21,0.00,0.05,0.05,montoal01
Alec Martinez,D,60,0.08,0.18,0.27,martial01
Aleš Hemský,RW,47,0.30,0.60,0.89,hemskal01
Aleš Kotalík,RW,26,0.15,0.08,0.23,kotalal01
Alex Auld,G,16,0.00,0.06,0.06,auldal01
Alex Frolov,LW,43,0.16,0.21,0.37,froloal01
Alex Goligoski,D,83,0.17,0.39,0.55,goligal01
Alex Kovalev,RW,74,0.22,0.24,0.46,kovalal01
Alex Ovechkin,LW,79,0.41,0.67,1.08,ovechal01
Alex Pietrangelo,D,79,0.14,0.41,0.54,pietral01
Alex Plante,D,3,0.00,0.00,0.00,plantal01
Alex Stalock,G,1,0.00,0.00,0.00,staloal01
Alex Tanguay,LW,79,0.28,0.59,0.87,tangual01
Alexander Burmistrov,C,74,0.08,0.19,0.27,burmial01
Alexander Edler,D,51,0.16,0.49,0.65,edleral01
Alexander Semin,LW,65,0.43,0.40,0.83,seminal01
Alexander Steen,C,72,0.28,0.43,0.71,steenal01
Alexander Sulzer,D,40,0.03,0.10,0.13,sulzeal01
Alexander Urbom,D,8,0.13,0.00,0.13,urbomal01
Alexander Vasyunov,LW,18,0.06,0.22,0.28,vasyual01
Alexandre Bolduc,C,24,0.08,0.08,0.17,boldual01
Alexandre Burrows,LW,72,0.36,0.31,0.67,burroal01
Alexandre Giroux,C,8,0.13,0.13,0.25,giroual01
Alexandre Picard,D,43,0.07,0.12,0.19,picaral01
Alexei Ponikarovsky,LW,61,0.08,0.16,0.25,ponikal01
Anders Lindbäck,G,22,0.00,0.00,0.00,lindban01
André Benoit,D,8,0.00,0.13,0.13,benoian01
Andreas Engqvist,C,3,0.00,0.00,0.00,engqvan01
Andreas Lilja,D,52,0.02,0.12,0.13,liljaan01
Andreas Nödl,RW,67,0.16,0.16,0.33,nodlan01
Andreas Thuresson,RW,3,0.00,0.00,0.00,thurean01
Andrei Kostitsyn,LW,81,0.25,0.31,0.56,kostian01
Andrei Loktionov,C,19,0.21,0.16,0.37,loktian01
Andrei Markov,D,7,0.14,0.29,0.43,markoan01
Andrei Zubarev,D,4,0.00,0.25,0.25,zubaran01
Andrej Meszároš,D,81,0.10,0.30,0.40,meszaan01
Andrej Sekera,D,76,0.04,0.34,0.38,sekeran01
Andrew Alberts,D,42,0.02,0.14,0.17,alberan01
Andrew Brunette,LW,82,0.22,0.34,0.56,brunean01
Andrew Cogliano,C,82,0.13,0.29,0.43,coglian01
Andrew Desjardins,C,17,0.06,0.12,0.18,desjaan01
Andrew Ebbett,C,33,0.06,0.09,0.15,ebbetan01
Andrew Ference,D,70,0.04,0.17,0.21,ferenan01
Andrew Gordon,RW,9,0.11,0.11,0.22,gordoan01
Andrew Hutchinson,D,5,0.00,0.20,0.20,hutchan01
Andrew Ladd,LW,81,0.36,0.37,0.73,laddan01
Andrew MacDonald,D,60,0.07,0.38,0.45,macdoan01
Andrew Murray,C,29,0.14,0.14,0.28,murraan01
Andrew Raycroft,G,19,0.00,0.00,0.00,raycran01
Andy Greene,D,82,0.05,0.23,0.28,greenan01
Andy McDonald,C,58,0.34,0.52,0.86,mcdonan01
Andy Sutton,D,39,0.00,0.10,0.10,suttoan01
Anssi Salmela,D,48,0.02,0.13,0.15,salmean01
Antero Niittymäki,G,24,0.00,0.00,0.00,niittan01
Anthony Stewart,C,80,0.18,0.31,0.49,stewaan01
Antoine Vermette,C,82,0.23,0.34,0.57,vermean01
Anton Babchuk,D,82,0.13,0.29,0.43,babchan01
Anton Khudobin,G,4,0.00,0.00,0.00,khudoan01
Anton Strålman,D,51,0.02,0.33,0.35,stralan01
Anton Volchenkov,D,57,0.00,0.14,0.14,volchan01
Antti Miettinen,RW,73,0.22,0.26,0.48,miettan01
Antti Niemi,G,60,0.00,0.02,0.02,niemian02
Anže Kopitar,C,75,0.33,0.64,0.97,kopitan01
Arron Asham,RW,44,0.11,0.14,0.25,ashamar01
Artem Anisimov,C,82,0.22,0.32,0.54,anisiar01
