Player,Position,GP,GPG,APG,PPG,PlayerID
A.J. Greer,LW,17,0.00,0.18,0.18,greeraj01
Aaron Dell,G,29,0.00,0.03,0.03,dellaa01
Aaron Ekblad,D,82,0.20,0.27,0.46,ekblaaa01
Aaron Ness,D,8,0.00,0.13,0.13,nessaa01
Adam Clendening,D,5,0.00,0.40,0.40,clendad01
Adam Cracknell,RW,5,0.00,0.00,0.00,crackad01
Adam Erne,LW,23,0.13,0.04,0.17,ernead01
Adam Gaudette,C,5,0.00,0.00,0.00,gaudead01
Adam Henrique,C,81,0.30,0.32,0.62,henriad01
Adam Larsson,D,63,0.06,0.14,0.21,larssad01
Adam Lowry,LW,45,0.18,0.29,0.47,lowryad01
Adam McQuaid,D,38,0.03,0.08,0.11,mcquaad01
Adam Pelech,D,78,0.04,0.21,0.24,pelecad01
Adam Wilcox,G,1,0.00,0.00,0.00,wilcoad01
Adin Hill,G,4,0.00,0.00,0.00,hillad01
Adrian Kempe,LW,81,0.20,0.26,0.46,kempead01
Al Montoya,G,13,0.00,0.15,0.15,montoal01
Alan Quine,C,21,0.00,0.14,0.14,quineal01
Alec Martinez,D,77,0.12,0.21,0.32,martial01
Aleksander Barkov,C,79,0.34,0.65,0.99,barkoal01
Aleš Hemský,RW,7,0.00,0.00,0.00,hemskal01
Alex Biega,D,44,0.02,0.18,0.20,biegaal01
Alex Broadhurst,C,2,0.00,0.00,0.00,broadal01
Alex Chiasson,RW,61,0.15,0.15,0.30,chiasal01
Alex DeBrincat,RW,82,0.34,0.29,0.63,debrial01
Alex Formenton,LW,1,0.00,0.00,0.00,formeal01
Alex Galchenyuk,C,82,0.23,0.39,0.62,galchal01
Alex Goligoski,D,78,0.15,0.29,0.45,goligal01
Alex Iafallo,C,75,0.12,0.21,0.33,iafalal01
Alex Killorn,C/LW,82,0.18,0.39,0.57,killoal01
Alex Lyon,G,11,0.00,0.00,0.00,lyonal01
Alex Ovechkin,LW,82,0.60,0.46,1.06,ovechal01
