Player,Position,GP,GPG,APG,PPG,PlayerID
Aaron Downey,RW,21,0.05,0.00,0.05,downeaa01
Aaron Johnson,D,61,0.05,0.11,0.16,johnsaa01
Aaron Miller,D,82,0.00,0.10,0.10,milleaa01
Aaron Rome,D,1,0.00,0.00,0.00,romeaa01
Aaron Ward,D,80,0.05,0.15,0.20,wardaa01
Adam Burish,RW,9,0.00,0.00,0.00,burisad01
Adam Foote,D,59,0.05,0.15,0.20,footead01
Adam Hall,RW,72,0.08,0.15,0.24,hallad01
Adam Mair,C,82,0.02,0.11,0.13,mairad01
Adrian Aucoin,D,59,0.07,0.20,0.27,aucoiad01
Alain Nasreddine,D,44,0.02,0.09,0.11,nasreal01
Aleš Hemský,RW,64,0.20,0.63,0.83,hemskal01
Aleš Kotalík,RW,66,0.24,0.33,0.58,kotalal01
Alex Auld,G,27,0.00,0.04,0.04,auldal01
Alex Brooks,D,19,0.00,0.05,0.05,brookal01
Alex Frolov,LW,82,0.43,0.44,0.87,froloal01
Alex Kovalev,RW,73,0.25,0.40,0.64,kovalal01
Alex Ovechkin,LW,82,0.56,0.56,1.12,ovechal01
Alex Tanguay,LW,81,0.27,0.73,1.00,tangual01
Alexander Edler,D,22,0.05,0.09,0.14,edleral01
Alexander Perezhogin,RW,61,0.10,0.15,0.25,perezal01
Alexander Radulov,RW,64,0.28,0.30,0.58,radulal01
Alexander Semin,LW,77,0.49,0.45,0.95,seminal01
Alexander Steen,C,82,0.18,0.24,0.43,steenal01
Alexander Suglobov,RW,14,0.00,0.00,0.00,sugloal01
Alexander Svitov,C,76,0.09,0.14,0.24,svitoal01
Alexandre Burrows,LW,81,0.04,0.07,0.11,burroal01
Alexandre Giroux,C,9,0.22,0.22,0.44,giroual01
Alexandre Picard,D,62,0.05,0.31,0.35,picaral01
Alexandre Picard,LW,23,0.00,0.04,0.04,picaral02
Alexei Kaigorodov,C,6,0.00,0.17,0.17,kaigoal01
Alexei Mikhnov,LW,2,0.00,0.00,0.00,mikhnal01
Alexei Ponikarovsky,LW,71,0.30,0.34,0.63,ponikal01
Alexei Semenov,D,23,0.00,0.22,0.22,semenal01
Alexei Yashin,C,58,0.31,0.55,0.86,yashial01
Alexei Zhitnik,D,79,0.09,0.39,0.48,zhitnal01
Allan Rourke,D,11,0.00,0.09,0.09,rourkal01
Alyn McCauley,C,10,0.10,0.00,0.10,mccaual01
Anders Eriksson,D,79,0.00,0.29,0.29,eriksan01
André Roy,RW,56,0.02,0.04,0.05,royan01
Andreas Karlsson,C,53,0.06,0.11,0.17,karlsan01
Andreas Lilja,D,57,0.00,0.09,0.09,liljaan01
Andrei Kostitsyn,LW,22,0.05,0.45,0.50,kostian01
Andrei Markov,D,77,0.08,0.56,0.64,markoan01
Andrei Zyuzin,D,49,0.02,0.10,0.12,zyuzian01
Andrej Meszároš,D,82,0.09,0.34,0.43,meszaan01
Andrej Sekera,D,2,0.00,0.00,0.00,sekeran01
Andrew Alberts,D,76,0.00,0.13,0.13,alberan01
Andrew Brunette,LW,82,0.33,0.68,1.01,brunean01
Andrew Ference,D,80,0.04,0.15,0.19,ferenan01
Andrew Hutchinson,D,41,0.07,0.27,0.34,hutchan01
Andrew Ladd,LW,65,0.17,0.15,0.32,laddan01
Andrew Peters,LW,58,0.02,0.02,0.03,peteran01
Andrew Raycroft,G,72,0.00,0.01,0.01,raycran01
Andy Greene,D,23,0.04,0.22,0.26,greenan01
Andy Hilbert,C,81,0.10,0.25,0.35,hilbean01
Andy McDonald,C,82,0.33,0.62,0.95,mcdonan01
Andy Sutton,D,55,0.04,0.25,0.29,suttoan01
Andy Wozniewski,D,15,0.00,0.13,0.13,woznian01
Anson Carter,RW,64,0.17,0.27,0.44,cartean01
Antero Niittymäki,G,52,0.00,0.00,0.00,niittan01
Anthony Stewart,C,10,0.00,0.10,0.10,stewaan01
Antoine Vermette,C,77,0.25,0.26,0.51,vermean01
Anton Babchuk,D,52,0.04,0.23,0.27,babchan01
Anton Volchenkov,D,78,0.01,0.23,0.24,volchan01
Antti Laaksonen,LW,41,0.07,0.02,0.10,laaksan01
Antti Miettinen,RW,74,0.15,0.19,0.34,miettan01
Anže Kopitar,C,72,0.28,0.57,0.85,kopitan01
Arron Asham,RW,80,0.14,0.15,0.29,ashamar01
Barret Jackman,D,70,0.04,0.34,0.39,jackmba01
Barry Brust,G,11,0.00,0.00,0.00,brustba01
Barry Tallackson,RW,3,0.00,0.00,0.00,tallaba01
Bates Battaglia,LW,82,0.15,0.23,0.38,battaba01
Ben Clymer,D,66,0.11,0.20,0.30,clymebe01
Ben Eager,LW,63,0.10,0.08,0.17,eagerbe01
Ben Guite,RW,39,0.08,0.21,0.28,guitebe01
Ben Ondrus,RW,16,0.00,0.13,0.13,ondrube01
Ben Walter,C,4,0.00,0.00,0.00,waltebe01
Benoît Pouliot,LW,3,0.00,0.00,0.00,poulibe01
Bill Guerin,RW,77,0.47,0.26,0.73,gueribi01
Bill Thomas,RW,24,0.33,0.25,0.58,thomabi01
Björn Melin,RW,3,0.33,0.00,0.33,melinbj01
Blair Betts,C,82,0.11,0.05,0.16,bettsbl01
Blair Jones,C,20,0.05,0.10,0.15,jonesbl01
Blake Comeau,RW,3,0.00,0.00,0.00,comeabl01
Bobby Allen,D,31,0.00,0.10,0.10,allenbo01
Bobby Holík,C,82,0.13,0.22,0.35,holikbo01
Boyd Devereaux,C,33,0.24,0.33,0.58,deverbo01
Boyd Gordon,RW,71,0.10,0.31,0.41,gordobo01
Boyd Kane,LW,15,0.00,0.13,0.13,kanebo01
Brad Boyes,C,81,0.21,0.36,0.57,boyesbr01
Brad Ference,D,5,0.00,0.00,0.00,ferenbr01
Brad Isbister,LW,19,0.05,0.21,0.26,isbisbr01
Brad Larsen,LW,72,0.10,0.08,0.18,larsebr01
Brad Lukowich,D,75,0.05,0.11,0.16,lukowbr01
Brad May,LW,24,0.00,0.17,0.17,maybr01
Brad Moran,C,3,0.00,0.33,0.33,moranbr01
Brad Norton,D,6,0.00,0.17,0.17,nortobr01
Brad Richards,C,82,0.30,0.55,0.85,richabr01
Brad Richardson,RW,73,0.19,0.11,0.30,richabr02
Brad Stuart,D,75,0.09,0.20,0.29,stuarbr02
Brad Winchester,LW,59,0.07,0.08,0.15,winchbr01
Brandon Bochenski,RW,41,0.32,0.27,0.59,bochebr01
Brandon Dubinsky,C,6,0.00,0.00,0.00,dubinbr01
Brandon Prust,C,10,0.00,0.00,0.00,prustbr01
Brandon Reid,C,3,0.00,0.00,0.00,reidbr01
Branislav Mezei,D,45,0.00,0.07,0.07,mezeibr01
Branko Radivojevič,RW,82,0.13,0.16,0.29,radivbr01
Braydon Coburn,D,49,0.06,0.16,0.22,coburbr01
Brendan Bell,D,45,0.02,0.13,0.16,bellbr02
Brendan Morrison,C,82,0.24,0.38,0.62,morribr01
Brendan Shanahan,LW,67,0.43,0.49,0.93,shanabr01
Brendan Witt,D,81,0.01,0.16,0.17,wittbr01
Brenden Morrow,LW,40,0.40,0.38,0.78,morrobr01
Brent Burns,D,77,0.09,0.23,0.32,burnsbr01
Brent Johnson,G,30,0.00,0.03,0.03,johnsbr02
Brent Seabrook,D,81,0.05,0.25,0.30,seabrbr01
Brent Sopel,D,64,0.08,0.36,0.44,sopelbr01
Bret Hedican,D,50,0.00,0.20,0.20,hedicbr01
Brett Clark,D,82,0.12,0.35,0.48,clarkbr01
Brett Lebda,D,74,0.07,0.18,0.24,lebdabr01
Brett McLean,C,78,0.19,0.26,0.45,mcleabr01
Brian Boucher,G,18,0.00,0.00,0.00,bouchbr01
Brian Campbell,D,82,0.07,0.51,0.59,campbbr02
Brian Finley,G,2,0.00,0.00,0.00,finlebr01
Brian Gionta,RW,62,0.40,0.32,0.73,giontbr01
Brian McGrattan,RW,45,0.00,0.04,0.04,mcgrabr01
Brian Pothier,D,72,0.04,0.35,0.39,pothibr01
Brian Rafalski,D,82,0.10,0.57,0.67,rafalbr01
Brian Rolston,RW,78,0.40,0.42,0.82,rolstbr01
Brian Sutherby,C,69,0.10,0.14,0.25,suthebr01
Brian Willsie,RW,81,0.14,0.12,0.26,willsbr01
Brooks Laich,C,73,0.11,0.14,0.25,laichbr01
Brooks Orpik,D,70,0.00,0.09,0.09,orpikbr01
Bruno Gervais,D,51,0.00,0.12,0.12,gervabr01
Bryan Allen,D,82,0.05,0.26,0.30,allenbr01
Bryan Berard,D,11,0.00,0.27,0.27,berarbr01
Bryan Bickell,LW,3,0.67,0.00,0.67,bickebr01
Bryan McCabe,D,82,0.18,0.51,0.70,mccabbr01
Bryan Muir,D,26,0.12,0.15,0.27,muirbr01
Bryan Smolinski,C,82,0.22,0.32,0.54,smolibr01
Bryan Young,D,15,0.00,0.00,0.00,youngbr02
Bryce Lampman,D,1,0.00,0.00,0.00,lampmbr01
Bryce Salvador,D,64,0.03,0.08,0.11,salvabr01
Byron Ritchie,C,64,0.13,0.09,0.22,ritchby01
Cam Barker,D,35,0.03,0.20,0.23,barkeca01
Cam Janssen,RW,48,0.02,0.00,0.02,janssca01
Cam Ward,G,60,0.00,0.02,0.02,wardca01
Carl Corazzini,C,7,0.00,0.14,0.14,corazca01
Carlo Colaiacovo,D,48,0.17,0.19,0.35,colaica01
Carsen Germyn,C,2,0.00,0.00,0.00,germyca01
Chad Kilger,LW,82,0.17,0.17,0.34,kilgech01
Chad Larose,C,80,0.08,0.15,0.23,larosch01
Chris Campoli,D,51,0.02,0.25,0.27,campoch01
Chris Chelios,D,71,0.00,0.15,0.15,chelich01
Chris Clark,RW,74,0.41,0.32,0.73,clarkch01
Chris Conner,RW,11,0.09,0.18,0.27,connech01
Chris Drury,C,77,0.48,0.42,0.90,drurych01
Chris Gratton,C,81,0.16,0.27,0.43,grattch01
Chris Higgins,C,61,0.36,0.26,0.62,higgich01
Chris Kelly,C,82,0.18,0.28,0.46,kellych01
Chris Kunitz,LW,81,0.31,0.43,0.74,kunitch01
Chris Mason,G,40,0.00,0.03,0.03,masonch02
Chris Neil,RW,82,0.15,0.20,0.34,neilch01
Chris Osgood,G,21,0.00,0.05,0.05,osgooch01
Chris Phillips,D,82,0.10,0.22,0.32,phillch02
Chris Pronger,D,66,0.20,0.70,0.89,prongch01
Chris Simon,LW,67,0.15,0.25,0.40,simonch01
Chris Thorburn,C,39,0.08,0.05,0.13,thorbch01
Christian Bäckman,D,61,0.11,0.18,0.30,backmch01
Christian Ehrhoff,D,82,0.12,0.28,0.40,ehrhoch01
Christoph Schubert,D,80,0.10,0.21,0.31,schubch01
Chuck Kobasew,RW,50,0.10,0.28,0.38,kobasch01
