,,,,,,,Per Game,Per Game,Per Game,Per Game,,,Adjusted,Adjusted,Adjusted,Adjusted,Plus/Minus,Plus/Minus,Plus/Minus,Plus/Minus,,Point Shares,Point Shares,Point Shares,Shootouts,Shootouts,Shootouts,Shootouts,-additional
Rk,Player,Age,Tm,Pos,GP,GC,G,A,PTS,GC,PIM,S,G,A,PTS,GC,TGF,PGF,TGA,PGA,+/-,OPS,DPS,PS,Att.,Made,Miss,Pct.,-9999
1,Aaron Ness,23,NYI,D,20,1,0.05,0.10,0.15,0.05,0.50,1.15,1,2,3,1,3,0,18,2,-13,0.1,-0.5,-0.4,0,,,,nessaa01
2,Aaron Palushaj,24,CAR,RW,2,0,0.00,0.00,0.00,0.00,0.00,1.00,0,0,0,0,0,0,1,0,-1,-0.1,0.0,-0.1,0,,,,palusaa01
3,Aaron Rome,30,DAL,D,25,0,0.00,0.04,0.04,0.01,0.44,0.60,0,1,1,0,12,1,22,5,-6,-0.3,0.1,-0.2,0,,,,romeaa01
4,Aaron Volpatti,28,WSH,LW,41,1,0.05,0.00,0.05,0.03,1.20,0.44,2,0,2,1,4,0,7,0,-3,-0.4,0.2,-0.2,0,,,,volpaaa01
5,Adam Almqvist,22,DET,D,2,1,0.50,0.00,0.50,0.28,0.00,1.00,1,0,1,1,2,0,3,0,-1,0.2,0.0,0.2,0,,,,almqvad01
6,Adam Burish,31,SJS,RW,15,0,0.00,0.00,0.00,0.00,0.40,0.60,0,0,0,0,2,0,8,2,-4,-0.4,0.0,-0.4,0,,,,burisad01
7,Adam Cracknell,28,STL,RW,19,1,0.00,0.11,0.11,0.03,0.00,0.84,0,2,2,1,6,0,6,0,0,-0.2,0.2,0.0,0,,,,crackad01
8,Adam Hall,33,PHI,RW,80,3,0.05,0.06,0.11,0.04,0.29,0.76,5,5,10,4,16,0,51,20,-15,-0.8,0.2,-0.6,0,,,,hallad01
9,Adam Henrique,23,NJD,C,77,18,0.32,0.23,0.56,0.24,0.26,1.78,28,20,48,21,65,18,57,13,3,3.7,2.1,5.8,5,0,5,0.0,henriad01
10,Adam Larsson,21,NJD,D,26,1,0.04,0.08,0.12,0.04,0.46,0.77,1,2,3,1,12,0,13,0,-1,-0.1,1.2,1.0,1,0,1,0.0,larssad01
11,Adam McQuaid,27,BOS,D,30,2,0.03,0.17,0.20,0.06,2.30,0.83,1,5,6,2,22,0,18,8,12,0.2,1.8,2.0,0,,,,mcquaad01
12,Adam Pardy,29,WPG,D,60,2,0.00,0.10,0.10,0.03,0.63,0.78,0,7,7,2,30,0,30,5,4,-0.4,2.1,1.7,0,,,,pardyad01
13,Adam Payerl,22,PIT,C,2,0,0.00,0.00,0.00,0.00,1.00,2.00,0,0,0,0,0,0,1,0,-1,-0.1,0.0,-0.1,0,,,,payerad01
14,Al Montoya,28,WPG,G,28,0,0.00,0.00,0.00,0.00,0.07,0.00,0,0,0,0,71,10,59,10,,0.0,0.0,5.0,0,,,,montoal01
15,Alec Martinez,26,LAK,D,61,9,0.18,0.18,0.36,0.15,0.23,1.30,12,12,24,10,45,10,22,3,17,2.5,3.9,6.5,0,,,,martial01
