,,,,,,,Per Game,Per Game,Per Game,Per Game,,,Adjusted,Adjusted,Adjusted,Adjusted,Plus/Minus,Plus/Minus,Plus/Minus,Plus/Minus,,Possession Quality,Possession Quality,Possession Quality,Point Shares,Point Shares,Point Shares,Shootouts,Shootouts,Shootouts,Shootouts,-additional
Rk,Player,Age,Tm,Pos,GP,GC,G,A,PTS,GC,PIM,S,G,A,PTS,GC,TGF,PGF,TGA,PGA,+/-,xGF,xGA,E+/-,OPS,DPS,PS,Att.,Made,Miss,Pct.,-9999
1,Aaron Ekblad,19,FLA,D,78,14,0.19,0.27,0.46,0.18,0.53,2.33,17,23,40,16,93,23,62,8,18,51.9,49.0,2.9,3.7,4.5,8.2,0,,,,ekblaaa01
2,Aaron Ness,25,WSH,D,8,1,0.00,0.25,0.25,0.07,0.25,1.00,0,2,2,1,6,0,2,0,4,5.0,3.6,1.4,0.1,0.5,0.6,0,,,,nessaa01
3,Adam Clendening,23,TOT,D,29,2,0.03,0.21,0.24,0.07,0.69,1.48,1,7,8,2,19,0,13,0,6,16.9,17.0,-0.1,0.4,1.5,1.8,0,,,,clendad01
3,Adam Clendening,23,EDM,D,20,2,0.05,0.25,0.30,0.09,0.50,1.60,1,6,7,2,13,0,10,0,3,12.1,12.5,-0.4,0.4,1.0,1.4,0,,,,clendad01
3,Adam Clendening,23,PIT,D,9,0,0.00,0.11,0.11,0.03,1.11,1.22,0,1,1,0,6,0,3,0,3,4.9,4.5,0.4,0.0,0.5,0.4,0,,,,clendad01
4,Adam Cracknell,30,TOT,RW,52,4,0.10,0.10,0.19,0.08,0.38,1.31,6,6,12,5,13,0,21,7,-1,17.8,24.3,-6.5,-0.1,0.8,0.7,0,,,,crackad01
4,Adam Cracknell,30,VAN,RW,44,4,0.11,0.11,0.23,0.09,0.32,1.25,6,6,12,5,13,0,19,7,1,15.1,21.6,-6.5,0.2,0.7,0.9,0,,,,crackad01
4,Adam Cracknell,30,EDM,RW,8,0,0.00,0.00,0.00,0.00,0.75,1.63,0,0,0,0,0,0,2,0,-2,2.6,2.7,-0.1,-0.3,0.0,-0.2,0,,,,crackad01
5,Adam Henrique,25,NJD,C,80,22,0.38,0.25,0.63,0.28,0.29,1.86,34,22,56,25,79,20,67,19,10,43.0,40.6,2.4,4.7,2.8,7.6,4,1,3,25.0,henriad01
