,,,,,,,Per Game,Per Game,Per Game,Per Game,,,Adjusted,Adjusted,Adjusted,Adjusted,Plus/Minus,Plus/Minus,Plus/Minus,Plus/Minus,,Point Shares,Point Shares,Point Shares,Shootouts,Shootouts,Shootouts,Shootouts,-additional
Rk,Player,Age,Tm,Pos,GP,GC,G,A,PTS,GC,PIM,S,G,A,PTS,GC,TGF,PGF,TGA,PGA,+/-,OPS,DPS,PS,Att.,Made,Miss,Pct.,-9999
1,Aaron Downey,33,DET,RW,56,1,0.00,0.05,0.05,0.01,2.07,0.27,0,3,3,1,6,0,7,1,0,-0.4,0.3,-0.1,0,,,,downeaa01
2,Aaron Johnson,24,NYI,D,30,1,0.00,0.07,0.07,0.02,1.00,0.53,0,2,2,1,21,5,17,3,2,-0.3,1.1,0.9,0,,,,johnsaa01
3,Aaron Miller,36,VAN,D,57,3,0.02,0.14,0.16,0.05,0.56,0.47,1,9,10,3,33,0,50,16,-1,0.0,2.2,2.2,0,,,,milleaa01
4,Aaron Rome,24,CBJ,D,17,1,0.06,0.06,0.12,0.05,1.94,0.88,1,1,2,1,6,0,14,4,-4,0.0,0.4,0.4,0,,,,romeaa01
5,Aaron Voros,26,MIN,LW,55,6,0.13,0.13,0.25,0.10,2.56,0.95,8,7,15,6,25,8,25,1,-7,0.8,0.3,1.1,0,,,,vorosaa01
6,Aaron Ward,35,BOS,D,65,5,0.08,0.12,0.20,0.07,0.83,1.05,6,9,15,6,53,8,57,21,9,0.4,3.5,4.0,0,,,,wardaa01
7,Adam Berti,21,CHI,LW,2,0,0.00,0.00,0.00,0.00,0.00,0.50,0,0,0,0,0,0,0,0,0,-0.1,0.0,0.0,0,,,,bertiad01
8,Adam Burish,25,CHI,RW,81,3,0.05,0.05,0.10,0.04,2.64,0.85,4,4,8,3,20,1,56,24,-13,-1.4,0.4,-1.0,0,,,,burisad01
9,Adam Foote,36,TOT,D,75,5,0.01,0.20,0.21,0.06,1.43,0.88,1,16,17,5,52,2,78,30,2,-0.1,4.4,4.3,0,,,,footead01
9,Adam Foote,36,CBJ,D,63,4,0.02,0.22,0.24,0.07,1.51,0.90,1,15,16,5,48,2,69,26,3,0.0,4.0,4.0,0,,,,footead01
9,Adam Foote,36,COL,D,12,0,0.00,0.08,0.08,0.02,1.00,0.75,0,1,1,0,4,0,9,4,-1,-0.2,0.4,0.2,0,,,,footead01
10,Adam Hall,27,PIT,RW,46,2,0.04,0.09,0.13,0.05,0.52,0.85,2,4,6,2,8,1,23,14,-2,-0.7,0.5,-0.3,0,,,,hallad01
11,Adam Mair,28,BUF,C,72,6,0.07,0.17,0.24,0.08,0.92,0.86,6,13,19,7,23,1,25,1,-2,0.5,0.5,1.0,0,,,,mairad01
12,Adam Pineault,21,CBJ,RW,3,0,0.00,0.00,0.00,0.00,0.00,1.67,0,0,0,0,0,0,2,0,-2,-0.1,0.0,-0.1,0,,,,pineaad01
13,Adrian Aucoin,34,CGY,D,76,12,0.13,0.33,0.46,0.16,0.49,1.59,11,27,38,13,85,36,55,19,13,3.2,4.1,7.3,0,,,,aucoiad01
14,Alain Nasreddine,32,PIT,D,6,0,0.00,0.00,0.00,0.00,0.67,0.50,0,0,0,0,2,0,6,0,-4,-0.1,-0.2,-0.3,0,,,,nasreal01
15,Aleš Hemský,24,EDM,RW,74,24,0.27,0.69,0.96,0.33,0.46,2.49,22,55,77,27,87,40,56,0,-9,6.0,1.2,7.2,0,,,,hemskal01
16,Aleš Kotalík,29,BUF,RW,79,17,0.29,0.25,0.54,0.22,0.73,2.62,25,21,46,19,64,36,34,1,-5,3.6,0.9,4.5,0,,,,kotalal01
17,Alex Auld,27,TOT,G,32,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.0,0.0,4.9,0,,,,auldal01
17,Alex Auld,27,BOS,G,23,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.0,0.0,4.2,0,,,,auldal01
17,Alex Auld,27,PHX,G,9,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.0,0.0,0.7,0,,,,auldal01
18,Alex Foster,23,TOR,C,3,0,0.00,0.00,0.00,0.00,0.00,0.33,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,,,,fosteal01
19,Alex Frolov,25,LAK,LW,71,24,0.32,0.62,0.94,0.34,0.31,2.25,25,47,72,26,85,26,59,1,1,6.1,1.4,7.5,0,,,,froloal01
20,Alex Goligoski,22,PIT,D,3,1,0.00,0.67,0.67,0.18,0.67,0.67,0,2,2,1,2,0,1,1,2,0.2,0.3,0.4,0,,,,goligal01
21,Alex Kovalev,34,MTL,RW,82,32,0.43,0.60,1.02,0.39,0.85,2.80,39,52,91,35,117,56,50,7,18,8.4,2.4,10.8,0,,,,kovalal01
22,Alex Ovechkin,22,WSH,LW,82,48,0.79,0.57,1.37,0.59,0.49,5.44,72,50,122,53,150,56,67,1,28,14.1,3.1,17.2,0,,,,ovechal01
23,Alex Tanguay,28,CGY,LW,78,21,0.23,0.51,0.74,0.27,0.62,1.55,20,43,63,23,90,27,64,12,11,4.2,1.9,6.1,0,,,,tangual01
24,Alexander Edler,21,VAN,D,75,8,0.11,0.16,0.27,0.10,0.56,1.65,9,13,22,8,72,20,58,12,6,1.3,4.3,5.5,0,,,,edleral01
25,Alexander Nikulin,22,OTT,C,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,2,0,-2,0.0,-0.1,-0.1,0,,,,nikulal01
26,Alexander Radulov,21,NSH,RW,81,22,0.32,0.40,0.72,0.27,0.54,2.26,29,34,63,25,87,21,60,1,7,5.2,1.7,6.9,0,,,,radulal01
27,Alexander Semin,23,WSH,LW,63,18,0.41,0.25,0.67,0.29,0.86,2.94,29,17,46,20,68,37,49,0,-18,4.4,0.3,4.8,0,,,,seminal01
28,Alexander Steen,23,TOR,LW,76,15,0.20,0.36,0.55,0.20,0.42,2.22,17,29,46,17,63,14,70,21,0,2.2,1.3,3.5,0,,,,steenal01
29,Alexandre Burrows,26,VAN,LW,82,12,0.15,0.23,0.38,0.14,2.18,1.54,13,20,33,13,41,1,56,27,11,1.2,1.9,3.1,0,,,,burroal01
30,Alexandre Picard,22,TOT,D,24,2,0.13,0.13,0.25,0.10,0.42,1.00,3,3,6,2,19,5,26,0,-12,0.4,0.1,0.5,0,,,,picaral01
30,Alexandre Picard,22,TBL,D,20,2,0.15,0.15,0.30,0.12,0.40,1.05,3,3,6,2,14,3,20,0,-9,0.5,0.2,0.7,0,,,,picaral01
30,Alexandre Picard,22,PHI,D,4,0,0.00,0.00,0.00,0.00,0.50,0.75,0,0,0,0,5,2,6,0,-3,-0.1,-0.1,-0.2,0,,,,picaral01
31,Alexandre Picard,22,CBJ,LW,3,0,0.00,0.00,0.00,0.00,0.67,0.33,0,0,0,0,1,1,0,0,0,-0.1,0.0,0.0,0,,,,picaral02
32,Alexei Ponikarovsky,27,TOR,LW,66,14,0.27,0.26,0.53,0.21,0.55,2.27,20,18,38,16,60,16,47,6,3,2.7,1.1,3.8,0,,,,ponikal01
33,Alexei Semenov,26,SJS,D,22,1,0.05,0.14,0.18,0.06,1.64,1.05,1,3,4,1,11,5,15,1,-8,0.2,0.3,0.5,0,,,,semenal01
34,Alexei Zhitnik,35,ATL,D,65,3,0.05,0.08,0.12,0.05,0.89,1.22,3,5,8,3,46,3,66,15,-8,-0.2,1.7,1.5,0,,,,zhitnal01
