,,,,,,,Per Game,Per Game,Per Game,Per Game,,,Adjusted,Adjusted,Adjusted,Adjusted,Plus/Minus,Plus/Minus,Plus/Minus,Plus/Minus,,Point Shares,Point Shares,Point Shares,Shootouts,Shootouts,Shootouts,Shootouts,-additional
Rk,Player,Age,Tm,Pos,GP,GC,G,A,PTS,GC,PIM,S,G,A,PTS,GC,TGF,PGF,TGA,PGA,+/-,OPS,DPS,PS,Att.,Made,Miss,Pct.,-9999
1,Aaron Downey,34,DET,RW,4,1,0.25,0.25,0.50,0.20,1.75,0.50,1,1,2,1,2,0,2,0,0,0.3,0.0,0.3,0,,,,downeaa01
2,Aaron Johnson,25,CHI,D,38,3,0.08,0.13,0.21,0.08,0.87,0.71,3,5,8,3,29,0,15,5,19,0.5,2.5,3.0,0,,,,johnsaa01
3,Aaron MacKenzie,27,COL,D,5,0,0.00,0.00,0.00,0.00,0.00,0.60,0,0,0,0,1,0,1,1,1,-0.1,0.3,0.2,0,,,,mackeaa01
4,Aaron Rome,25,CBJ,D,8,0,0.00,0.13,0.13,0.03,0.00,0.88,0,1,1,0,4,0,5,2,1,0.0,0.3,0.3,0,,,,romeaa01
5,Aaron Voros,27,NYR,LW,54,6,0.15,0.15,0.30,0.12,2.26,1.22,8,8,16,7,23,4,28,0,-9,0.8,0.5,1.3,0,,,,vorosaa01
6,Aaron Ward,36,BOS,D,65,3,0.05,0.11,0.15,0.05,0.68,0.82,3,7,10,4,50,1,48,15,16,-0.1,3.6,3.5,0,,,,wardaa01
7,Adam Burish,26,CHI,RW,66,4,0.09,0.05,0.14,0.06,1.41,1.26,6,3,9,4,17,0,24,10,3,-0.2,0.7,0.5,0,,,,burisad01
8,Adam Foote,37,COL,D,42,2,0.02,0.14,0.17,0.05,0.71,0.45,1,6,7,2,19,0,49,18,-12,-0.1,1.2,1.1,0,,,,footead01
9,Adam Hall,28,TBL,RW,74,4,0.07,0.07,0.14,0.05,0.39,1.22,5,5,10,4,15,3,42,21,-9,-0.8,0.5,-0.3,1,1,0,100.0,hallad01
10,Adam Mair,29,BUF,C,75,7,0.11,0.15,0.25,0.10,1.27,1.00,8,11,19,7,26,0,22,0,4,0.6,1.1,1.6,0,,,,mairad01
11,Adam Pardy,24,CGY,D,60,3,0.02,0.15,0.17,0.05,1.15,0.63,1,9,10,3,37,0,39,5,3,0.1,2.0,2.1,0,,,,pardyad01
12,Adrian Aucoin,35,CGY,D,81,12,0.12,0.30,0.42,0.14,0.57,1.56,11,24,35,13,94,37,87,22,-8,2.4,3.0,5.4,0,,,,aucoiad01
13,Al Montoya,23,PHX,G,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.0,0.0,0.9,0,,,,montoal01
14,Aleš Hemský,25,EDM,RW,72,24,0.32,0.60,0.92,0.33,0.44,2.57,24,44,68,25,83,36,48,2,1,5.3,1.4,6.7,6,2,4,33.3,hemskal01
15,Aleš Kotalík,30,TOT,RW,75,17,0.27,0.31,0.57,0.22,0.45,2.77,21,23,44,18,67,28,45,1,-5,3.3,1.1,4.3,0,,,,kotalal01
15,Aleš Kotalík,30,BUF,RW,56,12,0.23,0.34,0.57,0.22,0.50,2.73,14,19,33,13,49,24,32,0,-7,2.3,0.7,3.0,10,6,4,60.0,kotalal01
15,Aleš Kotalík,30,EDM,RW,19,5,0.37,0.21,0.58,0.25,0.32,2.89,7,4,11,5,18,4,13,1,2,1.0,0.4,1.4,3,2,1,66.7,kotalal01
16,Alex Auld,28,OTT,G,43,0,0.00,0.00,0.00,0.00,0.05,0.00,0,0,0,0,0,0,0,0,0,0.0,0.0,7.2,0,,,,auldal01
17,Alex Frolov,26,LAK,LW,77,25,0.42,0.35,0.77,0.32,0.39,2.29,34,27,61,26,84,37,76,23,-6,5.3,2.0,7.3,6,1,5,16.7,froloal01
18,Alex Goligoski,23,PIT,D,45,7,0.13,0.31,0.44,0.15,0.36,1.36,6,14,20,7,54,20,30,1,5,1.7,1.8,3.6,2,1,1,50.0,goligal01
