,,,,,,,Per Game,Per Game,Per Game,Per Game,,,Adjusted,Adjusted,Adjusted,Adjusted,Plus/Minus,Plus/Minus,Plus/Minus,Plus/Minus,,Point Shares,Point Shares,Point Shares,Shootouts,Shootouts,Shootouts,Shootouts,-additional
19,Alex Henry,29,MTL,D,2,0,0.00,0.00,0.00,0.00,5.00,0.00,0,0,0,0,0,0,2,0,-2,0.0,-0.1,-0.1,0,,,,henryal01
20,Alex Kovalev,35,MTL,RW,78,25,0.33,0.50,0.83,0.32,0.95,2.68,27,40,67,26,93,48,62,12,-5,5.4,1.4,6.8,8,4,4,50.0,kovalal01
21,Alex Ovechkin,23,WSH,LW,79,45,0.71,0.68,1.39,0.57,0.91,6.68,59,55,114,47,162,80,82,8,8,12.5,2.0,14.5,7,2,5,28.6,ovechal01
22,Alex Pietrangelo,19,STL,D,8,0,0.00,0.13,0.13,0.03,0.25,0.88,0,1,1,0,11,4,7,0,0,-0.1,0.3,0.3,0,,,,pietral01
23,Alex Tanguay,29,MTL,LW,50,16,0.32,0.50,0.82,0.31,0.68,1.52,17,25,42,16,66,29,25,1,13,3.8,1.4,5.2,5,2,3,40.0,tangual01
24,Alexander Edler,22,VAN,D,80,13,0.13,0.34,0.46,0.16,0.68,1.81,11,27,38,13,94,37,65,19,11,2.9,4.3,7.2,2,0,2,0.0,edleral01
25,Alexander Nikulin,23,PHX,C,1,0,0.00,0.00,0.00,0.00,0.00,1.00,0,0,0,0,0,0,1,0,-1,0.0,0.0,0.0,0,,,,nikulal01
26,Alexander Semin,24,WSH,RW,62,31,0.55,0.73,1.27,0.50,1.24,3.60,36,46,82,32,110,49,45,9,25,8.6,2.1,10.7,7,3,4,42.9,seminal01
27,Alexander Steen,24,TOT,C,81,10,0.10,0.25,0.35,0.12,0.37,1.83,8,20,28,10,44,14,67,27,-10,0.0,1.2,1.2,0,,,,steenal01
27,Alexander Steen,24,STL,C,61,8,0.10,0.30,0.39,0.13,0.39,1.92,6,18,24,8,35,12,46,17,-6,0.3,1.1,1.4,0,,,,steenal01
27,Alexander Steen,24,TOR,C,20,2,0.10,0.10,0.20,0.08,0.30,1.55,2,2,4,2,9,2,21,10,-4,-0.3,0.1,-0.2,1,0,1,0.0,steenal01
28,Alexander Sulzer,24,NSH,D,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,,,,sulzeal01
29,Alexandre Bolduc,23,VAN,C,7,0,0.00,0.14,0.14,0.04,0.57,1.00,0,1,1,0,2,0,2,1,1,0.0,0.1,0.1,0,,,,boldual01
30,Alexandre Burrows,27,VAN,LW,82,21,0.34,0.28,0.62,0.26,1.83,2.13,30,23,53,23,68,1,67,23,23,4.3,2.3,6.6,6,1,5,16.7,burroal01
31,Alexandre Giroux,27,WSH,LW,12,1,0.08,0.08,0.17,0.07,0.83,1.67,1,1,2,1,5,0,1,0,4,0.0,0.3,0.2,0,,,,giroual01
32,Alexandre Picard,23,OTT,D,47,5,0.13,0.17,0.30,0.12,0.17,1.53,6,8,14,5,50,23,33,4,-2,1.1,2.1,3.1,0,,,,picaral01
33,Alexandre Picard,23,CBJ,LW,15,0,0.00,0.07,0.07,0.02,1.73,0.67,0,1,1,0,2,0,3,0,-1,-0.2,0.1,-0.1,0,,,,picaral02
34,Alexei Ponikarovsky,28,TOR,LW,82,22,0.28,0.46,0.74,0.27,0.46,2.26,24,39,63,24,84,20,71,13,6,5.0,1.4,6.4,0,,,,ponikal01
35,Alexei Semenov,27,SJS,D,47,2,0.02,0.15,0.17,0.05,1.21,0.60,1,7,8,2,20,1,18,2,3,0.2,1.8,2.0,0,,,,semenal01
36,André Deveaux,24,TOR,C,21,0,0.00,0.05,0.05,0.01,3.57,0.71,0,1,1,0,2,0,5,0,-3,-0.3,0.0,-0.3,0,,,,deveaan01
37,André Roy,33,CGY,LW,44,2,0.07,0.00,0.07,0.04,1.89,0.59,3,0,3,2,4,0,5,0,-1,-0.1,0.2,0.1,0,,,,royan01
38,Andreas Lilja,33,DET,D,60,4,0.03,0.18,0.22,0.07,1.10,1.00,2,11,13,4,49,0,61,25,13,0.3,2.7,3.1,0,,,,liljaan01
39,Andreas Nödl,21,PHI,RW,38,1,0.03,0.08,0.11,0.04,0.05,0.87,1,3,4,1,6,1,21,1,-15,-0.7,-0.2,-0.9,0,,,,nodlan01
40,Andrei Kostitsyn,23,MTL,LW,74,18,0.31,0.24,0.55,0.24,0.68,2.28,24,18,42,18,78,31,59,5,-7,3.5,1.0,4.5,5,0,5,0.0,kostian01
41,Andrei Markov,30,MTL,D,78,21,0.15,0.67,0.82,0.27,0.46,2.12,13,53,66,22,117,58,96,35,-2,5.9,3.8,9.7,7,3,4,42.9,markoan01
42,Andrej Meszároš,23,TBL,D,52,5,0.04,0.27,0.31,0.09,0.69,1.67,2,14,16,5,48,11,68,27,-4,0.4,2.1,2.5,0,,,,meszaan01
43,Andrej Sekera,22,BUF,D,69,6,0.04,0.23,0.28,0.09,0.32,1.22,3,16,19,6,56,10,76,19,-11,0.6,2.2,2.9,0,,,,sekeran01
44,Andrew Alberts,27,PHI,D,79,4,0.01,0.15,0.16,0.05,0.77,0.58,1,12,13,4,51,2,57,14,6,0.0,2.7,2.7,0,,,,alberan01
45,Andrew Brunette,35,MIN,LW,80,19,0.28,0.35,0.63,0.24,0.23,1.48,23,28,51,20,87,43,49,0,-5,3.7,1.8,5.5,1,0,1,0.0,brunean01
46,Andrew Cogliano,21,EDM,C,82,15,0.22,0.24,0.46,0.18,0.27,1.41,19,20,39,16,52,14,50,6,-6,2.4,0.9,3.3,0,,,,coglian01
47,Andrew Ebbett,26,ANA,C,48,11,0.17,0.50,0.67,0.22,0.50,2.08,8,24,32,11,46,15,24,1,8,2.2,1.0,3.2,0,,,,ebbetan01
48,Andrew Ference,29,BOS,D,47,5,0.02,0.32,0.34,0.10,0.85,1.53,1,15,16,5,45,13,36,11,7,0.6,2.4,3.0,0,,,,ferenan01
49,Andrew Gordon,23,WSH,RW,1,0,0.00,0.00,0.00,0.00,0.00,1.00,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,,,,gordoan01
50,Andrew Hutchinson,28,TOT,D,40,2,0.05,0.08,0.13,0.05,0.30,1.45,2,3,5,2,17,2,26,2,-9,0.0,0.5,0.5,0,,,,hutchan01
50,Andrew Hutchinson,28,DAL,D,38,2,0.05,0.08,0.13,0.05,0.32,1.47,2,3,5,2,16,1,21,2,-4,0.1,0.8,0.9,0,,,,hutchan01
50,Andrew Hutchinson,28,TBL,D,2,0,0.00,0.00,0.00,0.00,0.00,1.00,0,0,0,0,1,1,5,0,-5,0.0,-0.3,-0.4,0,,,,hutchan01
51,Andrew Ladd,23,CHI,LW,82,17,0.18,0.41,0.60,0.21,0.34,2.38,16,35,51,18,66,1,46,7,26,3.2,2.2,5.4,0,,,,laddan01
52,Andrew MacDonald,22,NYI,D,3,0,0.00,0.00,0.00,0.00,0.67,0.33,0,0,0,0,2,0,0,0,2,0.0,0.2,0.2,0,,,,macdoan01
53,Andrew Murray,27,CBJ,C,67,5,0.12,0.04,0.16,0.08,0.15,1.33,8,3,11,5,17,2,30,9,-6,-0.2,0.6,0.4,0,,,,murraan01
54,Andrew Peters,28,BUF,LW,28,0,0.00,0.04,0.04,0.01,2.89,0.36,0,1,1,0,1,0,3,0,-2,-0.2,0.0,-0.2,0,,,,peteran01
55,Andrew Raycroft,28,COL,G,31,0,0.00,0.00,0.00,0.00,0.06,0.00,0,0,0,0,0,0,0,0,0,0.0,0.0,3.5,0,,,,raycran01
56,Andy Greene,26,NJD,D,49,3,0.04,0.14,0.18,0.06,0.45,0.78,2,7,9,3,30,7,20,0,3,0.2,1.8,2.0,0,,,,greenan01
57,Andy Hilbert,27,NYI,C,67,10,0.16,0.24,0.40,0.15,0.33,2.49,12,16,28,11,38,6,60,25,-3,0.9,1.2,2.1,0,,,,hilbean01
58,Andy McDonald,31,STL,C,46,16,0.33,0.63,0.96,0.35,0.52,2.78,16,29,45,17,60,29,45,1,-13,3.7,0.6,4.4,6,2,4,33.3,mcdonan01
59,Andy Sutton,33,NYI,D,23,3,0.09,0.35,0.43,0.14,1.74,0.83,2,8,10,3,22,2,27,10,3,0.7,1.3,2.0,0,,,,suttoan01
60,Andy Wozniewski,28,STL,D,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,,,,woznian01
61,Anssi Salmela,24,TOT,D,26,2,0.04,0.19,0.23,0.07,0.31,1.58,1,5,6,2,18,4,14,1,1,0.2,0.8,1.1,0,,,,salmean01
61,Anssi Salmela,24,NJD,D,17,1,0.00,0.18,0.18,0.05,0.35,1.94,0,3,3,1,11,3,7,0,1,0.0,0.6,0.6,0,,,,salmean01
61,Anssi Salmela,24,ATL,D,9,1,0.11,0.22,0.33,0.12,0.22,0.89,1,2,3,1,7,1,7,1,0,0.2,0.2,0.5,0,,,,salmean01
62,Antero Niittymäki,28,PHI,G,32,0,0.00,0.03,0.03,0.01,0.06,0.00,0,1,1,0,1,0,0,0,0,0.0,0.0,6.1,0,,,,niittan01
63,Anthony Stewart,24,FLA,RW,59,2,0.03,0.08,0.12,0.04,0.58,0.95,2,5,7,2,7,0,13,0,-6,-0.4,0.2,-0.1,0,,,,stewaan01
64,Antoine Vermette,26,TOT,C,79,15,0.20,0.32,0.52,0.20,0.63,2.20,16,25,41,16,57,20,70,26,-7,1.9,1.6,3.5,0,,,,vermean01
64,Antoine Vermette,26,OTT,C,62,10,0.15,0.31,0.45,0.16,0.68,2.27,9,19,28,10,39,17,57,23,-12,0.7,1.0,1.7,4,0,4,0.0,vermean01
64,Antoine Vermette,26,CBJ,C,17,5,0.41,0.35,0.76,0.32,0.47,1.94,7,6,13,5,18,3,13,3,5,1.2,0.6,1.7,1,0,1,0.0,vermean01
65,Anton Babchuk,24,CAR,D,72,14,0.22,0.26,0.49,0.19,0.22,1.76,17,19,36,14,66,16,51,14,13,3.8,4.1,7.9,0,,,,babchan01
66,Anton Strålman,22,TOR,D,38,4,0.03,0.32,0.34,0.10,0.53,1.13,1,12,13,4,33,12,26,3,-2,0.8,0.8,1.6,0,,,,stralan01
67,Anton Volchenkov,26,OTT,D,68,3,0.03,0.12,0.15,0.05,0.53,1.16,2,8,10,3,35,1,67,23,-10,-0.4,2.6,2.3,0,,,,volchan01
68,Antti Miettinen,28,MIN,RW,82,16,0.18,0.35,0.54,0.19,0.39,2.27,16,29,45,17,63,20,53,9,-1,1.9,2.2,4.1,5,3,2,60.0,miettan01
69,Antti Niemi,25,CHI,G,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0,,,,niemian02
70,Antti Pihlström,24,NSH,LW,53,2,0.04,0.09,0.13,0.05,0.19,1.66,2,5,7,2,14,1,15,1,-1,-0.8,0.8,-0.1,0,,,,pihlsan01
71,Anže Kopitar,21,LAK,C,82,25,0.33,0.48,0.80,0.31,0.39,2.85,29,40,69,27,87,31,84,11,-17,5.1,1.7,6.9,7,2,5,28.6,kopitan01
72,Arron Asham,30,PHI,RW,78,8,0.10,0.15,0.26,0.10,1.99,0.95,8,12,20,8,30,0,30,0,0,1.1,0.6,1.7,0,,,,ashamar01
73,Artem Anisimov,20,NYR,C,1,0,0.00,0.00,0.00,0.00,0.00,1.00,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,,,,anisiar01
74,B.J. Crombeen,23,TOT,RW,81,9,0.15,0.12,0.27,0.11,1.83,1.53,13,10,23,10,32,3,44,6,-9,0.6,1.0,1.6,0,,,,crombbj01
74,B.J. Crombeen,23,STL,RW,66,8,0.17,0.09,0.26,0.11,1.85,1.70,12,6,18,8,26,3,37,6,-8,0.4,0.9,1.2,0,,,,crombbj01
74,B.J. Crombeen,23,DAL,RW,15,2,0.07,0.27,0.33,0.11,1.73,0.80,1,4,5,2,6,0,7,0,-1,0.3,0.1,0.4,0,,,,crombbj01
75,Barret Jackman,27,STL,D,82,7,0.05,0.21,0.26,0.08,1.05,1.09,4,17,21,7,67,7,110,33,-17,0.4,3.5,3.8,0,,,,jackmba01
76,Barry Tallackson,25,NJD,RW,4,0,0.00,0.00,0.00,0.00,0.00,0.50,0,0,0,0,0,0,1,0,-1,-0.1,0.0,-0.1,0,,,,tallaba01
77,Ben Bishop,22,STL,G,6,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0,,,,bishobe01
78,Ben Eager,25,CHI,LW,75,7,0.15,0.05,0.20,0.09,2.15,1.07,12,4,16,8,24,1,24,2,1,0.9,0.7,1.5,0,,,,eagerbe01
79,Ben Guite,30,COL,RW,50,5,0.10,0.14,0.24,0.09,0.60,1.26,5,7,12,5,19,0,36,19,2,0.0,1.0,0.9,0,,,,guitebe01
80,Ben Lovejoy,24,PIT,D,2,0,0.00,0.00,0.00,0.00,0.00,0.50,0,0,0,0,1,0,1,0,0,0.0,0.0,0.0,0,,,,lovejbe01
81,Ben Maxwell,20,MTL,C,7,0,0.00,0.00,0.00,0.00,0.29,0.29,0,0,0,0,0,0,1,0,-1,-0.2,0.0,-0.2,0,,,,maxwebe01
82,Ben Ondrus,26,TOR,RW,11,0,0.00,0.00,0.00,0.00,3.09,0.18,0,0,0,0,0,0,6,2,-4,-0.3,-0.1,-0.4,0,,,,ondrube01
83,Ben Walter,24,NYI,C,4,0,0.00,0.00,0.00,0.00,0.00,0.50,0,0,0,0,0,0,2,0,-2,-0.1,0.0,-0.2,0,,,,waltebe01
84,Benoît Pouliot,22,MIN,LW,37,4,0.14,0.16,0.30,0.12,0.49,0.92,5,6,11,4,18,7,10,0,1,0.4,0.7,1.1,0,,,,poulibe01
85,Bill Guerin,38,TOT,RW,78,18,0.27,0.35,0.62,0.24,1.04,2.90,22,27,49,19,74,31,56,1,-12,3.5,1.0,4.5,0,,,,gueribi01
85,Bill Guerin,38,NYI,RW,61,14,0.26,0.33,0.59,0.23,1.03,2.97,17,20,37,15,54,25,45,1,-15,2.4,0.7,3.1,2,1,1,50.0,gueribi01
85,Bill Guerin,38,PIT,RW,17,5,0.29,0.41,0.71,0.27,1.06,2.65,5,7,12,5,20,6,11,0,3,1.1,0.4,1.4,0,,,,gueribi01
86,Bill Thomas,25,PIT,RW,16,1,0.13,0.06,0.19,0.08,0.13,1.06,2,1,3,1,3,0,8,1,-4,0.1,0.0,0.1,0,,,,thomabi01
87,Blair Betts,28,NYR,C,81,4,0.07,0.05,0.12,0.05,0.20,1.02,6,4,10,4,19,0,40,16,-5,-0.8,1.0,0.2,0,,,,bettsbl01
88,Blake Comeau,22,NYI,LW,53,9,0.13,0.34,0.47,0.16,0.60,1.47,7,18,25,9,38,14,46,5,-17,0.9,0.4,1.2,0,,,,comeabl01
89,Blake Wheeler,22,BOS,RW,81,18,0.26,0.30,0.56,0.22,0.57,1.85,22,24,46,19,70,6,45,17,36,3.7,2.5,6.2,7,4,3,57.1,wheelbl01
90,Bobby Holík,38,NJD,C,62,3,0.06,0.08,0.15,0.06,1.06,1.27,4,5,9,4,13,1,14,0,-2,-0.5,0.6,0.1,0,,,,holikbo01
91,Bobby Ryan,21,ANA,RW,64,23,0.48,0.41,0.89,0.36,0.52,2.72,33,26,59,25,82,29,40,0,13,6.2,1.6,7.8,6,1,5,16.7,ryanbo01
92,Boris Valábik,22,ATL,D,50,1,0.00,0.10,0.10,0.03,2.64,0.32,0,5,5,1,20,0,46,12,-14,-0.4,0.1,-0.3,0,,,,valabbo01
93,Boyd Devereaux,30,TOR,C,23,5,0.26,0.22,0.48,0.20,0.09,1.78,6,5,11,5,15,0,21,9,3,0.9,0.4,1.3,0,,,,deverbo01
94,Boyd Gordon,25,WSH,C,63,5,0.08,0.14,0.22,0.08,0.25,1.10,5,9,14,5,18,0,55,33,-4,-0.4,0.6,0.2,1,0,1,0.0,gordobo01
95,Boyd Kane,30,PHI,LW,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,,,,kanebo01
96,Brad Boyes,26,STL,RW,82,28,0.40,0.48,0.88,0.35,0.32,2.68,35,40,75,30,100,51,70,1,-20,6.6,1.3,7.9,12,6,6,50.0,boyesbr01
97,Brad Lukowich,32,SJS,D,58,2,0.00,0.14,0.14,0.04,0.21,0.74,0,8,8,2,32,0,36,9,5,-0.3,2.8,2.5,0,,,,lukowbr01
98,Brad May,37,TOT,LW,58,2,0.02,0.10,0.12,0.04,1.53,0.55,1,6,7,2,14,0,14,0,0,-0.4,0.4,0.0,0,,,,maybr01
98,Brad May,37,TOR,LW,38,1,0.03,0.03,0.05,0.02,1.61,0.71,1,1,2,1,8,0,13,0,-5,-0.5,0.1,-0.5,0,,,,maybr01
98,Brad May,37,ANA,LW,20,1,0.00,0.25,0.25,0.07,1.40,0.25,0,5,5,1,6,0,1,0,5,0.2,0.3,0.5,0,,,,maybr01
99,Brad Richards,28,DAL,C,56,17,0.29,0.57,0.86,0.30,0.11,3.21,17,33,50,18,70,28,60,14,-4,3.3,1.1,4.4,7,2,5,28.6,richabr01
100,Brad Richardson,23,LAK,RW,31,1,0.00,0.16,0.16,0.04,0.35,1.19,0,5,5,1,7,0,14,1,-6,-0.4,0.2,-0.2,0,,,,richabr02
101,Brad Staubitz,24,SJS,RW,35,1,0.03,0.06,0.09,0.03,2.17,0.63,1,2,3,1,3,0,3,0,0,-0.2,0.3,0.1,0,,,,staubbr01
102,Brad Stuart,29,DET,D,67,5,0.03,0.19,0.22,0.07,0.39,1.57,2,13,15,5,58,1,86,26,-3,0.2,2.0,2.2,0,,,,stuarbr02
103,Brad Winchester,27,STL,LW,64,9,0.20,0.13,0.33,0.14,1.39,1.28,14,8,22,10,35,12,24,0,-1,1.4,1.0,2.3,1,1,0,100.0,winchbr01
104,Brandon Bochenski,26,TBL,RW,7,0,0.00,0.14,0.14,0.04,0.29,1.57,0,1,1,0,2,0,5,0,-3,-0.1,0.0,-0.2,0,,,,bochebr01
105,Brandon Dubinsky,22,NYR,C,82,14,0.16,0.34,0.50,0.17,1.37,2.29,14,28,42,15,63,16,54,1,-6,1.7,1.7,3.4,0,,,,dubinbr01
106,Brandon Prust,24,TOT,RW,36,1,0.03,0.06,0.08,0.03,3.00,0.64,1,2,3,1,5,0,13,0,-8,-0.4,0.0,-0.4,0,,,,prustbr01
106,Brandon Prust,24,CGY,RW,25,1,0.04,0.04,0.08,0.03,3.16,0.60,1,1,2,1,3,0,7,0,-4,-0.1,0.0,-0.1,0,,,,prustbr01
106,Brandon Prust,24,PHX,RW,11,0,0.00,0.09,0.09,0.02,2.64,0.73,0,1,1,0,2,0,6,0,-4,-0.2,0.0,-0.2,0,,,,prustbr01
107,Brandon Segal,25,TBL,RW,2,0,0.00,0.00,0.00,0.00,0.00,1.00,0,0,0,0,0,0,0,0,0,-0.1,0.0,-0.1,0,,,,segalbr01
108,Brandon Sutter,19,CAR,C,50,2,0.02,0.10,0.12,0.04,0.32,1.14,1,5,6,2,10,0,22,11,-1,-0.5,0.5,0.0,0,,,,suttebr03
109,Braydon Coburn,23,PHI,D,80,10,0.09,0.26,0.35,0.12,1.21,1.63,7,21,28,10,98,29,94,32,7,1.5,4.0,5.5,0,,,,coburbr01
110,Brendan Bell,25,OTT,D,53,7,0.11,0.28,0.40,0.14,0.45,1.43,6,15,21,7,57,23,42,3,-5,1.8,2.0,3.7,1,0,1,0.0,bellbr02
111,Brendan Mikkelson,21,ANA,D,34,1,0.00,0.06,0.06,0.02,0.50,0.56,0,2,2,1,17,0,22,5,0,-0.4,1.0,0.6,0,,,,mikkebr01
112,Brendan Morrison,33,TOT,C,81,12,0.20,0.19,0.38,0.15,0.40,1.37,17,15,32,13,44,9,35,3,3,1.5,1.3,2.9,0,,,,morribr01
112,Brendan Morrison,33,ANA,C,62,8,0.16,0.19,0.35,0.14,0.26,1.32,11,12,23,9,30,6,24,0,0,0.8,0.9,1.7,1,0,1,0.0,morribr01
112,Brendan Morrison,33,DAL,C,19,4,0.32,0.16,0.47,0.21,0.84,1.53,6,3,9,4,14,3,11,3,3,0.7,0.4,1.1,0,,,,morribr01
113,Brendan Shanahan,40,NJD,LW,34,5,0.18,0.24,0.41,0.16,0.85,2.26,6,8,14,5,16,3,19,4,-2,0.6,0.5,1.1,1,1,0,100.0,shanabr01
114,Brendan Witt,33,NYI,D,65,2,0.00,0.14,0.14,0.04,1.45,0.80,0,9,9,2,31,2,95,32,-34,-0.6,0.4,-0.2,1,0,1,0.0,wittbr01
115,Brenden Morrow,30,DAL,LW,18,5,0.28,0.56,0.83,0.29,2.72,2.89,5,10,15,5,21,8,22,5,-4,1.0,0.2,1.2,0,,,,morrobr01
116,Brent Burns,23,MIN,D,59,9,0.14,0.32,0.46,0.16,0.76,2.49,8,19,27,10,59,21,53,8,-7,2.1,3.4,5.5,3,0,3,0.0,burnsbr01
117,Brent Johnson,31,WSH,G,21,0,0.00,0.05,0.05,0.01,0.19,0.05,0,1,1,0,1,0,0,0,0,0.0,0.0,3.5,0,,,,johnsbr02
118,Brent Krahn,26,DAL,G,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.0,0.0,-0.2,0,,,,krahnbr01
119,Brent Seabrook,23,CHI,D,82,9,0.10,0.22,0.32,0.11,0.76,1.61,8,18,26,9,94,18,87,34,23,1.3,5.4,6.7,0,,,,seabrbr01
120,Brent Sopel,32,CHI,D,23,1,0.04,0.04,0.09,0.03,0.35,0.65,1,1,2,1,9,0,19,6,-4,-0.1,0.3,0.2,0,,,,sopelbr01
121,Bret Hedican,38,ANA,D,51,2,0.02,0.10,0.12,0.04,0.71,0.78,1,5,6,2,36,5,42,4,-7,-0.3,1.1,0.9,0,,,,hedicbr01
122,Brett Carson,23,CAR,D,5,0,0.00,0.00,0.00,0.00,0.80,0.40,0,0,0,0,0,0,5,2,-3,-0.1,-0.1,-0.1,0,,,,carsobr01
123,Brett Clark,32,COL,D,76,4,0.03,0.13,0.16,0.05,0.42,1.28,2,10,12,4,57,11,103,41,-16,-0.5,3.2,2.7,0,,,,clarkbr01
124,Brett Festerling,22,ANA,D,40,1,0.00,0.13,0.13,0.03,0.45,0.38,0,5,5,1,15,0,20,10,5,-0.3,1.7,1.5,0,,,,festebr01
125,Brett Lebda,27,DET,D,65,6,0.09,0.15,0.25,0.09,0.74,1.06,6,10,16,6,33,0,24,0,9,1.2,2.2,3.4,0,,,,lebdabr01
126,Brett McLean,30,FLA,C,80,7,0.09,0.15,0.24,0.09,0.36,1.43,7,12,19,7,29,3,47,9,-12,-0.1,0.5,0.4,0,,,,mcleabr01
127,Brett Skinner,25,NYI,D,11,0,0.00,0.00,0.00,0.00,0.36,0.45,0,0,0,0,8,2,3,0,3,-0.2,0.5,0.4,0,,,,skinnbr01
128,Brett Sterling,24,ATL,LW,6,1,0.17,0.00,0.17,0.09,0.33,1.83,1,0,1,1,2,1,4,0,-3,0.0,-0.1,-0.1,1,1,0,100.0,sterlbr01
129,Brett Sutter,21,CGY,LW,4,1,0.25,0.00,0.25,0.13,0.50,1.50,1,0,1,1,2,0,4,0,-2,0.1,0.0,0.1,0,,,,suttebr04
130,Brian Boucher,32,SJS,G,22,0,0.00,0.00,0.00,0.00,0.09,0.00,0,0,0,0,0,0,0,0,0,0.0,0.0,3.9,0,,,,bouchbr01
131,Brian Boyle,24,LAK,C,28,2,0.14,0.04,0.18,0.09,1.50,1.29,4,1,5,2,5,0,14,0,-9,0.1,0.1,0.2,0,,,,boylebr01
