,,,,,,,Per Game,Per Game,Per Game,Per Game,,,Adjusted,Adjusted,Adjusted,Adjusted,Plus/Minus,Plus/Minus,Plus/Minus,Plus/Minus,,Possession Quality,Possession Quality,Possession Quality,Point Shares,Point Shares,Point Shares,Shootouts,Shootouts,Shootouts,Shootouts,-additional
50,Andreas Athanasiou,25,EDM,C,9,1,0.11,0.11,0.22,0.09,0.44,1.56,1,1,2,1,2,0,3,0,-1,4.6,5.5,-0.9,0.0,0.1,0.1,0,,,,athanan01
51,Andreas Englund,24,OTT,D,24,1,0.00,0.13,0.13,0.03,0.50,0.42,0,3,3,1,5,0,19,6,-8,7.7,10.9,-3.2,0.0,-0.1,-0.1,0,,,,engluan01
52,Andreas Johnsson,25,TOR,LW,43,8,0.19,0.30,0.49,0.18,0.33,1.81,9,15,24,9,44,14,30,0,0,28.2,24.3,3.9,1.1,0.6,1.6,1,1,0,100.0,johnsan01
53,Andrei Chibisov,26,WPG,F,2,0,0.00,0.00,0.00,0.00,0.00,0.50,0,0,0,0,0,0,0,0,0,0.3,0.5,-0.2,0.0,0.0,0.0,0,,,,chibian01
54,Andrei Svechnikov,19,CAR,RW,68,23,0.35,0.54,0.90,0.33,0.79,2.69,29,45,74,28,93,31,53,0,9,49.4,38.3,11.1,5.3,1.6,6.9,4,3,1,75.0,svechan01
55,Andrei Vasilevskiy,25,TBL,G,52,1,0.00,0.08,0.08,0.02,0.08,0.00,0,5,5,1,184,38,133,31,0,109.5,102.3,,0.0,0.0,10.4,0,,,,vasilan02
56,Andrej Sekera,33,DAL,D,57,3,0.04,0.11,0.14,0.05,0.25,1.11,2,7,9,3,26,0,30,13,9,35.1,34.6,0.4,-0.3,3.4,3.2,0,,,,sekeran01
57,Andrew Agozzino,29,TOT,LW,22,1,0.05,0.09,0.14,0.05,0.18,0.45,1,2,3,1,8,1,5,1,3,4.4,5.0,-0.6,0.0,0.3,0.3,0,,,,agozzan01
57,Andrew Agozzino,29,PIT,LW,17,1,0.00,0.12,0.12,0.03,0.24,0.47,0,2,2,1,5,1,5,1,0,3.1,3.8,-0.7,-0.1,0.1,0.0,0,,,,agozzan01
57,Andrew Agozzino,29,ANA,LW,5,1,0.20,0.00,0.20,0.11,0.00,0.40,1,0,1,1,3,0,0,0,3,1.3,1.2,0.1,0.1,0.2,0.2,0,,,,agozzan01
58,Andrew Cogliano,32,DAL,LW/C,68,5,0.04,0.16,0.21,0.07,0.44,1.00,4,13,17,6,22,0,37,16,2,25.8,28.0,-2.2,-0.6,1.2,0.6,0,,,,coglian01
59,Andrew Copp,25,WPG,C,63,10,0.16,0.25,0.41,0.15,0.16,1.92,12,19,31,12,37,3,51,14,-3,31.0,39.2,-8.3,0.4,1.2,1.6,0,,,,coppan01
60,Andrew Ladd,34,NYI,LW,4,1,0.25,0.00,0.25,0.14,1.00,1.25,1,0,1,1,2,0,0,0,2,2.3,1.9,0.4,0.1,0.1,0.2,1,0,1,0.0,laddan01
61,Andrew Mangiapane,23,CGY,LW,68,14,0.25,0.22,0.47,0.20,0.26,1.60,20,18,38,16,54,5,44,0,4,41.1,36.1,5.0,2.4,1.3,3.8,1,0,1,0.0,mangian01
62,Andrew Peeke,21,CBJ,D,22,1,0.05,0.09,0.14,0.05,0.18,1.05,1,2,3,1,11,0,10,0,1,11.0,9.4,1.6,0.0,0.9,0.9,0,,,,peekean01
63,Andrew Shaw,28,CHI,C,26,4,0.12,0.27,0.38,0.14,1.27,1.77,4,8,12,4,20,5,17,0,-4,17.5,15.9,1.5,0.3,0.2,0.5,0,,,,shawan01
64,Andy Andreoff,28,PHI,LW,14,0,0.00,0.07,0.07,0.02,0.14,1.00,0,1,1,0,3,0,6,0,-3,4.3,5.1,-0.8,-0.2,0.0,-0.2,0,,,,andrean01
65,Andy Greene,37,TOT,D,63,4,0.03,0.19,0.22,0.07,0.25,0.95,2,15,17,5,43,1,69,26,1,35.3,41.8,-6.5,0.1,3.1,3.2,0,,,,greenan01
65,Andy Greene,37,NJD,D,53,4,0.04,0.17,0.21,0.07,0.26,0.92,2,11,13,4,37,0,59,22,1,30.9,37.1,-6.2,0.0,2.7,2.7,0,,,,greenan01
65,Andy Greene,37,NYI,D,10,1,0.00,0.30,0.30,0.08,0.20,1.10,0,4,4,1,6,1,10,4,0,4.5,4.8,-0.3,0.1,0.4,0.5,0,,,,greenan01
66,Anthony Angello,23,PIT,C,8,1,0.13,0.00,0.13,0.07,0.50,0.63,1,0,1,1,2,0,2,0,-1,1.6,2.2,-0.5,0.1,0.0,0.1,0,,,,angelan01
67,Anthony Beauvillier,22,NYI,LW,68,15,0.26,0.31,0.57,0.23,0.22,1.94,22,25,47,19,63,15,63,4,-11,44.0,44.4,-0.4,2.5,1.0,3.5,1,1,0,100.0,beauvan01
68,Anthony Bitetto,29,WPG,D,51,2,0.00,0.16,0.16,0.04,0.63,1.06,0,9,9,2,34,0,43,16,3,25.9,30.3,-4.3,-0.2,1.9,1.7,0,,,,bitetan01
69,Anthony Cirelli,22,TBL,C,68,16,0.24,0.41,0.65,0.24,0.44,1.66,19,33,52,19,74,10,62,29,28,44.0,34.2,9.9,2.5,2.2,4.7,0,,,,cirelan01
70,Anthony Duclair,24,OTT,LW,66,17,0.35,0.26,0.61,0.26,0.27,2.79,27,20,47,20,57,15,56,9,-5,35.8,37.8,-2.0,3.5,1.0,4.5,5,0,5,0.0,duclaan01
71,Anthony Mantha,25,DET,RW,43,14,0.37,0.51,0.88,0.33,0.79,3.19,19,25,44,17,51,14,46,1,-7,32.3,22.5,9.8,3.1,1.0,4.1,0,,,,manthan01
72,Anthony Richard,23,NSH,C,1,0,0.00,0.00,0.00,0.00,0.00,2.00,0,0,0,0,0,0,1,0,-1,0.1,0.5,-0.4,0.0,0.0,0.0,0,,,,richaan01
73,Anthony Stolarz,26,ANA,G,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,1,0,3,1,,1.8,1.4,,0.0,0.0,0.3,0,,,,stolaan01
74,Antoine Bibeau,25,COL,G,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,6,1,5,3,,2.1,2.9,,0.0,0.0,0.1,0,,,,bibeaan01
75,Antoine Roussel,30,VAN,LW,41,5,0.17,0.15,0.32,0.13,1.05,1.34,8,7,15,6,33,9,23,0,0,17.3,22.3,-5.0,0.6,0.5,1.2,0,,,,roussan01
76,Anton Blidh,24,BOS,LW,7,0,0.00,0.00,0.00,0.00,0.00,1.29,0,0,0,0,3,0,4,2,-1,2.0,1.0,0.9,-0.2,0.1,-0.2,0,,,,blidhan01
77,Anton Forsberg,27,CAR,G,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,5,1,8,0,0,4.3,6.2,,0.0,0.0,0.3,0,,,,forsban01
78,Anton Khudobin,33,DAL,G,30,1,0.00,0.10,0.10,0.03,0.13,0.00,0,4,4,1,74,14,62,22,0,53.2,51.2,,0.0,0.0,6.9,0,,,,khudoan01
79,Anton Lindholm,25,COL,D,4,0,0.00,0.25,0.25,0.07,0.00,0.25,0,1,1,0,3,0,2,0,1,2.2,1.5,0.7,0.0,0.2,0.2,0,,,,lindhan01
80,Anton Strålman,33,FLA,D,69,6,0.07,0.20,0.28,0.09,0.20,1.29,6,17,23,8,66,0,90,16,-6,49.9,56.4,-6.6,0.6,2.0,2.6,0,,,,stralan01
81,Anton Wedin,26,CHI,F,4,0,0.00,0.00,0.00,0.00,1.00,0.50,0,0,0,0,1,0,0,0,1,0.6,0.9,-0.3,-0.1,0.1,0.0,0,,,,wedinan01
82,Antti Raanta,30,ARI,G,33,0,0.00,0.00,0.00,0.00,0.06,0.00,0,0,0,0,85,15,80,11,0,56.7,63.2,,0.0,0.0,7.0,0,,,,raantan01
83,Antti Suomela,25,SJS,C,20,2,0.05,0.30,0.35,0.11,0.20,0.90,1,7,8,2,10,0,7,1,4,7.2,5.8,1.4,0.3,0.4,0.7,0,,,,suomean01
84,Anže Kopitar,32,LAK,C,70,22,0.30,0.59,0.89,0.32,0.23,1.93,25,48,73,27,80,22,71,19,6,41.4,40.8,0.6,4.3,2.2,6.5,4,1,3,25.0,kopitan01
85,Artem Anisimov,31,OTT,C,49,10,0.31,0.10,0.41,0.20,0.16,1.78,17,6,23,11,27,7,36,2,-15,21.4,24.7,-3.2,1.7,0.2,1.9,2,1,1,50.0,anisiar01
86,Artemi Panarin,28,NYR,LW,69,34,0.46,0.91,1.38,0.49,0.29,3.03,38,74,112,41,128,39,53,0,36,57.8,47.8,10.0,8.8,2.6,11.4,3,1,2,33.3,panarar01
87,Artturi Lehkonen,24,MTL,LW,70,11,0.19,0.20,0.39,0.16,0.34,2.00,15,16,31,13,39,2,62,24,2,38.8,32.0,6.7,1.2,1.2,2.4,0,,,,lehkoar01
88,Ashton Sautner,25,VAN,D,1,0,0.00,0.00,0.00,0.00,0.00,1.00,0,0,0,0,0,0,0,0,0,0.0,0.3,-0.3,0.0,0.0,0.0,0,,,,sautnas01
89,Austin Czarnik,27,CGY,C,8,1,0.25,0.13,0.38,0.17,0.00,1.13,2,1,3,1,3,1,1,0,1,1.7,2.5,-0.8,0.3,0.1,0.4,0,,,,czarnau01
90,Austin Poganski,23,STL,RW,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.0,0.3,-0.3,0.0,0.0,0.0,0,,,,poganau01
91,Austin Wagner,22,LAK,LW,65,5,0.09,0.08,0.17,0.07,0.60,1.91,7,6,13,5,20,2,24,0,-5,33.2,27.0,6.2,-0.4,0.8,0.4,0,,,,wagneau01
92,Austin Watson,28,NSH,LW,53,5,0.11,0.15,0.26,0.10,1.23,0.94,7,10,17,7,24,0,44,10,-9,14.4,23.4,-9.0,0.3,0.3,0.6,0,,,,watsoau01
93,Auston Matthews,22,TOR,C,70,35,0.67,0.47,1.14,0.49,0.11,4.14,56,39,95,41,113,35,60,0,19,64.7,49.2,15.5,8.9,2.0,10.8,6,1,5,16.7,matthau01
94,Barclay Goodrow,26,TOT,RW,70,9,0.11,0.26,0.37,0.13,1.39,1.46,9,21,30,11,44,6,54,13,-8,33.2,34.9,-1.7,0.3,1.3,1.5,0,,,,goodrba01
94,Barclay Goodrow,26,SJS,RW,62,9,0.13,0.26,0.39,0.14,1.29,1.52,9,19,28,10,41,6,49,10,-8,30.0,31.5,-1.5,0.3,1.2,1.5,0,,,,goodrba01
94,Barclay Goodrow,26,TBL,RW,8,1,0.00,0.25,0.25,0.07,2.13,1.00,0,2,2,1,3,0,5,3,0,3.2,3.4,-0.2,-0.1,0.1,0.0,0,,,,goodrba01
95,Barrett Hayton,19,ARI,C,20,1,0.05,0.15,0.20,0.07,0.70,1.35,1,4,5,2,8,0,6,0,2,9.5,10.8,-1.3,-0.1,0.4,0.3,0,,,,haytoba01
96,Beck Malenstyn,21,WSH,LW,3,0,0.00,0.00,0.00,0.00,0.00,1.33,0,0,0,0,0,0,3,2,-1,0.5,0.8,-0.3,-0.1,0.0,-0.1,0,,,,malenbe01
97,Ben Bishop,33,DAL,G,44,1,0.00,0.05,0.05,0.01,0.05,0.00,0,2,2,1,98,27,103,22,0,85.1,85.0,,0.0,0.0,8.7,0,,,,bishobe01
98,Ben Chiarot,28,MTL,D,69,8,0.13,0.17,0.30,0.12,0.88,1.88,10,14,24,9,67,0,90,29,5,62.9,51.0,11.9,1.2,3.7,4.9,0,,,,chiarbe01
99,Ben Hutton,26,LAK,D,65,5,0.06,0.18,0.25,0.08,0.22,1.75,5,14,19,7,47,1,54,10,5,46.6,40.1,6.6,0.5,3.5,4.0,0,,,,huttobe01
100,Ben Street,32,NJD,C,3,0,0.00,0.33,0.33,0.09,0.00,1.33,0,1,1,0,1,0,0,0,1,0.4,1.2,-0.8,0.0,0.1,0.1,0,,,,streebe01
101,Blake Coleman,28,TOT,C,66,14,0.32,0.17,0.48,0.22,0.85,3.03,25,13,38,17,53,7,64,18,0,34.7,37.4,-2.7,2.3,1.4,3.7,0,,,,colembl01
101,Blake Coleman,28,NJD,C,57,14,0.37,0.18,0.54,0.25,0.70,3.19,25,12,37,17,48,7,58,15,-2,31.7,32.4,-0.7,2.6,1.2,3.8,0,,,,colembl01
101,Blake Coleman,28,TBL,C,9,0,0.00,0.11,0.11,0.03,1.78,2.00,0,1,1,0,5,0,6,3,2,2.8,5.0,-2.2,-0.3,0.2,-0.1,0,,,,colembl01
102,Blake Comeau,33,DAL,RW,55,7,0.15,0.15,0.29,0.12,0.65,1.35,10,10,20,8,21,1,40,14,-6,23.3,26.5,-3.1,0.2,0.9,1.1,0,,,,comeabl01
103,Blake Lizotte,22,LAK,C,65,8,0.09,0.26,0.35,0.12,0.31,1.34,7,20,27,9,33,7,39,9,-4,35.5,27.3,8.2,0.4,1.1,1.5,0,,,,lizotbl01
104,Blake Wheeler,33,WPG,RW,71,23,0.31,0.61,0.92,0.32,0.52,2.54,26,50,76,28,90,36,64,11,1,44.7,43.0,1.7,4.8,1.6,6.4,3,3,0,100.0,wheelbl01
105,Bo Horvat,24,VAN,C,69,20,0.32,0.45,0.77,0.29,0.30,2.58,26,37,63,24,88,35,74,5,-15,44.9,47.4,-2.5,3.7,0.9,4.6,3,1,2,33.3,horvabo01
106,Bobby Ryan,32,OTT,LW,24,4,0.21,0.13,0.33,0.15,0.92,1.79,6,3,9,4,14,2,10,0,3,10.5,11.1,-0.6,0.4,0.5,0.9,2,0,2,0.0,ryanbo01
107,Boo Nieves,26,NYR,C,4,0,0.00,0.00,0.00,0.00,1.00,0.50,0,0,0,0,2,0,0,0,2,0.6,0.9,-0.3,-0.1,0.1,0.0,0,,,,nievecr01
108,Boone Jenner,26,CBJ,C,70,10,0.16,0.19,0.34,0.14,0.51,2.56,13,15,28,11,49,14,58,10,-14,40.7,41.4,-0.7,0.0,1.2,1.2,1,0,1,0.0,jennebo01
109,Brad Hunt,31,MIN,D,59,7,0.14,0.19,0.32,0.12,0.10,1.80,10,13,23,9,43,12,37,0,-7,28.4,24.5,3.8,1.6,1.2,2.8,0,,,,huntbr01
110,Brad Marchand,31,BOS,LW,70,31,0.40,0.84,1.24,0.45,1.17,2.64,33,70,103,37,122,45,63,10,25,44.4,34.9,9.5,7.8,2.6,10.4,7,0,7,0.0,marchbr03
111,Brad Richardson,34,ARI,C,59,5,0.10,0.08,0.19,0.08,0.34,1.29,7,6,13,5,27,1,47,20,1,24.0,30.2,-6.2,-0.5,1.1,0.6,0,,,,richabr02
112,Braden Holtby,30,WSH,G,48,0,0.00,0.02,0.02,0.01,0.08,0.00,0,1,1,0,139,28,142,30,0,89.4,95.4,,0.0,0.0,6.0,0,,,,holtbbr01
113,Brady Skjei,25,TOT,D,67,9,0.12,0.24,0.36,0.13,0.67,2.07,9,19,28,10,60,1,91,20,-10,49.3,57.3,-7.9,1.5,1.7,3.2,0,,,,skjeibr01
113,Brady Skjei,25,NYR,D,60,8,0.13,0.25,0.38,0.14,0.68,2.07,9,18,27,10,54,1,81,20,-6,44.2,50.7,-6.5,1.6,1.7,3.3,0,,,,skjeibr01
113,Brady Skjei,25,CAR,D,7,0,0.00,0.14,0.14,0.04,0.57,2.14,0,1,1,0,6,0,10,0,-4,5.2,6.6,-1.4,-0.1,0.0,-0.1,0,,,,skjeibr01
114,Brady Tkachuk,20,OTT,LW,71,18,0.30,0.32,0.62,0.25,1.49,3.65,24,27,51,20,69,19,68,3,-14,53.8,47.4,6.4,3.0,0.9,3.9,1,0,1,0.0,tkachbr01
115,Brandon Carlo,23,BOS,D,67,6,0.06,0.22,0.28,0.09,0.49,1.66,5,18,23,8,52,0,61,23,16,41.2,42.2,-1.1,0.6,4.1,4.7,0,,,,carlobr01
116,Brandon Davidson,28,TOT,D,12,0,0.00,0.00,0.00,0.00,0.00,1.42,0,0,0,0,5,0,8,0,-3,4.3,5.8,-1.5,-0.2,0.1,0.0,0,,,,davidbr01
116,Brandon Davidson,28,CGY,D,7,0,0.00,0.00,0.00,0.00,0.00,1.86,0,0,0,0,4,0,6,0,-2,3.1,3.5,-0.4,-0.1,0.0,-0.1,0,,,,davidbr01
