,,,,,,,Per Game,Per Game,Per Game,Per Game,,,Adjusted,Adjusted,Adjusted,Adjusted,Plus/Minus,Plus/Minus,Plus/Minus,Plus/Minus,,Possession Quality,Possession Quality,Possession Quality,Point Shares,Point Shares,Point Shares,Shootouts,Shootouts,Shootouts,Shootouts,-additional
Rk,Player,Age,Tm,Pos,GP,GC,G,A,PTS,GC,PIM,S,G,A,PTS,GC,TGF,PGF,TGA,PGA,+/-,xGF,xGA,E+/-,OPS,DPS,PS,Att.,Made,Miss,Pct.,-9999
1,Aaron Dell,30,SJS,G,33,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,73,13,92,15,0,63.8,70.9,,0.0,0.0,5.3,0,,,,dellaa01
2,Aaron Ekblad,23,FLA,D,67,12,0.07,0.54,0.61,0.18,0.39,2.19,6,43,49,15,92,11,93,25,12,53.2,54.3,-1.1,2.7,3.5,6.2,0,,,,ekblaaa01
3,Aaron Ness,29,ARI,D,24,0,0.00,0.04,0.04,0.01,0.00,0.46,0,1,1,0,13,0,13,0,1,12.1,10.9,1.2,-0.3,0.8,0.6,0,,,,nessaa01
4,Adam Boqvist,19,CHI,D,41,5,0.10,0.22,0.32,0.11,0.15,1.22,5,11,16,6,36,7,33,0,-3,27.5,30.3,-2.8,0.9,1.1,2.0,0,,,,boqviad01
5,Adam Brooks,23,TOR,C,7,1,0.00,0.43,0.43,0.12,0.00,0.29,0,4,4,1,3,0,2,0,1,2.0,1.7,0.3,0.2,0.1,0.2,0,,,,brookad01
6,Adam Erne,24,DET,LW,56,2,0.04,0.05,0.09,0.03,0.50,1.13,2,3,5,2,11,0,32,0,-24,18.5,20.8,-2.3,-1.2,0.1,-1.0,0,,,,ernead01
7,Adam Fox,21,NYR,D,70,13,0.11,0.49,0.60,0.19,0.46,1.79,9,40,49,16,88,17,48,1,22,53.5,45.9,7.6,3.4,4.0,7.4,0,,,,foxad01
8,Adam Gaudette,23,VAN,C,59,12,0.20,0.36,0.56,0.20,0.63,1.27,14,25,39,14,47,17,37,1,-7,21.6,29.8,-8.2,2.4,0.5,3.0,1,0,1,0.0,gaudead01
9,Adam Henrique,29,ANA,C,71,19,0.37,0.24,0.61,0.27,0.31,2.38,30,20,50,22,63,13,56,3,-3,40.7,41.2,-0.5,3.9,1.3,5.2,0,,,,henriad01
10,Adam Johnson,25,PIT,C,7,1,0.14,0.14,0.29,0.12,0.29,0.71,1,1,2,1,3,0,3,0,-1,1.5,0.7,0.8,0.2,0.0,0.2,0,,,,johnsad01
11,Adam Larsson,27,EDM,D,49,2,0.02,0.10,0.12,0.04,0.71,1.24,1,6,7,2,40,2,41,4,0,31.9,35.7,-3.8,-0.5,2.3,1.8,0,,,,larssad01
12,Adam Lowry,26,WPG,LW,49,4,0.08,0.12,0.20,0.08,0.47,1.39,5,7,12,5,18,0,33,12,-4,18.4,25.6,-7.2,-0.7,0.7,0.0,0,,,,lowryad01
13,Adam Pelech,25,NYI,D,38,3,0.03,0.21,0.24,0.07,0.53,1.29,1,10,11,3,31,0,39,8,4,26.7,30.4,-3.7,0.0,2.2,2.2,0,,,,pelecad01
14,Adam Werner,22,COL,G,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,5,1,5,3,0,2.4,3.0,,0.0,0.0,0.4,0,,,,wernead01
15,Adin Hill,23,ARI,G,13,0,0.00,0.00,0.00,0.00,0.15,0.00,0,0,0,0,26,6,27,9,0,19.0,19.9,,0.0,0.0,2.3,0,,,,hillad01
16,Adrian Kempe,23,LAK,LW,69,12,0.16,0.30,0.46,0.17,0.42,2.14,13,25,38,14,47,18,44,5,-10,36.3,32.2,4.1,1.2,1.1,2.4,3,1,2,33.3,kempead01
17,Alan Quine,26,CGY,C,9,1,0.11,0.00,0.11,0.06,0.44,1.33,1,0,1,1,1,0,2,0,-1,2.7,2.9,-0.2,0.0,0.1,0.0,0,,,,quineal01
18,Alec Martinez,32,TOT,D,51,5,0.06,0.25,0.31,0.10,0.45,1.47,3,15,18,6,53,8,65,13,-4,37.3,35.2,2.1,0.6,2.4,3.0,0,,,,martial01
18,Alec Martinez,32,LAK,D,41,2,0.02,0.17,0.20,0.06,0.41,1.44,1,8,9,3,41,6,59,12,-9,26.4,28.8,-2.4,-0.2,1.6,1.4,0,,,,martial01
18,Alec Martinez,32,VEG,D,10,3,0.20,0.60,0.80,0.28,0.60,1.60,2,7,9,3,12,2,6,1,5,10.9,6.2,4.6,0.8,0.8,1.6,0,,,,martial01
19,Aleksander Barkov,24,FLA,C,66,22,0.30,0.64,0.94,0.33,0.27,2.61,24,50,74,27,96,34,64,5,2,46.9,43.6,3.2,4.6,1.4,5.9,4,0,4,0.0,barkoal01
20,Aleksi Saarela,23,FLA,C,9,2,0.22,0.22,0.44,0.18,0.00,1.67,2,2,4,2,6,2,3,0,2,3.5,4.8,-1.3,0.3,0.2,0.5,0,,,,saareal01
21,Alex Biega,31,DET,D,49,1,0.00,0.06,0.06,0.02,0.49,1.12,0,3,3,1,17,0,36,10,-9,21.0,29.0,-8.0,-0.7,1.6,0.9,0,,,,biegaal01
22,Alex Chiasson,29,EDM,RW,65,9,0.17,0.20,0.37,0.15,0.65,1.49,13,15,28,11,54,32,24,1,-3,24.0,24.6,-0.5,1.1,1.0,2.2,0,,,,chiasal01
23,Alex DeBrincat,22,CHI,RW,70,17,0.26,0.39,0.64,0.24,0.21,2.96,21,32,53,20,69,27,52,0,-10,42.1,45.3,-3.1,3.0,0.9,3.9,3,0,3,0.0,debrial01
24,Alex Galchenyuk,25,TOT,C,59,9,0.14,0.27,0.41,0.15,0.27,1.46,10,19,29,11,33,9,28,0,-5,24.5,26.6,-2.1,1.2,0.6,1.8,0,,,,galchal01
24,Alex Galchenyuk,25,PIT,C,45,6,0.11,0.27,0.38,0.13,0.22,1.44,6,14,20,7,23,8,21,0,-7,17.8,21.8,-4.0,0.8,0.3,1.1,1,0,1,0.0,galchal01
24,Alex Galchenyuk,25,MIN,C,14,3,0.21,0.29,0.50,0.19,0.43,1.50,4,5,9,4,10,1,7,0,2,6.7,4.7,2.0,0.4,0.3,0.7,1,1,0,100.0,galchal01
25,Alex Goligoski,34,ARI,D,70,10,0.06,0.40,0.46,0.14,0.34,1.44,5,33,38,12,80,19,78,23,8,51.2,53.2,-2.0,1.7,4.7,6.4,0,,,,goligal01
26,Alex Iafallo,26,LAK,C,70,16,0.24,0.37,0.61,0.23,0.20,2.03,20,31,51,19,69,19,63,14,1,36.5,37.7,-1.3,2.3,1.8,4.2,0,,,,iafalal01
27,Alex Killorn,30,TBL,C/LW,68,20,0.38,0.34,0.72,0.30,0.29,1.91,31,27,58,24,80,26,59,22,19,34.6,33.4,1.2,4.2,1.8,6.0,0,,,,killoal01
28,Alex Lyon,27,PHI,G,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,7,1,8,2,,4.4,4.9,,0.0,0.0,0.3,0,,,,lyonal01
29,Alex Nedeljkovic,24,CAR,G,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,10,1,11,2,0,8.1,6.1,,0.0,0.0,0.3,0,,,,nedelal01
30,Alex Ovechkin,34,WSH,LW,68,32,0.71,0.28,0.99,0.47,0.44,4.57,58,23,81,38,106,38,78,0,-12,48.5,46.3,2.1,8.0,0.8,8.7,4,1,3,25.0,ovechal01
31,Alex Pietrangelo,30,STL,D,70,18,0.23,0.51,0.74,0.26,0.29,3.21,19,42,61,22,114,35,85,15,11,57.4,52.8,4.6,4.8,4.3,9.1,0,,,,pietral01
32,Alex Stalock,32,MIN,G,38,0,0.00,0.03,0.03,0.01,0.11,0.00,0,1,1,0,118,27,97,21,0,70.3,59.6,,0.0,0.0,6.2,0,,,,staloal01
33,Alex Tuch,23,VEG,RW,42,7,0.19,0.21,0.40,0.17,0.19,2.33,9,10,19,8,27,9,29,1,-10,21.0,18.1,3.0,0.9,0.2,1.1,2,1,1,50.0,tuchal01
34,Alexandar Georgiev,23,NYR,G,34,0,0.00,0.03,0.03,0.01,0.00,0.00,0,1,1,0,95,21,96,22,0,61.1,66.6,,0.0,0.0,6.0,0,,,,georgal01
35,Alexander Edler,33,VAN,D,59,10,0.08,0.47,0.56,0.17,1.05,2.00,6,33,39,12,76,12,78,24,13,47.2,48.3,-1.1,2.1,3.7,5.8,1,0,1,0.0,edleral01
36,Alexander Kerfoot,25,TOR,C,65,10,0.14,0.29,0.43,0.16,0.49,1.35,11,22,33,12,53,7,52,1,-2,36.1,39.5,-3.5,1.1,0.8,1.8,1,0,1,0.0,kerfoal01
37,Alexander Nylander,21,CHI,LW,65,10,0.15,0.25,0.40,0.15,0.15,1.45,12,19,31,12,33,2,35,0,-2,32.4,34.0,-1.6,1.5,0.8,2.2,0,,,,nylanal01
38,Alexander Radulov,33,DAL,RW,60,13,0.25,0.32,0.57,0.22,0.77,2.20,18,23,41,16,56,20,25,0,8,38.9,30.3,8.7,2.2,1.7,3.9,4,1,3,25.0,radulal01
39,Alexander Steen,35,STL,C,55,7,0.13,0.18,0.31,0.12,0.22,1.29,8,12,20,8,35,2,45,19,7,24.8,23.0,1.8,0.3,1.2,1.4,1,0,1,0.0,steenal01
40,Alexander True,22,SJS,F,12,1,0.00,0.33,0.33,0.09,0.17,1.00,0,5,5,1,6,0,5,0,1,6.3,4.7,1.6,0.1,0.2,0.3,0,,,,trueal01
41,Alexander Volkov,22,TBL,RW,9,0,0.00,0.11,0.11,0.03,0.67,0.78,0,1,1,0,1,0,7,0,-6,2.1,2.9,-0.8,-0.2,-0.1,-0.3,0,,,,volkoal01
42,Alexander Wennberg,25,CBJ,C,57,7,0.09,0.30,0.39,0.13,0.28,1.26,6,20,26,9,39,13,46,14,-5,27.8,27.0,0.8,0.1,1.1,1.2,0,,,,wennbal01
43,Alexander Yelesin,23,CGY,D,4,0,0.00,0.00,0.00,0.00,0.00,0.50,0,0,0,0,2,0,3,0,0,2.2,1.7,0.5,-0.1,0.1,0.1,0,,,,yelesal01
44,Alexandre Carrier,23,NSH,D,3,0,0.00,0.00,0.00,0.00,0.67,1.33,0,0,0,0,2,0,0,0,2,2.3,0.7,1.5,0.0,0.2,0.2,0,,,,carrial01
45,Alexandre Texier,20,CBJ,C,36,5,0.17,0.19,0.36,0.14,0.28,1.36,7,8,15,6,20,1,16,0,3,16.1,15.6,0.4,0.7,0.7,1.4,0,,,,texieal01
46,Anders Bjork,23,BOS,LW,58,8,0.16,0.17,0.33,0.13,0.17,1.14,11,12,23,9,26,1,22,1,5,24.3,20.0,4.3,0.7,1.1,1.8,0,,,,bjorkan01
47,Anders Lee,29,NYI,LW,68,17,0.29,0.34,0.63,0.25,0.69,2.87,24,28,52,21,75,12,52,0,8,55.1,46.4,8.7,2.9,1.8,4.7,1,0,1,0.0,leean01
48,Anders Nilsson,29,OTT,G,20,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,52,7,58,12,0,37.1,37.4,,0.0,0.0,3.4,0,,,,nilssan01
49,André Burakovsky,24,COL,LW,58,18,0.34,0.43,0.78,0.30,0.38,1.78,24,29,53,21,60,13,35,1,11,35.2,32.8,2.4,4.1,1.3,5.4,0,,,,burakan01
50,Andreas Athanasiou,25,TOT,C,55,10,0.20,0.27,0.47,0.18,0.55,2.35,13,17,30,12,35,12,72,1,-46,28.3,36.7,-8.5,1.2,-0.4,0.8,0,,,,athanan01
50,Andreas Athanasiou,25,DET,C,46,9,0.22,0.30,0.52,0.20,0.57,2.50,12,16,28,11,33,12,69,1,-45,23.7,31.2,-7.6,1.3,-0.5,0.7,1,0,1,0.0,athanan01
