,,,,,,,Per Game,Per Game,Per Game,Per Game,,,Adjusted,Adjusted,Adjusted,Adjusted,Plus/Minus,Plus/Minus,Plus/Minus,Plus/Minus,,Possession Quality,Possession Quality,Possession Quality,Point Shares,Point Shares,Point Shares,Shootouts,Shootouts,Shootouts,Shootouts,-additional
Rk,Player,Age,Tm,Pos,GP,GC,G,A,PTS,GC,PIM,S,G,A,PTS,GC,TGF,PGF,TGA,PGA,+/-,xGF,xGA,E+/-,OPS,DPS,PS,Att.,Made,Miss,Pct.,-9999
1,A.J. Greer,25,NJD,LW,9,1,0.11,0.11,0.22,0.09,0.22,1.56,1,1,2,1,3,0,3,0,0,3.0,1.9,1.2,0.1,0.1,0.2,0,,,,greeraj01
2,Aaron Dell,32,BUF,G,12,0,0.00,0.00,0.00,0.00,0.17,0.00,0,0,0,0,25,4,38,12,0,15.5,24.5,,0.0,0.0,1.4,0,,,,dellaa01
3,Aaron Ekblad,25,FLA,D,61,19,0.25,0.69,0.93,0.32,0.43,2.95,15,40,55,19,125,35,72,20,38,59.6,41.4,18.1,5.1,4.5,9.5,0,,,,ekblaaa01
4,Adam Beckman,20,MIN,LW,3,0,0.00,0.33,0.33,0.09,0.67,1.33,0,1,1,0,2,1,2,0,-1,0.8,1.5,-0.7,0.0,0.0,0.0,0,,,,beckmad01
5,Adam Boqvist,21,CBJ,D,52,9,0.21,0.21,0.42,0.17,0.23,1.23,11,10,21,9,50,8,53,0,-11,31.8,39.2,-7.4,2.1,0.8,2.9,1,0,1,0.0,boqviad01
6,Adam Brooks,25,TOT,C,25,1,0.08,0.04,0.12,0.05,0.08,0.56,2,1,3,1,5,0,3,0,2,7.9,6.8,1.1,-0.1,0.3,0.2,0,,,,brookad01
6,Adam Brooks,25,WPG,C,14,0,0.00,0.00,0.00,0.00,0.00,0.64,0,0,0,0,1,0,1,0,0,2.8,4.1,-1.3,-0.3,0.1,-0.2,0,,,,brookad01
6,Adam Brooks,25,VEG,C,7,1,0.29,0.00,0.29,0.16,0.29,0.71,2,0,2,1,3,0,0,0,3,3.7,1.9,1.8,0.2,0.2,0.4,0,,,,brookad01
6,Adam Brooks,25,MTL,C,4,0,0.00,0.25,0.25,0.07,0.00,0.00,0,1,1,0,1,0,2,0,-1,1.4,0.7,0.7,0.0,0.0,0.0,0,,,,brookad01
7,Adam Erne,26,DET,LW,79,7,0.08,0.16,0.24,0.09,0.43,1.37,6,12,18,7,35,3,55,1,-22,34.7,47.6,-12.9,-0.5,0.5,-0.1,3,1,2,33.3,ernead01
8,Adam Fox,23,NYR,D,78,23,0.14,0.81,0.95,0.29,0.33,2.03,11,60,71,22,127,47,77,15,18,59.0,56.2,2.9,5.9,6.0,11.8,3,1,2,33.3,foxad01
9,Adam Gaudette,25,TOT,C,58,5,0.09,0.16,0.24,0.09,0.29,1.62,5,9,14,5,21,4,26,0,-9,21.3,28.3,-7.0,0.0,0.6,0.6,0,,,,gaudead01
9,Adam Gaudette,25,OTT,C,50,4,0.08,0.16,0.24,0.09,0.26,1.68,4,8,12,4,18,2,22,0,-6,19.7,25.3,-5.6,0.0,0.6,0.5,1,1,0,100.0,gaudead01
9,Adam Gaudette,25,CHI,C,8,1,0.13,0.13,0.25,0.10,0.50,1.25,1,1,2,1,3,2,4,0,-3,1.6,3.1,-1.5,0.1,0.0,0.1,0,,,,gaudead01
