,,,,,,,Per Game,Per Game,Per Game,Per Game,,,Adjusted,Adjusted,Adjusted,Adjusted,Plus/Minus,Plus/Minus,Plus/Minus,Plus/Minus,,Possession Quality,Possession Quality,Possession Quality,Point Shares,Point Shares,Point Shares,Shootouts,Shootouts,Shootouts,Shootouts,-additional
Rk,Player,Age,Tm,Pos,GP,GC,G,A,PTS,GC,PIM,S,G,A,PTS,GC,TGF,PGF,TGA,PGA,+/-,xGF,xGA,E+/-,OPS,DPS,PS,Att.,Made,Miss,Pct.,-9999
46,André Burakovsky,23,WSH,LW,76,10,0.16,0.17,0.33,0.13,0.18,1.32,12,13,25,10,36,1,32,0,2,31.5,33.7,-2.2,1.3,0.8,2.2,0,,,,burakan01
47,Andreas Athanasiou,24,DET,C,76,23,0.39,0.32,0.71,0.30,0.50,2.84,30,24,54,23,72,21,62,1,-9,43.1,50.7,-7.6,4.8,1.1,5.9,2,2,0,100.0,athanan01
48,Andreas Englund,23,OTT,D,3,0,0.00,0.00,0.00,0.00,3.33,0.67,0,0,0,0,1,0,3,0,-2,1.2,0.8,0.4,0.0,-0.1,-0.1,0,,,,engluan01
49,Andreas Johnsson,24,TOR,LW,73,17,0.27,0.32,0.59,0.23,0.44,1.78,20,23,43,17,64,10,41,0,14,42.4,37.7,4.7,3.6,1.4,4.9,0,,,,johnsan01
50,Andreas Martinsen,28,CHI,LW,24,1,0.04,0.13,0.17,0.06,0.58,0.88,1,3,4,1,6,0,14,3,-5,6.1,10.2,-4.1,0.0,0.0,-0.1,0,,,,martian01
51,Andrei Svechnikov,18,CAR,RW,82,16,0.24,0.21,0.45,0.19,0.76,2.30,20,17,37,16,62,15,47,0,0,57.2,38.7,18.5,2.5,1.4,3.9,0,,,,svechan01
52,Andrei Vasilevskiy,24,TBL,G,53,1,0.00,0.06,0.06,0.02,0.11,0.00,0,3,3,1,197,45,128,24,0,112.3,112.6,,0.0,0.0,12.4,0,,,,vasilan02
53,Andrej Sekera,32,EDM,D,24,1,0.00,0.17,0.17,0.05,0.25,1.17,0,4,4,1,20,1,19,3,3,14.6,14.5,0.0,-0.1,1.1,1.0,0,,,,sekeran01
54,Andrej Šustr,28,ANA,D,5,0,0.00,0.00,0.00,0.00,1.20,1.20,0,0,0,0,1,0,2,1,0,1.7,2.6,-1.0,-0.1,0.2,0.1,0,,,,sustran01
55,Andrew Agozzino,28,COL,LW,11,1,0.09,0.09,0.18,0.07,0.00,1.00,1,1,2,1,3,0,2,1,2,3.1,3.1,0.1,0.1,0.2,0.2,0,,,,agozzan01
56,Andrew Cogliano,31,TOT,LW/C,78,6,0.08,0.14,0.22,0.08,0.28,1.36,6,11,17,6,25,1,33,10,1,32.1,36.8,-4.7,-0.4,1.4,1.0,0,,,,coglian01
56,Andrew Cogliano,31,ANA,LW/C,46,4,0.07,0.17,0.24,0.08,0.30,1.39,3,8,11,4,14,1,17,6,2,18.8,25.5,-6.7,-0.3,0.9,0.6,0,,,,coglian01
56,Andrew Cogliano,31,DAL,LW/C,32,2,0.09,0.09,0.19,0.08,0.25,1.31,3,3,6,2,11,0,16,4,-1,13.3,11.3,2.0,-0.1,0.5,0.4,0,,,,coglian01
57,Andrew Copp,24,WPG,C,69,10,0.16,0.20,0.36,0.14,0.09,1.19,11,14,25,10,39,0,32,13,20,29.6,26.8,2.8,1.3,1.6,2.9,0,,,,coppan01
58,Andrew Ladd,33,NYI,LW,26,4,0.12,0.31,0.42,0.15,0.62,1.31,3,8,11,4,15,0,13,1,3,12.5,14.0,-1.5,0.4,0.5,1.0,0,,,,laddan01
59,Andrew MacDonald,32,PHI,D,47,2,0.00,0.19,0.19,0.05,0.38,0.87,0,9,9,2,33,1,47,10,-5,24.0,29.3,-5.3,0.0,1.2,1.1,0,,,,macdoan01
60,Andrew Mangiapane,22,CGY,LW,44,6,0.18,0.11,0.30,0.13,0.27,1.48,8,5,13,6,22,0,11,0,11,20.8,12.5,8.2,0.8,0.8,1.6,1,0,1,0.0,mangian01
61,Andrew Shaw,27,MTL,C,63,18,0.30,0.44,0.75,0.28,1.13,2.14,19,28,47,18,64,7,46,6,17,41.8,39.2,2.6,3.8,1.7,5.5,0,,,,shawan01
62,Andy Greene,36,NJD,D,82,8,0.06,0.24,0.30,0.10,0.20,1.27,5,20,25,8,67,2,106,32,-9,53.7,63.2,-9.4,1.0,3.6,4.6,0,,,,greenan01
63,Andy Welinski,25,ANA,D,26,1,0.04,0.12,0.15,0.05,0.31,1.23,1,3,4,1,14,1,18,0,-5,12.3,18.8,-6.5,0.0,0.7,0.7,0,,,,welinan01
64,Anthony Beauvillier,21,NYI,LW,81,13,0.22,0.12,0.35,0.15,0.10,1.93,18,10,28,13,51,8,42,0,1,47.5,43.0,4.6,1.3,1.5,2.8,1,0,1,0.0,beauvan01
65,Anthony Bitetto,28,TOT,D,36,1,0.00,0.08,0.08,0.02,0.33,0.83,0,3,3,1,12,0,20,1,-7,13.0,20.7,-7.7,-0.2,0.6,0.3,0,,,,bitetan01
65,Anthony Bitetto,28,MIN,D,18,0,0.00,0.00,0.00,0.00,0.22,0.83,0,0,0,0,5,0,13,0,-8,7.2,10.7,-3.6,-0.3,0.1,-0.2,0,,,,bitetan01
65,Anthony Bitetto,28,NSH,D,18,1,0.00,0.17,0.17,0.05,0.44,0.83,0,3,3,1,7,0,7,1,1,5.9,10.0,-4.1,0.1,0.5,0.6,0,,,,bitetan01
66,Anthony Cirelli,21,TBL,C,82,16,0.23,0.24,0.48,0.19,0.41,1.50,19,20,39,16,66,4,56,19,25,45.7,35.2,10.5,2.4,2.0,4.4,1,0,1,0.0,cirelan01
67,Anthony Duclair,23,TOT,LW,74,14,0.26,0.19,0.45,0.19,0.19,1.78,19,14,33,14,49,11,41,0,-2,33.8,41.6,-7.8,2.6,1.0,3.6,0,,,,duclaan01
67,Anthony Duclair,23,CBJ,LW,53,8,0.21,0.15,0.36,0.16,0.23,1.74,11,8,19,8,31,8,27,0,-3,22.7,27.6,-4.8,1.3,0.6,1.9,1,0,1,0.0,duclaan01
67,Anthony Duclair,23,OTT,LW,21,6,0.38,0.29,0.67,0.28,0.10,1.90,8,6,14,6,18,3,14,0,1,11.0,14.0,-2.9,1.4,0.4,1.7,0,,,,duclaan01
68,Anthony Greco,25,FLA,RW,1,0,0.00,0.00,0.00,0.00,0.00,2.00,0,0,0,0,0,0,3,0,-3,0.6,0.6,0.0,0.0,-0.1,-0.1,0,,,,grecoan01
