,,,,,,,Per Game,Per Game,Per Game,Per Game,,,Adjusted,Adjusted,Adjusted,Adjusted,Plus/Minus,Plus/Minus,Plus/Minus,Plus/Minus,,Possession Quality,Possession Quality,Possession Quality,Point Shares,Point Shares,Point Shares,Shootouts,Shootouts,Shootouts,Shootouts,-additional
19,Akira Schmid,22,NJD,G,18,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,49,7,32,8,0,33.1,26.0,,0.0,0.0,3.0,0,,,,schmiak01
20,Akito Hirose,23,VAN,D,7,1,0.00,0.43,0.43,0.11,0.57,0.57,0,3,3,1,4,2,3,0,-1,2.3,5.4,-3.1,0.1,0.2,0.3,0,,,,hirosak01
21,Alec Martinez,35,VEG,D,77,5,0.04,0.14,0.18,0.06,0.38,0.99,3,10,13,4,81,1,68,18,30,56.8,53.9,3.0,-0.2,5.1,5.0,0,,,,martial01
22,Alec Regula,22,CHI,D,4,0,0.00,0.00,0.00,0.00,1.00,0.50,0,0,0,0,2,2,3,0,-3,1.7,2.5,-0.8,-0.1,0.0,-0.1,0,,,,regulal01
23,Aleksander Barkov,27,FLA,C,68,27,0.34,0.81,1.15,0.40,0.12,3.06,22,52,74,26,119,47,85,23,10,50.6,43.6,6.9,5.7,1.7,7.3,3,1,2,33.3,barkoal01
24,Aleksi Heponiemi,24,FLA,C,10,1,0.10,0.20,0.30,0.11,0.20,0.60,1,2,3,1,4,0,5,0,-1,1.8,3.7,-1.9,0.1,0.0,0.2,0,,,,heponal01
25,Alex Barré-Boulet,25,TBL,F,1,0,0.00,0.00,0.00,0.00,0.00,1.00,0,0,0,0,0,0,0,0,0,0.1,0.2,-0.2,0.0,0.0,0.0,0,,,,barreal01
26,Alex Belzile,31,MTL,F,31,5,0.19,0.26,0.45,0.17,0.42,1.29,6,8,14,5,19,0,25,6,0,11.7,16.6,-4.9,0.9,0.4,1.3,1,0,1,0.0,belzial01
27,Alex Chiasson,32,DET,RW,20,4,0.30,0.15,0.45,0.20,0.30,1.25,6,3,9,4,14,10,12,0,-8,4.7,4.8,-0.2,0.8,0.0,0.8,0,,,,chiasal01
28,Alex DeBrincat,25,OTT,RW,82,26,0.33,0.48,0.80,0.31,0.55,3.21,26,37,63,24,102,51,82,0,-31,53.3,52.8,0.5,4.7,0.9,5.6,3,2,1,66.7,debrial01
29,Alex Galchenyuk,28,COL,C,11,0,0.00,0.00,0.00,0.00,0.36,0.73,0,0,0,0,0,0,8,0,-8,3.2,4.1,-0.9,-0.2,-0.2,-0.4,0,,,,galchal01
30,Alex Goligoski,37,MIN,D,46,2,0.04,0.09,0.13,0.05,0.35,1.37,2,4,6,2,29,2,42,6,-9,32.4,30.3,2.1,-0.2,1.4,1.2,0,,,,goligal01
31,Alex Iafallo,29,LAK,C,59,13,0.24,0.37,0.61,0.23,0.34,2.25,13,21,34,13,57,16,45,18,14,33.9,29.7,4.2,2.1,1.5,3.6,0,,,,iafalal01
32,Alex Killorn,33,TBL,C/LW,82,24,0.33,0.45,0.78,0.30,0.55,1.74,26,35,61,24,102,30,77,23,18,47.7,46.6,1.1,4.6,2.3,6.9,2,2,0,100.0,killoal01
33,Alex Lyon,30,FLA,G,15,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,56,14,43,8,0,37.7,34.5,,0.0,0.0,3.1,0,,,,lyonal01
34,Alex Nedeljkovic,27,DET,G,15,0,0.00,0.00,0.00,0.00,0.13,0.00,0,0,0,0,40,8,49,11,0,20.9,29.6,,0.0,0.0,2.2,0,,,,nedelal01
35,Alex Newhook,22,COL,C,82,12,0.17,0.20,0.37,0.14,0.27,1.41,13,15,28,11,55,10,45,0,0,46.3,38.5,7.9,1.0,1.3,2.3,0,,,,newhoal01
36,Alex Ovechkin,37,WSH,LW,73,32,0.58,0.45,1.03,0.44,0.66,4.03,40,31,71,30,110,46,81,1,-16,54.1,55.0,-0.9,7.1,1.4,8.5,3,0,3,0.0,ovechal01
37,Alex Pietrangelo,33,VEG,D,73,18,0.15,0.59,0.74,0.24,0.22,2.33,11,41,52,17,104,23,94,26,13,61.9,56.1,5.9,4.1,4.4,8.6,0,,,,pietral01
38,Alex Stalock,35,CHI,G,27,0,0.00,0.00,0.00,0.00,0.59,0.04,0,0,0,0,66,14,74,13,0,45.3,55.7,,0.0,0.0,4.9,0,,,,staloal01
39,Alex Steeves,23,TOR,F,3,0,0.00,0.00,0.00,0.00,0.00,1.00,0,0,0,0,0,0,2,0,-2,0.6,0.9,-0.3,-0.1,0.0,-0.1,0,,,,steeval02
40,Alex Tuch,26,BUF,RW,74,31,0.49,0.58,1.07,0.42,0.27,2.95,35,41,76,30,125,43,85,17,14,54.0,53.0,0.9,7.2,1.8,9.0,4,1,3,25.0,tuchal01
41,Alex Turcotte,21,LAK,C,4,0,0.00,0.00,0.00,0.00,1.25,0.50,0,0,0,0,0,0,2,0,-2,0.9,1.0,-0.1,-0.1,0.0,-0.1,0,,,,turcoal02
42,Alex Vlasic,21,CHI,D,6,0,0.00,0.17,0.17,0.05,0.00,0.67,0,1,1,0,4,0,6,1,-1,2.3,3.5,-1.2,0.0,0.2,0.2,0,,,,vlasial01
43,Alexandar Georgiev,26,COL,G,62,0,0.00,0.02,0.02,0.00,0.00,0.00,0,1,1,0,203,47,156,43,0,136.6,127.2,,0.0,0.0,13.4,0,,,,georgal01
44,Alexander Alexeyev,23,WSH,D,32,1,0.00,0.16,0.16,0.04,0.13,0.88,0,5,5,1,21,0,26,3,-2,16.2,21.3,-5.1,-0.2,1.1,0.9,0,,,,alexeal01
45,Alexander Barabanov,28,SJS,F,68,17,0.22,0.47,0.69,0.24,0.29,1.76,14,30,44,16,80,27,84,1,-30,45.1,43.3,1.8,2.5,0.5,3.0,3,1,2,33.3,barabal01
46,Alexander Edler,36,LAK,D,64,4,0.03,0.14,0.17,0.05,0.53,0.88,2,8,10,3,43,1,56,13,-1,33.9,34.3,-0.3,0.1,1.9,2.0,0,,,,edleral01
47,Alexander Holtz,21,NJD,RW,19,2,0.16,0.05,0.21,0.10,0.42,1.11,3,1,4,2,9,4,11,0,-6,5.8,6.1,-0.3,0.1,0.0,0.1,0,,,,holtzal01
48,Alexander Kerfoot,28,TOR,C,82,11,0.12,0.27,0.39,0.14,0.37,1.62,10,21,31,11,53,4,54,13,8,43.9,38.7,5.3,0.6,1.7,2.3,1,1,0,100.0,kerfoal01
49,Alexander Nylander,24,PIT,LW,9,1,0.11,0.11,0.22,0.09,0.67,1.22,1,1,2,1,5,0,4,0,1,6.2,3.6,2.6,0.0,0.2,0.1,0,,,,nylanal01
50,Alexander Romanov,23,NYI,D,76,7,0.03,0.26,0.29,0.09,0.57,1.32,2,19,21,6,62,0,64,15,13,52.0,59.3,-7.4,0.5,4.3,4.8,0,,,,romanal01
51,Alexander Wennberg,28,SEA,C,82,14,0.16,0.30,0.46,0.17,0.24,1.23,12,24,36,13,77,21,93,30,-7,43.2,42.1,1.1,0.6,1.1,1.8,0,,,,wennbal01
52,Alexandre Carrier,26,NSH,D,43,3,0.05,0.16,0.21,0.07,0.63,1.12,2,7,9,3,25,0,35,10,0,25.9,27.6,-1.7,0.1,1.9,2.0,0,,,,carrial01
53,Alexey Toropchenko,23,STL,RW,69,8,0.14,0.13,0.28,0.11,0.17,1.25,10,8,18,8,30,0,36,12,6,26.9,29.8,-2.9,0.4,1.1,1.6,0,,,,toropal01
54,Alexis Lafrenière,21,NYR,LW,81,15,0.20,0.28,0.48,0.18,0.41,1.67,15,22,37,14,68,10,48,0,10,48.6,50.1,-1.5,1.8,1.8,3.6,2,1,1,50.0,lafreal01
55,Aliaksei Protas,22,WSH,C,58,5,0.07,0.19,0.26,0.09,0.21,1.43,4,10,14,5,23,0,31,0,-8,27.0,24.0,3.0,0.0,0.6,0.5,0,,,,protaal01
56,Anders Bjork,26,TOT,LW,14,3,0.14,0.43,0.57,0.20,0.14,1.07,2,6,8,3,9,0,9,4,4,7.5,7.2,0.3,0.4,0.4,0.9,0,,,,bjorkan01
56,Anders Bjork,26,CHI,LW,13,3,0.15,0.46,0.62,0.21,0.15,1.08,2,6,8,3,9,0,9,4,4,7.2,7.0,0.3,0.5,0.4,0.9,0,,,,bjorkan01
56,Anders Bjork,26,BUF,LW,1,0,0.00,0.00,0.00,0.00,0.00,1.00,0,0,0,0,0,0,0,0,0,0.3,0.2,0.1,0.0,0.0,0.0,0,,,,bjorkan01
57,Anders Lee,32,NYI,LW,82,22,0.34,0.27,0.61,0.26,0.61,2.61,27,21,48,20,91,28,66,0,-3,58.6,49.3,9.3,3.7,1.7,5.4,0,,,,leean01
58,André Burakovsky,27,SEA,LW,49,14,0.27,0.53,0.80,0.29,0.29,2.14,12,25,37,13,52,19,42,0,-9,26.8,29.0,-2.2,2.8,0.4,3.2,0,,,,burakan01
59,Andreas Athanasiou,28,CHI,C,81,16,0.25,0.25,0.49,0.20,0.42,2.16,19,19,38,16,58,13,74,0,-29,44.5,60.2,-15.7,2.2,0.9,3.1,2,1,1,50.0,athanan01
60,Andreas Englund,27,TOT,D,47,1,0.00,0.09,0.09,0.02,0.74,0.66,0,4,4,1,16,0,22,5,-1,17.7,19.5,-1.8,-0.3,1.2,0.9,0,,,,engluan01
60,Andreas Englund,27,COL,D,36,1,0.00,0.08,0.08,0.02,0.72,0.56,0,3,3,1,13,0,14,2,1,14.0,12.7,1.3,-0.2,0.9,0.7,0,,,,engluan01
60,Andreas Englund,27,CHI,D,11,0,0.00,0.09,0.09,0.02,0.82,1.00,0,1,1,0,3,0,8,3,-2,3.8,6.8,-3.1,-0.1,0.3,0.2,0,,,,engluan01
61,Andreas Johnsson,28,TOT,LW,13,1,0.00,0.23,0.23,0.06,0.46,1.38,0,3,3,1,6,1,11,0,-6,7.0,6.1,0.9,-0.2,0.0,-0.2,0,,,,johnsan01
61,Andreas Johnsson,28,SJS,LW,11,1,0.00,0.27,0.27,0.07,0.55,1.55,0,3,3,1,6,1,11,0,-6,6.9,6.1,0.8,-0.2,0.0,-0.2,0,,,,johnsan01
61,Andreas Johnsson,28,NJD,LW,2,0,0.00,0.00,0.00,0.00,0.00,0.50,0,0,0,0,0,0,0,0,0,0.1,0.0,0.1,0.0,0.0,0.0,0,,,,johnsan01
62,Andrei Kuzmenko,26,VAN,F,81,30,0.48,0.43,0.91,0.37,0.10,1.77,37,33,70,29,105,32,64,0,9,49.6,40.9,8.7,6.9,1.7,8.6,7,4,3,57.1,kuzmean01
63,Andrei Svechnikov,22,CAR,RW,64,22,0.36,0.50,0.86,0.34,1.11,3.20,22,30,52,20,84,31,47,0,6,49.1,34.3,14.8,4.4,1.7,6.1,6,4,2,66.7,svechan01
64,Andrei Vasilevskiy,28,TBL,G,60,1,0.00,0.03,0.03,0.01,0.00,0.00,0,2,2,1,195,51,159,35,0,132.8,127.1,,0.0,0.0,12.7,0,,,,vasilan02
65,Andrew Agozzino,32,SJS,LW,4,1,0.25,0.50,0.75,0.27,0.00,2.25,1,2,3,1,3,0,4,0,-1,3.7,2.3,1.4,0.2,0.0,0.2,0,,,,agozzan01
66,Andrew Cogliano,35,COL,LW/C,79,8,0.13,0.11,0.24,0.10,0.56,1.08,10,8,18,8,32,0,49,23,6,27.4,33.7,-6.2,0.0,1.4,1.3,0,,,,coglian01
67,Andrew Copp,28,DET,C,82,14,0.11,0.40,0.51,0.17,0.30,1.46,9,31,40,13,66,10,83,29,2,41.6,44.0,-2.4,0.7,2.0,2.7,0,,,,coppan01
68,Andrew Mangiapane,26,CGY,LW,82,16,0.21,0.32,0.52,0.20,0.49,2.22,16,25,41,16,77,13,61,9,12,60.8,41.5,19.3,1.9,2.1,3.9,0,,,,mangian01
69,Andrew Peeke,24,CBJ,D,80,5,0.08,0.09,0.16,0.06,0.28,1.13,6,7,13,5,52,0,136,43,-41,48.3,65.0,-16.8,-0.2,1.2,1.0,0,,,,peekean01
70,Andy Andreoff,31,NYI,LW,3,0,0.00,0.33,0.33,0.09,0.00,0.33,0,1,1,0,1,0,4,0,-3,0.5,2.8,-2.3,0.0,-0.1,0.0,0,,,,andrean01
71,Anthony Beauvillier,25,TOT,LW,82,16,0.22,0.27,0.49,0.19,0.29,2.15,18,20,38,15,72,13,71,2,-10,48.7,49.3,-0.6,1.8,1.2,3.0,0,,,,beauvan01
71,Anthony Beauvillier,25,NYI,LW,49,8,0.18,0.22,0.41,0.16,0.20,2.31,9,10,19,8,38,4,40,2,-4,31.2,30.7,0.6,0.7,0.8,1.5,2,0,2,0.0,beauvan01
71,Anthony Beauvillier,25,VAN,LW,33,8,0.27,0.33,0.61,0.23,0.42,1.91,9,10,19,8,34,9,31,0,-6,17.5,18.7,-1.2,1.2,0.4,1.5,0,,,,beauvan01
72,Anthony Cirelli,25,TBL,C,58,11,0.19,0.31,0.50,0.18,0.57,1.91,11,17,28,11,53,6,48,14,13,39.2,32.9,6.3,1.1,1.6,2.7,0,,,,cirelan01
73,Anthony Duclair,27,FLA,LW,20,3,0.10,0.35,0.45,0.15,0.10,2.15,2,7,9,3,16,1,11,0,4,16.9,15.3,1.6,0.2,0.4,0.6,0,,,,duclaan01
74,Anthony Mantha,28,WSH,RW,67,10,0.16,0.24,0.40,0.15,0.46,1.78,11,15,26,10,40,2,46,0,-8,36.8,32.0,4.8,1.0,1.0,2.0,1,0,1,0.0,manthan01
75,Anthony Richard,26,MTL,C,13,2,0.23,0.15,0.38,0.17,0.46,1.00,3,2,5,2,7,0,5,0,2,3.4,5.4,-2.0,0.4,0.2,0.6,0,,,,richaan01
76,Anthony Stolarz,29,ANA,G,19,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,34,3,51,11,0,22.6,34.7,,0.0,0.0,2.4,0,,,,stolaan01
77,Anton Blidh,27,COL,LW,14,0,0.00,0.00,0.00,0.00,0.29,0.64,0,0,0,0,0,0,2,0,-2,3.4,4.2,-0.8,-0.3,0.0,-0.2,0,,,,blidhan01
78,Anton Forsberg,30,OTT,G,28,0,0.00,0.00,0.00,0.00,0.07,0.00,0,0,0,0,80,21,80,22,0,49.2,50.4,,0.0,0.0,4.4,0,,,,forsban01
79,Anton Khudobin,36,CHI,G,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,1,0,6,2,0,1.1,2.2,,0.0,0.0,-0.2,0,,,,khudoan01
80,Anton Levtchi,27,FLA,F,2,0,0.00,0.00,0.00,0.00,0.00,0.50,0,0,0,0,0,0,0,0,0,0.3,1.0,-0.7,-0.1,0.0,0.0,0,,,,levtcan01
81,Anton Lundell,21,FLA,C,73,12,0.16,0.29,0.45,0.17,0.59,2.08,11,20,31,11,61,12,73,25,1,45.7,38.0,7.6,1.0,1.1,2.1,3,2,1,66.7,lundean01
82,Anton Strålman,36,BOS,D,8,0,0.00,0.00,0.00,0.00,0.25,0.38,0,0,0,0,4,0,7,0,-3,5.0,5.2,-0.2,-0.2,0.0,-0.1,0,,,,stralan01
83,Antti Raanta,33,CAR,G,27,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,92,21,58,17,0,59.5,39.8,,0.0,0.0,4.0,0,,,,raantan01
84,Anže Kopitar,35,LAK,C,82,27,0.34,0.56,0.90,0.34,0.05,2.06,27,43,70,26,111,38,76,23,20,58.5,45.2,13.3,5.1,2.5,7.6,1,0,1,0.0,kopitan01
85,Arber Xhekaj,22,MTL,D,51,5,0.10,0.16,0.25,0.10,1.98,1.47,5,8,13,5,29,5,38,5,-9,26.7,34.8,-8.0,0.8,0.9,1.7,0,,,,xhekaar01
86,Arnaud Durandeau,24,NYI,LW,4,0,0.00,0.00,0.00,0.00,0.50,2.25,0,0,0,0,1,0,0,0,1,1.5,1.7,-0.2,-0.1,0.1,0.0,0,,,,duranar01
87,Artem Zub,27,OTT,D,53,4,0.06,0.13,0.19,0.07,0.74,0.77,3,7,10,4,41,0,51,12,2,38.1,39.0,-0.9,0.0,2.6,2.5,0,,,,zubar01
88,Artemi Panarin,31,NYR,LW,82,32,0.35,0.77,1.12,0.40,0.44,2.49,28,60,88,32,123,51,68,0,4,57.4,52.1,5.3,7.0,2.1,9.1,6,4,2,66.7,panarar01
89,Arthur Kaliyev,21,LAK,RW,56,11,0.23,0.27,0.50,0.20,0.21,2.18,12,14,26,10,46,20,31,0,-5,22.7,21.8,0.9,2.1,0.5,2.6,1,0,1,0.0,kaliyar01
90,Artturi Lehkonen,27,COL,LW,64,19,0.33,0.47,0.80,0.30,0.44,2.34,20,28,48,19,95,37,56,6,8,52.1,44.2,7.9,3.2,1.8,5.0,0,,,,lehkoar01
91,Arturs Silovs,21,VAN,G,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,16,2,14,2,0,9.7,9.6,,0.0,0.0,0.9,0,,,,silovar01
92,Arvid Söderblom,23,CHI,G,15,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,24,6,48,10,0,23.8,34.0,,0.0,0.0,2.1,0,,,,soderar01
93,Austin Czarnik,30,DET,C,29,2,0.10,0.07,0.17,0.07,0.28,0.93,3,2,5,2,10,1,13,0,-4,8.5,9.3,-0.8,-0.1,0.3,0.1,0,,,,czarnau01
94,Austin Strand,25,ANA,D,5,0,0.00,0.00,0.00,0.00,0.40,1.00,0,0,0,0,0,0,2,0,-2,2.1,1.9,0.2,-0.1,0.0,-0.1,0,,,,stranau01
95,Austin Wagner,25,CHI,LW,7,1,0.14,0.14,0.29,0.12,0.00,1.86,1,1,2,1,3,0,5,0,-2,1.8,4.7,-2.9,0.1,0.1,0.1,0,,,,wagneau01
96,Austin Watson,31,OTT,LW,75,6,0.12,0.03,0.15,0.07,1.64,1.05,9,2,11,5,17,0,41,17,-7,17.8,22.2,-4.4,-0.2,0.7,0.5,0,,,,watsoau01
97,Auston Matthews,25,TOR,C,74,34,0.54,0.61,1.15,0.45,0.27,4.42,38,42,80,32,137,50,56,0,31,67.4,48.7,18.7,7.7,2.9,10.6,3,2,1,66.7,matthau01
98,Axel Jonsson-Fjällby,24,WPG,LW,50,5,0.12,0.16,0.28,0.11,0.16,1.08,6,8,14,5,17,0,21,3,-1,15.8,17.2,-1.4,0.4,0.7,1.1,0,,,,jonssax01
99,Barclay Goodrow,29,NYR,RW,82,11,0.13,0.24,0.38,0.14,0.71,1.09,11,19,30,11,48,2,57,14,3,37.4,45.2,-7.8,0.7,1.5,2.2,0,,,,goodrba01
100,Barrett Hayton,22,ARI,C,82,17,0.23,0.29,0.52,0.20,0.51,2.17,18,23,41,16,90,24,89,18,-5,50.8,48.6,2.2,1.9,1.3,3.2,1,0,1,0.0,haytoba01
101,Beck Malenstyn,24,WSH,LW,9,1,0.11,0.11,0.22,0.09,0.22,0.78,1,1,2,1,3,0,4,1,0,1.6,3.3,-1.6,0.0,0.1,0.2,0,,,,malenbe01
102,Ben Chiarot,31,DET,D,76,6,0.07,0.18,0.25,0.09,0.67,1.45,5,13,18,6,56,2,105,20,-31,46.3,56.0,-9.7,0.4,1.6,2.0,0,,,,chiarbe01
103,Ben Harpur,28,NYR,D,42,2,0.02,0.12,0.14,0.04,0.48,0.81,1,5,6,2,22,0,23,1,0,19.8,28.1,-8.3,-0.1,1.3,1.2,0,,,,harpube01
104,Ben Hutton,29,VEG,D,31,3,0.10,0.16,0.26,0.10,0.19,1.68,3,5,8,3,18,1,16,0,1,21.3,16.3,5.0,0.5,1.1,1.5,0,,,,huttobe01
105,Ben Meyers,24,COL,F,39,2,0.10,0.00,0.10,0.06,0.15,0.85,4,0,4,2,9,0,15,0,-6,13.2,15.2,-2.1,-0.3,0.2,-0.1,0,,,,meyerbe01
106,Benoit-Olivier Groulx,22,ANA,C,2,0,0.00,0.00,0.00,0.00,0.00,1.00,0,0,0,0,1,0,2,1,0,0.4,1.0,-0.5,-0.1,0.0,-0.1,0,,,,groulbe01
107,Billy Sweezey,26,CBJ,D,9,0,0.00,0.11,0.11,0.03,1.00,0.33,0,1,1,0,3,0,10,4,-3,3.1,8.2,-5.1,-0.1,0.2,0.1,0,,,,sweezbi01
108,Blake Coleman,31,CGY,C,82,15,0.22,0.24,0.46,0.18,0.66,2.29,17,19,36,14,51,1,51,10,9,59.4,40.9,18.6,1.9,1.8,3.7,0,,,,colembl01
109,Blake Lizotte,25,LAK,C,81,12,0.14,0.28,0.42,0.15,0.86,1.33,11,22,33,12,52,1,56,16,11,40.2,34.7,5.4,1.4,1.5,2.9,0,,,,lizotbl01
110,Blake Wheeler,36,WPG,RW,72,19,0.22,0.54,0.76,0.26,0.64,1.75,15,37,52,18,74,23,56,2,-3,41.0,40.2,0.8,3.2,1.6,4.8,1,0,1,0.0,wheelbl01
111,Bo Horvat,27,TOT,C,79,29,0.48,0.41,0.89,0.37,0.23,2.90,37,30,67,28,112,41,94,22,-1,50.8,55.4,-4.5,5.7,1.8,7.5,0,,,,horvabo01
111,Bo Horvat,27,VAN,C,49,23,0.63,0.47,1.10,0.46,0.24,2.92,30,22,52,22,82,31,67,19,3,29.8,35.6,-5.8,5.1,1.2,6.3,1,0,1,0.0,horvabo01
111,Bo Horvat,27,NYI,C,30,6,0.23,0.30,0.53,0.21,0.20,2.87,7,8,15,6,30,10,27,3,-4,21.0,19.8,1.2,0.5,0.6,1.2,3,1,2,33.3,horvabo01
112,Bobby McMann,26,TOR,F,10,0,0.00,0.10,0.10,0.03,0.20,1.80,0,1,1,0,2,0,4,0,-2,4.7,4.6,0.1,-0.2,0.1,-0.1,1,0,1,0.0,mcmanbo02
113,Bokondji Imama,26,ARI,LW,5,0,0.00,0.00,0.00,0.00,1.00,0.00,0,0,0,0,0,0,2,0,-2,0.1,2.7,-2.6,-0.1,0.0,-0.1,0,,,,imamabo01
114,Boone Jenner,29,CBJ,C,68,19,0.38,0.28,0.66,0.29,0.75,3.15,25,18,43,19,79,28,98,15,-32,47.5,50.2,-2.8,3.0,0.7,3.7,1,0,1,0.0,jennebo01
115,Boris Katchouk,24,CHI,LW,58,6,0.09,0.19,0.28,0.10,0.47,1.17,5,10,15,5,21,0,37,6,-10,19.7,28.6,-8.9,0.1,0.7,0.8,0,,,,katchbo01
116,Bowen Byram,21,COL,D,42,9,0.24,0.33,0.57,0.22,0.90,1.55,10,13,23,9,48,8,38,5,7,32.3,35.6,-3.2,2.1,2.4,4.5,0,,,,byrambo01
117,Brad Hunt,34,COL,D,47,4,0.09,0.13,0.21,0.08,0.26,0.98,4,6,10,4,21,0,17,0,4,21.8,19.1,2.7,0.7,1.4,2.1,0,,,,huntbr01
118,Brad Malone,33,EDM,C/LW,10,0,0.00,0.00,0.00,0.00,0.60,0.70,0,0,0,0,0,0,7,3,-4,2.1,3.0,-0.9,-0.2,-0.1,-0.3,0,,,,malonbr01
119,Brad Marchand,34,BOS,LW,73,24,0.29,0.63,0.92,0.32,1.01,2.51,20,43,63,23,104,45,42,10,27,50.3,36.4,13.9,4.6,2.4,7.0,2,0,2,0.0,marchbr03
120,Braden Schneider,21,NYR,D,81,6,0.06,0.16,0.22,0.08,0.20,0.98,5,12,17,6,50,0,45,4,9,44.3,55.9,-11.6,0.6,3.4,4.1,0,,,,schnebr01
