,,,,,,,Per Game,Per Game,Per Game,Per Game,,,Adjusted,Adjusted,Adjusted,Adjusted,Plus/Minus,Plus/Minus,Plus/Minus,Plus/Minus,,Possession Quality,Possession Quality,Possession Quality,Point Shares,Point Shares,Point Shares,Shootouts,Shootouts,Shootouts,Shootouts,-additional
Rk,Player,Age,Tm,Pos,GP,GC,G,A,PTS,GC,PIM,S,G,A,PTS,GC,TGF,PGF,TGA,PGA,+/-,xGF,xGA,E+/-,OPS,DPS,PS,Att.,Made,Miss,Pct.,-9999
1,A.J. Greer,26,BOS,LW,61,5,0.08,0.11,0.20,0.08,1.87,1.08,5,7,12,5,23,1,13,0,9,21.8,20.0,1.7,0.1,0.9,1.0,0,,,,greeraj01
2,Aaron Dell,33,SJS,G,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,7,1,9,2,0,9.0,7.7,,0.0,0.0,0.7,0,,,,dellaa01
3,Aaron Ekblad,26,FLA,D,71,14,0.20,0.34,0.54,0.20,0.96,3.04,13,23,36,13,105,38,110,29,-14,61.3,57.3,4.0,3.0,1.6,4.6,0,,,,ekblaaa01
4,Aatu Räty,20,TOT,C,15,1,0.13,0.07,0.20,0.09,0.27,1.07,2,1,3,1,3,0,3,0,0,4.0,4.1,-0.2,0.1,0.2,0.3,0,,,,ratyaa01
4,Aatu Räty,20,NYI,C,12,1,0.17,0.00,0.17,0.09,0.33,1.33,2,0,2,1,2,0,1,0,1,3.1,3.4,-0.3,0.1,0.2,0.3,0,,,,ratyaa01
4,Aatu Räty,20,VAN,C,3,0,0.00,0.33,0.33,0.09,0.00,0.00,0,1,1,0,1,0,2,0,-1,0.9,0.7,0.1,0.0,0.0,0.0,0,,,,ratyaa01
5,Adam Beckman,21,MIN,LW,9,0,0.00,0.00,0.00,0.00,0.00,1.33,0,0,0,0,0,0,2,0,-2,2.5,2.8,-0.3,-0.3,0.1,-0.2,0,,,,beckmad01
6,Adam Boqvist,22,CBJ,D,46,8,0.11,0.41,0.52,0.17,0.17,1.48,5,18,23,8,52,14,50,0,-12,29.1,39.8,-10.7,1.8,1.2,3.0,0,,,,boqviad01
7,Adam Erne,27,DET,LW,61,7,0.13,0.16,0.30,0.12,0.34,0.90,8,9,17,7,26,0,53,15,-12,18.8,25.3,-6.5,0.2,0.6,0.8,0,,,,ernead01
8,Adam Fox,24,NYR,D,82,23,0.15,0.73,0.88,0.27,0.41,1.94,11,57,68,22,137,50,81,22,28,73.8,57.4,16.4,5.5,6.4,11.9,1,0,1,0.0,foxad01
9,Adam Ginning,23,PHI,D,1,0,0.00,0.00,0.00,0.00,2.00,0.00,0,0,0,0,1,0,2,1,0,1.1,0.9,0.2,0.0,0.0,0.0,0,,,,ginniad01
10,Adam Henrique,32,ANA,C,62,16,0.35,0.26,0.61,0.26,0.35,2.13,21,15,36,16,63,21,75,25,-8,35.0,40.0,-5.0,2.6,1.0,3.6,2,1,1,50.0,henriad01
11,Adam Larsson,30,SEA,D,82,11,0.10,0.30,0.40,0.14,0.57,1.74,8,24,32,11,103,1,113,38,27,71.4,60.9,10.5,1.6,5.1,6.7,0,,,,larssad01
12,Adam Lowry,29,WPG,LW,82,13,0.16,0.28,0.44,0.16,0.59,1.54,12,22,34,13,58,8,70,24,4,38.4,37.7,0.7,1.0,1.9,2.9,0,,,,lowryad01
13,Adam Pelech,28,NYI,D,61,7,0.10,0.25,0.34,0.12,0.59,1.59,6,14,20,7,59,1,62,19,15,50.6,46.5,4.1,1.0,4.1,5.1,0,,,,pelecad01
14,Adam Raška,21,SJS,RW,3,0,0.00,0.00,0.00,0.00,0.00,0.33,0,0,0,0,1,0,1,0,0,1.5,1.7,-0.3,-0.1,0.0,-0.1,0,,,,raskaad01
15,Adam Ružička,23,CGY,C,44,7,0.14,0.32,0.45,0.16,0.18,1.45,6,13,19,7,26,7,20,0,-1,19.3,15.5,3.8,1.1,0.6,1.6,1,0,1,0.0,ruzicad01
16,Adin Hill,26,VEG,G,27,0,0.00,0.04,0.04,0.01,0.07,0.00,0,1,1,0,78,11,62,9,0,58.3,49.4,,0.0,0.0,4.9,0,,,,hillad01
17,Adrian Kempe,26,LAK,LW,82,29,0.50,0.32,0.82,0.35,0.67,3.05,39,25,64,28,104,37,60,15,22,51.3,41.5,9.9,6.0,2.5,8.5,7,4,3,57.1,kempead01
18,Aidan McDonough,23,VAN,LW,6,1,0.17,0.00,0.17,0.09,0.33,0.67,1,0,1,1,1,0,3,0,-2,1.1,2.5,-1.4,0.0,0.0,0.0,0,,,,mcdonai01
