,,,,,,,Per Game,Per Game,Per Game,Per Game,,,Adjusted,Adjusted,Adjusted,Adjusted,Plus/Minus,Plus/Minus,Plus/Minus,Plus/Minus,,Point Shares,Point Shares,Point Shares,Shootouts,Shootouts,Shootouts,Shootouts,-additional
Rk,Player,Age,Tm,Pos,GP,GC,G,A,PTS,GC,PIM,S,G,A,PTS,GC,TGF,PGF,TGA,PGA,+/-,OPS,DPS,PS,Att.,Made,Miss,Pct.,-9999
1,Aaron Gagnon,25,WPG,C,7,0,0.00,0.00,0.00,0.00,0.00,0.86,0,0,0,0,0,0,1,0,-1,-0.2,0.0,-0.2,0,,,,gagnoaa01
2,Aaron Johnson,28,CBJ,D,56,5,0.05,0.23,0.29,0.09,0.46,1.13,3,14,17,5,35,5,50,8,-12,1.1,1.0,2.1,0,,,,johnsaa01
3,Aaron Ness,21,NYI,D,9,0,0.00,0.00,0.00,0.00,0.22,0.67,0,0,0,0,4,0,5,1,0,-0.2,0.4,0.2,0,,,,nessaa01
4,Aaron Palushaj,22,MTL,RW,38,2,0.03,0.11,0.13,0.04,0.21,0.97,1,4,5,2,8,0,7,0,1,-0.1,0.4,0.3,0,,,,palusaa01
5,Aaron Rome,28,VAN,D,43,4,0.09,0.14,0.23,0.09,1.07,0.98,5,7,12,5,21,4,27,6,-4,0.8,1.0,1.8,0,,,,romeaa01
6,Aaron Volpatti,26,VAN,RW,23,1,0.04,0.00,0.04,0.02,1.61,0.74,1,0,1,1,5,0,8,1,-2,-0.4,0.1,-0.2,0,,,,volpaaa01
7,Adam Burish,29,DAL,C,65,7,0.09,0.20,0.29,0.10,1.17,1.26,7,14,21,8,32,5,35,14,6,0.4,1.1,1.5,0,,,,burisad01
8,Adam Cracknell,26,STL,RW,2,1,0.50,0.00,0.50,0.27,0.00,0.50,1,0,1,1,1,0,0,0,1,0.2,0.1,0.2,0,,,,crackad01
9,Adam Hall,31,TBL,RW,57,2,0.04,0.09,0.12,0.04,0.30,1.11,2,5,7,2,16,2,48,23,-11,-0.9,0.1,-0.8,0,,,,hallad01
10,Adam Henrique,21,NJD,C,74,18,0.22,0.47,0.69,0.24,0.09,1.76,18,38,56,20,66,9,58,9,8,3.7,2.3,6.0,3,1,2,33.3,henriad01
11,Adam Larsson,19,NJD,D,65,5,0.03,0.25,0.28,0.08,0.31,1.05,2,17,19,6,55,8,55,1,-7,0.7,2.8,3.4,0,,,,larssad01
12,Adam McQuaid,25,BOS,D,72,3,0.03,0.11,0.14,0.05,1.38,0.88,2,9,11,4,45,0,36,7,16,0.1,3.0,3.1,0,,,,mcquaad01
13,Adam Pardy,27,DAL,D,36,1,0.00,0.08,0.08,0.02,0.44,0.81,0,3,3,1,21,0,31,5,-5,-0.4,0.8,0.4,0,,,,pardyad01
14,Adrian Aucoin,38,PHX,D,64,3,0.03,0.11,0.14,0.05,0.66,1.44,2,8,10,3,48,1,49,16,14,-0.3,3.9,3.6,2,0,2,0.0,aucoiad01
15,Akim Aliu,22,CGY,RW,2,1,1.00,0.50,1.50,0.68,6.00,1.50,2,1,3,1,3,0,0,0,3,0.5,0.2,0.7,0,,,,aliuak01
16,Al Montoya,26,NYI,G,31,0,0.00,0.00,0.00,0.00,0.06,0.00,0,0,0,0,0,0,0,0,0,0.0,0.0,3.0,0,,,,montoal01
17,Alec Martinez,24,LAK,D,51,5,0.12,0.12,0.24,0.09,0.16,1.53,7,7,14,6,32,12,21,0,-1,1.1,2.1,3.2,0,,,,martial01
18,Aleš Hemský,28,EDM,RW,69,12,0.14,0.38,0.52,0.18,0.62,1.99,11,28,39,14,48,14,48,1,-13,1.7,0.9,2.6,6,3,3,50.0,hemskal01
19,Alex Auld,31,OTT,G,14,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.0,0.0,0.8,0,,,,auldal01
20,Alex Goligoski,26,DAL,D,71,10,0.13,0.30,0.42,0.14,0.23,1.97,10,23,33,12,75,18,66,9,0,2.4,3.3,5.7,0,,,,goligal01
21,Alex Ovechkin,26,WSH,LW,78,28,0.49,0.35,0.83,0.36,0.33,3.88,43,30,73,32,94,36,66,0,-8,7.4,1.3,8.7,8,3,5,37.5,ovechal01
22,Alex Pietrangelo,22,STL,D,81,17,0.15,0.48,0.63,0.21,0.44,2.49,14,43,57,19,89,30,63,20,16,4.8,6.4,11.2,1,0,1,0.0,pietral01
23,Alex Plante,22,EDM,D,3,0,0.00,0.33,0.33,0.09,0.67,0.00,0,1,1,0,2,0,2,0,0,0.1,0.1,0.1,0,,,,plantal01
24,Alex Tanguay,32,CGY,LW,64,17,0.20,0.56,0.77,0.26,0.44,1.31,15,39,54,19,69,23,47,8,7,3.6,1.9,5.5,8,1,7,12.5,tangual01
