,,,,,,,Per Game,Per Game,Per Game,Per Game,,,Adjusted,Adjusted,Adjusted,Adjusted,Plus/Minus,Plus/Minus,Plus/Minus,Plus/Minus,,Point Shares,Point Shares,Point Shares,Shootouts,Shootouts,Shootouts,Shootouts,-additional
Rk,Player,Age,Tm,Pos,GP,GC,G,A,PTS,GC,PIM,S,G,A,PTS,GC,TGF,PGF,TGA,PGA,+/-,OPS,DPS,PS,Att.,Made,Miss,Pct.,-9999
29,Alexander Petrovic,20,FLA,D,6,0,0.00,0.00,0.00,0.00,4.17,0.83,0,0,0,0,2,0,11,1,-8,-0.1,-0.4,-0.5,0,,,,petroal01
30,Alexander Semin,28,CAR,LW,44,15,0.30,0.70,1.00,0.35,1.05,3.41,25,58,83,29,67,16,40,3,14,3.9,1.5,5.4,1,0,1,0.0,seminal01
31,Alexander Steen,28,STL,C,40,9,0.20,0.48,0.68,0.23,0.35,3.23,15,35,50,18,41,13,27,4,5,1.7,1.3,3.0,5,4,1,80.0,steenal01
32,Alexander Sulzer,28,BUF,D,17,2,0.18,0.06,0.24,0.11,0.59,0.88,6,2,8,4,12,0,12,3,3,0.5,0.8,1.2,0,,,,sulzeal01
33,Alexander Urbom,22,NJD,D,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,1,0,-1,0.0,0.0,-0.1,0,,,,urbomal01
34,Alexandre Bolduc,27,PHX,C,14,0,0.00,0.00,0.00,0.00,0.14,1.21,0,0,0,0,2,0,6,0,-4,-0.3,-0.1,-0.4,0,,,,boldual01
35,Alexandre Burrows,31,VAN,LW,47,10,0.28,0.23,0.51,0.21,1.15,2.98,25,21,46,19,46,10,34,13,15,1.7,1.7,3.4,7,1,6,14.3,burroal01
36,Alexei Emelin,26,MTL,D,38,4,0.08,0.24,0.32,0.10,0.87,0.87,6,17,23,8,27,0,33,8,2,0.8,1.6,2.4,0,,,,emelial01
37,Alexei Ponikarovsky,32,TOT,LW,42,4,0.10,0.12,0.21,0.09,0.33,1.21,8,9,17,7,17,2,20,4,-1,-0.1,0.7,0.6,0,,,,ponikal01
37,Alexei Ponikarovsky,32,NJD,LW,30,3,0.07,0.17,0.23,0.08,0.27,1.37,4,9,13,5,14,2,14,3,1,-0.1,0.6,0.5,0,,,,ponikal01
37,Alexei Ponikarovsky,32,WPG,LW,12,1,0.17,0.00,0.17,0.09,0.50,0.83,4,0,4,2,3,0,6,1,-2,0.0,0.1,0.1,0,,,,ponikal01
38,Anders Lee,22,NYI,C,2,1,0.50,0.50,1.00,0.40,0.00,1.00,2,2,4,2,1,0,4,0,-3,0.3,-0.1,0.2,0,,,,leean01
39,Anders Lindbäck,24,TBL,G,24,0,0.00,0.04,0.04,0.01,0.00,0.00,0,2,2,1,1,1,0,0,0,0.0,0.0,3.2,0,,,,lindban01
40,André Benoit,29,OTT,D,33,3,0.09,0.21,0.30,0.10,0.24,1.52,6,13,19,7,24,7,21,1,-3,0.8,1.2,2.0,0,,,,benoian01
41,Andreas Lilja,37,PHI,D,4,0,0.00,0.00,0.00,0.00,0.00,0.50,0,0,0,0,1,0,2,0,-1,-0.1,0.1,0.0,0,,,,liljaan01
42,Andreas Nödl,25,CAR,RW,8,0,0.00,0.13,0.13,0.03,0.25,0.75,0,2,2,1,1,0,2,0,-1,-0.1,0.0,-0.1,0,,,,nodlan01
43,Andrei Loktionov,22,NJD,C,28,6,0.29,0.14,0.43,0.20,0.14,1.68,15,7,22,10,19,5,16,0,-2,1.2,0.5,1.7,1,0,1,0.0,loktian01
44,Andrei Markov,34,MTL,D,48,11,0.21,0.42,0.63,0.22,0.29,1.65,19,37,56,20,63,33,54,15,-9,3.0,1.4,4.5,0,,,,markoan01
45,Andrej Meszároš,27,PHI,D,11,1,0.00,0.18,0.18,0.05,0.18,1.64,0,4,4,1,3,1,16,5,-9,0.0,-0.3,-0.3,0,,,,meszaan01
