,,,,,,,Per Game,Per Game,Per Game,Per Game,,,Adjusted,Adjusted,Adjusted,Adjusted,Plus/Minus,Plus/Minus,Plus/Minus,Plus/Minus,,Point Shares,Point Shares,Point Shares,Shootouts,Shootouts,Shootouts,Shootouts,-additional
Rk,Player,Age,Tm,Pos,GP,GC,G,A,PTS,GC,PIM,S,G,A,PTS,GC,TGF,PGF,TGA,PGA,+/-,OPS,DPS,PS,Att.,Made,Miss,Pct.,-9999
1,Aaron Downey,32,MTL,RW,21,1,0.05,0.00,0.05,0.03,2.29,0.48,1,0,1,1,1,0,7,0,-6,-0.1,-0.1,-0.2,0,,,,downeaa01
2,Aaron Johnson,23,CBJ,D,61,4,0.05,0.11,0.16,0.06,0.62,0.85,3,7,10,4,34,3,43,3,-9,0.4,1.3,1.7,0,,,,johnsaa01
3,Aaron Miller,35,LAK,D,82,2,0.00,0.10,0.10,0.03,0.73,0.68,0,8,8,2,42,0,107,51,-14,-1.1,2.5,1.4,0,,,,milleaa01
4,Aaron Rome,23,ANA,D,1,0,0.00,0.00,0.00,0.00,0.00,1.00,0,0,0,0,0,0,1,0,-1,0.0,0.0,-0.1,0,,,,romeaa01
5,Aaron Ward,34,TOT,D,80,5,0.05,0.15,0.20,0.07,0.94,0.78,4,12,16,5,50,0,96,35,-11,0.2,3.0,3.2,0,,,,wardaa01
5,Aaron Ward,34,NYR,D,60,4,0.05,0.17,0.22,0.07,0.95,0.75,3,10,13,4,40,0,65,22,-3,0.3,2.6,2.9,0,,,,wardaa01
5,Aaron Ward,34,BOS,D,20,1,0.05,0.10,0.15,0.05,0.90,0.85,1,2,3,1,10,0,31,13,-8,-0.1,0.4,0.3,0,,,,wardaa01
6,Adam Burish,24,CHI,RW,9,0,0.00,0.00,0.00,0.00,0.22,1.33,0,0,0,0,1,0,7,2,-4,-0.3,0.0,-0.3,0,,,,burisad01
7,Adam Foote,35,CBJ,D,59,4,0.05,0.15,0.20,0.07,1.20,1.32,3,9,12,4,42,17,77,35,-17,-0.1,2.4,2.2,0,,,,footead01
8,Adam Hall,26,TOT,RW,72,6,0.08,0.15,0.24,0.09,0.36,1.43,6,11,17,6,28,12,37,10,-11,-0.2,0.7,0.5,0,,,,hallad01
8,Adam Hall,26,NYR,RW,49,4,0.08,0.16,0.24,0.09,0.37,1.24,4,8,12,4,15,7,31,10,-13,-0.1,0.2,0.1,0,,,,hallad01
8,Adam Hall,26,MIN,RW,23,2,0.09,0.13,0.22,0.08,0.35,1.83,2,3,5,2,13,5,6,0,2,-0.1,0.5,0.4,0,,,,hallad01
9,Adam Mair,27,BUF,C,82,3,0.02,0.11,0.13,0.04,1.56,0.89,2,9,11,4,17,0,18,0,-1,-0.5,0.3,-0.2,0,,,,mairad01
10,Adrian Aucoin,33,CHI,D,59,5,0.07,0.20,0.27,0.09,0.85,1.63,4,12,16,5,41,12,80,29,-22,0.7,1.1,1.7,0,,,,aucoiad01
11,Alain Nasreddine,31,PIT,D,44,2,0.02,0.09,0.11,0.04,0.41,0.66,1,4,5,2,28,0,30,14,12,-0.2,2.3,2.1,0,,,,nasreal01
12,Aleš Hemský,23,EDM,RW,64,18,0.20,0.63,0.83,0.28,0.63,1.91,14,40,54,19,76,38,46,1,-7,3.6,1.3,4.9,0,,,,hemskal01
13,Aleš Kotalík,28,BUF,RW,66,14,0.24,0.33,0.58,0.22,0.70,2.45,17,22,39,15,59,22,42,0,-5,2.7,0.4,3.1,0,,,,kotalal01
14,Alex Auld,26,FLA,G,27,0,0.00,0.04,0.04,0.01,0.07,0.00,0,1,1,0,1,0,0,0,0,0.0,0.0,3.0,0,,,,auldal01
15,Alex Brooks,30,NJD,D,19,0,0.00,0.05,0.05,0.01,0.21,0.21,0,1,1,0,4,0,8,3,-1,-0.1,0.4,0.3,0,,,,brookal01
16,Alex Frolov,24,LAK,LW,82,28,0.43,0.44,0.87,0.34,0.41,2.38,37,36,73,30,105,49,85,21,-8,6.0,1.5,7.4,0,,,,froloal01
17,Alex Kovalev,33,MTL,RW,73,18,0.25,0.40,0.64,0.24,1.07,2.70,19,29,48,18,76,40,64,9,-19,3.0,0.9,3.8,0,,,,kovalal01
18,Alex Ovechkin,21,WSH,LW,82,38,0.56,0.56,1.12,0.46,0.63,4.78,48,46,94,39,124,52,92,1,-19,9.6,0.9,10.5,0,,,,ovechal01
19,Alex Tanguay,27,CGY,LW,81,27,0.27,0.73,1.00,0.34,0.54,1.32,23,59,82,29,101,32,58,1,12,6.4,1.8,8.2,0,,,,tangual01
20,Alexander Edler,20,VAN,D,22,1,0.05,0.09,0.14,0.05,0.27,0.45,1,2,3,1,9,0,6,0,3,0.1,0.9,1.0,0,,,,edleral01
21,Alexander Perezhogin,23,MTL,RW,61,6,0.10,0.15,0.25,0.09,0.79,1.69,6,9,15,6,28,3,16,2,11,0.1,1.3,1.4,0,,,,perezal01
22,Alexander Radulov,20,NSH,RW,64,15,0.28,0.30,0.58,0.23,0.41,1.50,19,19,38,16,57,16,22,0,19,3.5,1.5,4.9,0,,,,radulal01
23,Alexander Semin,22,WSH,LW,77,31,0.49,0.45,0.95,0.40,1.17,3.16,40,35,75,31,107,53,61,0,-7,7.7,1.1,8.8,0,,,,seminal01
24,Alexander Steen,22,TOR,C,82,13,0.18,0.24,0.43,0.16,0.32,2.34,16,20,36,14,56,11,58,18,5,1.4,1.3,2.7,0,,,,steenal01
