,,,,,,,Per Game,Per Game,Per Game,Per Game,,,Adjusted,Adjusted,Adjusted,Adjusted,Plus/Minus,Plus/Minus,Plus/Minus,Plus/Minus,,Possession Quality,Possession Quality,Possession Quality,Point Shares,Point Shares,Point Shares,Shootouts,Shootouts,Shootouts,Shootouts,-additional
17,Alec Martinez,33,VEG,D,53,11,0.17,0.43,0.60,0.21,0.23,1.60,14,34,48,17,72,9,49,9,26,49.8,39.7,10.1,2.8,4.4,7.2,0,,,,martial01
18,Alec Regula,20,CHI,D,3,0,0.00,0.00,0.00,0.00,0.00,0.33,0,0,0,0,0,0,1,0,-1,0.6,2.3,-1.7,0.0,0.0,0.0,0,,,,regulal01
19,Aleksander Barkov,25,FLA,C,50,23,0.52,0.64,1.16,0.46,0.28,3.52,40,48,88,35,77,28,53,15,12,42.8,22.5,20.3,5.9,1.4,7.3,2,1,1,50.0,barkoal01
20,Aleksi Heponiemi,22,FLA,C,9,1,0.11,0.11,0.22,0.09,0.22,1.67,2,1,3,1,5,0,5,1,1,3.9,4.5,-0.6,0.0,0.1,0.1,0,,,,heponal01
21,Alex Barré-Boulet,23,TBL,F,15,2,0.20,0.00,0.20,0.11,0.00,1.73,5,0,5,3,10,4,7,0,0,6.4,5.1,1.2,0.0,0.3,0.2,1,0,1,0.0,barreal01
22,Alex Belzile,29,MTL,F,2,0,0.00,0.50,0.50,0.14,0.00,1.50,0,1,1,0,1,0,2,0,-1,0.5,0.5,0.0,0.0,0.0,0.0,0,,,,belzial01
23,Alex Biega,32,DET,D,13,1,0.00,0.23,0.23,0.06,0.31,0.31,0,4,4,1,5,0,8,2,-1,2.8,5.6,-2.8,0.1,0.3,0.4,0,,,,biegaal01
24,Alex Chiasson,30,EDM,RW,45,7,0.20,0.16,0.36,0.15,0.73,1.44,14,10,24,10,40,27,22,0,-10,11.2,14.5,-3.3,1.0,0.2,1.2,0,,,,chiasal01
25,Alex DeBrincat,23,CHI,RW,52,24,0.62,0.46,1.08,0.46,0.23,2.98,49,36,85,37,78,24,54,4,3,35.2,41.4,-6.2,6.1,1.4,7.5,3,1,2,33.3,debrial01
26,Alex Formenton,21,OTT,LW,20,3,0.20,0.10,0.30,0.14,0.30,1.35,6,3,9,4,12,0,10,3,6,5.7,8.7,-2.9,0.4,0.5,0.9,0,,,,formeal01
27,Alex Galchenyuk,26,TOT,C,34,5,0.15,0.24,0.38,0.14,0.59,1.82,8,12,20,8,21,2,28,0,-8,20.2,16.2,4.0,0.6,0.1,0.7,0,,,,galchal01
27,Alex Galchenyuk,26,TOR,C,26,4,0.15,0.31,0.46,0.16,0.54,1.73,6,12,18,7,19,0,22,0,-2,18.3,13.7,4.6,0.6,0.2,0.9,0,,,,galchal01
27,Alex Galchenyuk,26,OTT,C,8,1,0.13,0.00,0.13,0.07,0.75,2.13,2,0,2,1,2,2,6,0,-6,1.9,2.5,-0.5,0.0,-0.1,-0.1,0,,,,galchal01
28,Alex Goligoski,35,ARI,D,56,7,0.05,0.34,0.39,0.12,0.25,1.29,5,28,33,10,61,8,74,22,2,39.3,46.9,-7.6,1.0,3.4,4.5,0,,,,goligal01
29,Alex Iafallo,27,LAK,C,55,12,0.24,0.31,0.55,0.21,0.07,2.15,20,25,45,18,59,24,58,15,-8,28.1,32.5,-4.4,1.4,1.3,2.7,0,,,,iafalal01
30,Alex Killorn,31,TBL,C/LW,56,13,0.27,0.32,0.59,0.23,0.66,2.16,23,27,50,20,61,28,45,11,-1,29.2,28.3,0.9,2.2,1.1,3.3,0,,,,killoal01
31,Alex Lyon,28,PHI,G,6,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,14,3,18,7,0,8.3,10.6,,0.0,0.0,0.7,0,,,,lyonal01
32,Alex Nedeljkovic,25,CAR,G,23,0,0.00,0.04,0.04,0.01,0.09,0.00,0,1,1,0,66,13,44,8,0,48.4,44.9,,0.0,0.0,5.5,0,,,,nedelal01
33,Alex Newhook,20,COL,C,6,1,0.00,0.50,0.50,0.13,0.33,1.33,0,4,4,1,6,0,1,0,5,3.6,1.9,1.7,0.1,0.3,0.4,0,,,,newhoal01
34,Alex Ovechkin,35,WSH,LW,45,18,0.53,0.40,0.93,0.40,0.27,4.04,37,27,64,28,69,29,46,0,-7,24.3,26.2,-1.8,4.4,0.7,5.1,1,0,1,0.0,ovechal01
35,Alex Pietrangelo,31,VEG,D,41,8,0.17,0.39,0.56,0.20,0.39,3.07,11,24,35,13,60,8,38,4,20,35.2,32.9,2.3,1.9,3.5,5.4,0,,,,pietral01
36,Alex Tuch,24,VEG,RW,55,14,0.33,0.27,0.60,0.25,0.51,2.58,27,22,49,21,52,11,31,6,16,33.2,27.7,5.5,2.7,1.6,4.2,3,1,2,33.3,tuchal01
37,Alexandar Georgiev,24,NYR,G,19,0,0.00,0.05,0.05,0.01,0.00,0.05,0,1,1,0,58,12,44,6,0,31.3,29.9,,0.0,0.0,2.6,0,,,,georgal01
38,Alexander Barabanov,26,TOT,F,22,3,0.14,0.23,0.36,0.14,0.27,1.05,5,7,12,5,17,2,14,0,1,12.2,10.0,2.3,0.4,0.3,0.7,0,,,,barabal01
38,Alexander Barabanov,26,TOR,F,13,0,0.00,0.08,0.08,0.02,0.31,0.85,0,1,1,0,3,0,2,0,1,4.0,3.0,1.1,-0.2,0.1,-0.1,0,,,,barabal01
38,Alexander Barabanov,26,SJS,F,9,3,0.33,0.44,0.78,0.31,0.22,1.33,5,6,11,4,14,2,12,0,0,8.2,7.0,1.2,0.6,0.2,0.8,0,,,,barabal01
39,Alexander Edler,34,VAN,D,52,2,0.00,0.15,0.15,0.04,1.12,1.90,0,12,12,3,41,1,71,22,-8,36.2,39.6,-3.3,-0.5,1.8,1.3,0,,,,edleral01
40,Alexander Kerfoot,26,TOR,C,56,8,0.14,0.27,0.41,0.15,0.21,1.21,12,22,34,13,33,6,36,11,2,23.3,25.8,-2.6,0.9,0.8,1.7,0,,,,kerfoal01
41,Alexander Radulov,34,DAL,RW,11,4,0.36,0.73,1.09,0.39,0.55,2.27,6,12,18,7,23,12,3,0,9,5.8,3.2,2.5,1.1,0.6,1.7,3,2,1,66.7,radulal01
42,Alexander Romanov,21,MTL,D,54,2,0.02,0.09,0.11,0.04,0.39,1.31,2,7,9,3,40,3,43,7,1,34.6,29.3,5.3,-0.4,2.0,1.6,0,,,,romanal01
43,Alexander True,23,SJS,F,7,0,0.00,0.14,0.14,0.04,0.86,1.00,0,1,1,0,2,0,1,0,1,2.3,2.2,0.1,-0.1,0.1,0.0,0,,,,trueal01
44,Alexander Volkov,23,TOT,RW,37,6,0.19,0.16,0.35,0.15,0.16,0.95,11,9,20,8,17,1,17,1,1,12.7,17.0,-4.3,0.9,0.6,1.5,0,,,,volkoal01
44,Alexander Volkov,23,TBL,RW,19,2,0.16,0.11,0.26,0.12,0.21,0.95,5,3,8,4,8,1,6,0,2,6.5,5.9,0.6,0.3,0.3,0.6,0,,,,volkoal01
44,Alexander Volkov,23,ANA,RW,18,3,0.22,0.22,0.44,0.18,0.11,0.94,6,6,12,5,9,0,11,1,-1,6.2,11.1,-4.9,0.6,0.3,0.9,0,,,,volkoal01
45,Alexander Wennberg,26,FLA,C,56,13,0.30,0.21,0.52,0.22,0.14,1.46,26,18,44,19,59,10,56,14,6,29.0,30.6,-1.5,2.0,1.2,3.2,1,0,1,0.0,wennbal01
46,Alexandre Carrier,24,NSH,D,19,1,0.05,0.11,0.16,0.06,0.42,1.63,2,3,5,2,15,2,16,7,3,12.0,12.1,0.0,0.0,1.1,1.0,0,,,,carrial01
47,Alexandre Texier,21,CBJ,C,49,5,0.08,0.22,0.31,0.10,0.45,1.53,6,16,22,8,28,4,42,4,-13,21.0,27.7,-6.7,-0.2,0.5,0.2,1,1,0,100.0,texieal01
48,Alexei Melnichuk,22,SJS,G,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,3,0,11,1,0,5.4,6.7,,0.0,0.0,0.1,0,,,,melnial01
49,Alexis Lafrenière,19,NYR,LW,56,9,0.21,0.16,0.38,0.16,0.14,1.20,18,13,31,13,32,2,37,0,-7,26.3,32.8,-6.5,1.2,0.6,1.8,0,,,,lafreal01
50,Anders Bjork,24,TOT,LW,45,4,0.11,0.13,0.24,0.10,0.31,0.91,8,8,16,7,19,0,33,2,-13,19.6,19.6,0.0,-0.1,0.3,0.2,0,,,,bjorkan01
50,Anders Bjork,24,BOS,LW,30,2,0.07,0.10,0.17,0.06,0.33,0.73,3,4,7,3,9,0,18,2,-8,11.4,10.9,0.5,-0.3,0.2,-0.1,0,,,,bjorkan01
50,Anders Bjork,24,BUF,LW,15,2,0.20,0.20,0.40,0.17,0.27,1.27,5,4,9,4,10,0,15,0,-5,8.2,8.7,-0.5,0.2,0.2,0.4,1,1,0,100.0,bjorkan01
51,Anders Lee,30,NYI,LW,27,9,0.44,0.26,0.70,0.32,0.44,2.96,18,10,28,13,31,5,15,1,11,23.1,12.0,11.1,1.9,1.1,3.0,0,,,,leean01
52,André Burakovsky,25,COL,LW,53,17,0.36,0.47,0.83,0.31,0.19,1.92,29,37,66,26,54,18,33,0,4,33.0,23.9,9.1,4.1,1.0,5.1,0,,,,burakan01
53,Andreas Athanasiou,26,LAK,C,47,9,0.21,0.28,0.49,0.19,0.57,1.81,15,19,34,13,28,2,32,0,-6,24.7,25.4,-0.7,1.5,0.8,2.3,0,,,,athanan01
54,Andreas Borgman,25,TBL,D,7,1,0.00,0.29,0.29,0.08,0.57,1.00,0,3,3,1,4,0,6,0,-2,3.7,3.9,-0.2,0.1,0.0,0.1,0,,,,borgman01
55,Andreas Johnsson,26,NJD,LW,50,4,0.10,0.12,0.22,0.09,0.24,1.30,8,9,17,7,30,6,31,6,-1,28.3,23.3,5.0,-0.3,0.7,0.4,0,,,,johnsan01
56,Andrei Svechnikov,20,CAR,RW,55,15,0.27,0.49,0.76,0.28,0.80,2.67,23,40,63,23,72,29,41,0,1,36.3,31.8,4.5,3.1,1.2,4.3,5,2,3,40.0,svechan01
57,Andrei Vasilevskiy,26,TBL,G,42,1,0.00,0.10,0.10,0.03,0.00,0.00,0,6,6,2,140,34,90,22,0,81.0,84.0,,0.0,0.0,9.6,0,,,,vasilan02
58,Andrej Sekera,34,DAL,D,46,2,0.07,0.04,0.11,0.05,0.09,0.72,5,3,8,4,31,0,36,17,12,21.4,17.8,3.6,0.0,2.7,2.6,0,,,,sekeran01
59,Andrew Agozzino,30,ANA,LW,3,0,0.00,0.33,0.33,0.09,0.00,1.00,0,1,1,0,1,0,1,0,0,1.6,1.4,0.2,0.0,0.0,0.1,0,,,,agozzan01
60,Andrew Cogliano,33,DAL,LW/C,54,4,0.09,0.11,0.20,0.08,0.44,1.63,8,9,17,7,19,0,36,8,-8,25.3,20.3,4.9,-0.4,0.6,0.1,0,,,,coglian01
61,Andrew Copp,26,WPG,C,55,14,0.27,0.44,0.71,0.26,0.36,2.09,23,36,59,22,52,17,50,15,2,24.9,35.6,-10.8,2.7,1.2,4.0,0,,,,coppan01
62,Andrew Mangiapane,24,CGY,LW,56,13,0.32,0.25,0.57,0.24,0.43,1.63,28,21,49,21,45,10,42,8,1,33.0,24.6,8.4,2.5,1.2,3.7,1,0,1,0.0,mangian01
63,Andrew Peeke,22,CBJ,D,11,1,0.00,0.27,0.27,0.07,0.36,0.45,0,4,4,1,7,0,12,1,-4,7.4,7.7,-0.3,0.1,0.2,0.2,0,,,,peekean01
64,Andrew Shaw,29,CHI,C,14,2,0.14,0.14,0.29,0.12,0.43,1.79,3,3,6,2,10,9,6,0,-5,5.6,7.1,-1.5,0.0,0.1,0.1,0,,,,shawan01
65,Andy Andreoff,29,PHI,LW,6,0,0.00,0.00,0.00,0.00,1.50,0.33,0,0,0,0,0,0,6,0,-6,0.8,3.3,-2.5,-0.1,-0.2,-0.3,0,,,,andrean01
66,Andy Greene,38,NYI,D,55,2,0.02,0.07,0.09,0.03,0.11,0.91,2,6,8,3,32,0,28,4,9,31.4,32.4,-1.0,-0.5,3.2,2.7,0,,,,greenan01
67,Andy Welinski,27,ANA,D,13,0,0.00,0.00,0.00,0.00,0.00,1.23,0,0,0,0,9,0,5,0,4,5.3,8.0,-2.7,-0.2,0.8,0.6,0,,,,welinan01
68,Anthony Angello,24,PIT,C,19,2,0.11,0.11,0.21,0.09,0.42,1.00,3,3,6,2,6,1,1,0,4,3.8,2.9,0.9,0.2,0.3,0.5,0,,,,angelan01
69,Anthony Beauvillier,23,NYI,LW,47,12,0.32,0.28,0.60,0.25,0.26,2.32,23,19,42,18,41,7,20,0,15,27.8,22.0,5.9,2.4,1.6,4.0,6,3,3,50.0,beauvan01
70,Anthony Bitetto,30,NYR,D,14,1,0.07,0.21,0.29,0.10,1.43,0.86,2,4,6,2,7,1,15,1,-8,6.4,10.5,-4.2,0.3,-0.2,0.0,0,,,,bitetan01
71,Anthony Cirelli,23,TBL,C,50,8,0.18,0.26,0.44,0.17,0.20,1.50,14,19,33,13,37,9,44,14,0,28.2,26.2,1.9,0.8,1.0,1.8,0,,,,cirelan01
72,Anthony Duclair,25,FLA,LW,43,11,0.23,0.51,0.74,0.27,0.42,2.42,15,33,48,17,50,4,19,1,27,31.8,19.6,12.3,2.5,1.7,4.2,2,0,2,0.0,duclaan01
73,Anthony Mantha,26,TOT,RW,56,12,0.27,0.25,0.52,0.21,0.45,2.46,23,21,44,18,48,9,53,0,-14,34.2,29.6,4.5,1.8,0.7,2.4,0,,,,manthan01
73,Anthony Mantha,26,DET,RW,42,9,0.26,0.24,0.50,0.21,0.40,2.38,17,15,32,13,32,5,42,0,-14,24.2,25.3,-1.2,1.2,0.4,1.6,1,0,1,0.0,manthan01
73,Anthony Mantha,26,WSH,RW,14,3,0.29,0.29,0.57,0.23,0.57,2.71,6,6,12,5,16,4,11,0,0,10.0,4.3,5.7,0.6,0.3,0.8,0,,,,manthan01
74,Anthony Stolarz,27,ANA,G,8,0,0.00,0.13,0.13,0.04,0.00,0.00,0,1,1,0,18,1,17,2,0,14.0,13.5,,0.0,0.0,1.8,0,,,,stolaan01
75,Antoine Roussel,31,VAN,LW,35,1,0.03,0.09,0.11,0.04,1.06,0.80,2,5,7,2,11,0,12,6,4,13.0,15.4,-2.4,-0.6,0.6,0.1,0,,,,roussan01
76,Anton Blidh,25,BOS,LW,10,1,0.10,0.00,0.10,0.05,0.60,1.00,2,0,2,1,1,0,7,1,-5,3.1,3.0,0.1,-0.1,-0.1,-0.2,0,,,,blidhan01
77,Anton Forsberg,28,OTT,G,8,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,24,3,24,4,0,14.7,18.4,,0.0,0.0,1.6,0,,,,forsban01
78,Anton Khudobin,34,DAL,G,32,1,0.00,0.06,0.06,0.02,0.06,0.00,0,3,3,1,75,21,74,21,0,58.1,46.4,,0.0,0.0,4.4,0,,,,khudoan01
79,Anton Strålman,34,FLA,D,38,3,0.08,0.16,0.24,0.09,0.21,1.00,5,9,14,5,29,2,36,8,-1,26.8,23.5,3.3,0.4,1.2,1.6,0,,,,stralan01
80,Antti Raanta,31,ARI,G,12,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,30,6,38,8,0,19.4,28.1,,0.0,0.0,2.2,0,,,,raantan01
81,Antti Suomela,26,SJS,C,4,0,0.00,0.00,0.00,0.00,0.00,1.00,0,0,0,0,0,0,0,0,0,1.7,0.3,1.4,-0.1,0.1,-0.1,0,,,,suomean01
82,Anže Kopitar,33,LAK,C,56,17,0.23,0.66,0.89,0.31,0.18,2.11,20,55,75,26,65,27,63,17,-7,31.2,34.4,-3.2,3.3,1.4,4.7,2,1,1,50.0,kopitan01
83,Artem Anisimov,32,OTT,C,19,3,0.11,0.37,0.47,0.16,0.11,1.58,3,10,13,4,10,3,7,0,1,6.7,8.1,-1.5,0.5,0.3,0.8,1,0,1,0.0,anisiar01
84,Artem Zub,25,OTT,D,47,5,0.06,0.23,0.30,0.10,0.55,0.83,5,16,21,7,44,1,48,10,4,26.7,28.4,-1.7,0.7,2.1,2.8,0,,,,zubar01
85,Artemi Panarin,29,NYR,LW,42,20,0.40,0.98,1.38,0.48,0.14,2.52,26,62,88,31,69,26,29,0,14,23.7,27.3,-3.5,5.4,1.4,6.8,3,2,1,66.7,panarar01
86,Arthur Kaliyev,19,LAK,RW,1,1,1.00,0.00,1.00,0.55,0.00,1.00,2,0,2,1,1,0,2,0,-1,0.8,1.0,-0.2,0.2,0.0,0.2,0,,,,kaliyar01
87,Arttu Ruotsalainen,23,BUF,F,17,3,0.29,0.06,0.35,0.18,0.47,1.65,8,1,9,5,10,2,18,0,-9,7.2,11.5,-4.3,0.5,0.0,0.5,0,,,,ruotsar01
88,Artturi Lehkonen,25,MTL,LW,47,6,0.15,0.13,0.28,0.12,0.13,1.66,11,9,20,8,15,0,33,14,-2,17.9,19.0,-1.1,0.3,0.6,1.0,0,,,,lehkoar01
89,Artyom Zagidulin,25,CGY,G,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,2,0,,1.0,1.3,,0.0,0.0,0.0,0,,,,zagidar01
90,Austin Czarnik,28,NYI,C,4,0,0.00,0.00,0.00,0.00,0.00,0.50,0,0,0,0,0,0,1,0,-1,1.0,1.5,-0.5,-0.1,0.0,-0.1,0,,,,czarnau01
91,Austin Poganski,24,STL,RW,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,1,0,2,0,-1,0.7,0.8,-0.2,-0.1,0.0,-0.1,0,,,,poganau01
92,Austin Strand,23,LAK,D,13,0,0.00,0.08,0.08,0.02,0.62,0.85,0,1,1,0,10,0,8,0,2,7.8,7.8,0.1,-0.1,0.6,0.5,0,,,,stranau01
93,Austin Wagner,23,LAK,LW,44,3,0.09,0.09,0.18,0.07,0.34,1.52,6,6,12,5,11,0,25,0,-14,17.0,19.2,-2.2,0.0,0.1,0.1,0,,,,wagneau01
94,Austin Watson,29,OTT,LW,34,4,0.09,0.21,0.29,0.11,1.18,1.21,5,10,15,5,17,0,29,5,-7,10.9,14.3,-3.4,0.2,0.2,0.4,0,,,,watsoau01
95,Auston Matthews,23,TOR,C,52,28,0.79,0.48,1.27,0.54,0.19,4.27,63,37,100,44,85,19,45,0,21,56.6,30.4,26.2,7.6,1.9,9.5,1,0,1,0.0,matthau01
96,Barclay Goodrow,27,TBL,RW,55,7,0.11,0.25,0.36,0.13,0.95,1.31,9,21,30,11,39,0,35,12,16,33.3,28.1,5.1,0.4,1.6,2.0,0,,,,goodrba01
97,Barrett Hayton,20,ARI,C,14,1,0.14,0.07,0.21,0.10,0.00,0.71,3,1,4,2,7,3,5,0,-1,4.6,4.8,-0.2,0.1,0.2,0.2,0,,,,haytoba01
98,Ben Chiarot,29,MTL,D,41,2,0.02,0.15,0.17,0.05,1.22,1.98,2,9,11,4,25,1,54,15,-16,29.7,28.3,1.4,-0.2,0.6,0.3,0,,,,chiarbe01
99,Ben Harpur,26,NSH,D,34,2,0.00,0.21,0.21,0.06,0.50,0.97,0,10,10,3,19,0,19,1,2,17.2,21.6,-4.4,0.1,1.4,1.4,0,,,,harpube01
100,Ben Hutton,27,TOT,D,38,2,0.03,0.11,0.13,0.04,0.29,1.42,2,6,8,3,18,0,41,11,-13,21.3,28.1,-6.7,-0.2,0.7,0.4,0,,,,huttobe01
100,Ben Hutton,27,ANA,D,34,2,0.03,0.12,0.15,0.05,0.32,1.50,2,6,8,3,17,0,39,10,-13,19.2,26.9,-7.7,-0.1,0.5,0.4,0,,,,huttobe01
100,Ben Hutton,27,TOR,D,4,0,0.00,0.00,0.00,0.00,0.00,0.75,0,0,0,0,1,0,2,1,0,2.2,1.2,1.0,-0.1,0.1,0.0,0,,,,huttobe01
101,Ben Thomas,24,TBL,D,5,0,0.00,0.00,0.00,0.00,0.00,0.60,0,0,0,0,4,0,4,0,1,3.8,2.1,1.7,-0.1,0.2,0.1,0,,,,thomabe01
102,Blake Coleman,29,TBL,C,55,12,0.25,0.31,0.56,0.22,0.67,2.22,21,25,46,18,43,2,39,13,15,34.2,27.8,6.4,2.3,1.5,3.9,1,0,1,0.0,colembl01
103,Blake Comeau,34,DAL,RW,51,5,0.08,0.20,0.27,0.10,0.73,1.49,6,15,21,7,20,0,45,13,-13,26.8,21.9,4.8,-0.4,0.5,0.1,0,,,,comeabl01
104,Blake Lizotte,23,LAK,C,41,4,0.07,0.17,0.24,0.09,0.39,1.02,5,10,15,5,22,1,21,4,2,16.9,18.9,-2.0,-0.1,0.8,0.7,0,,,,lizotbl01
105,Blake Wheeler,34,WPG,RW,50,16,0.30,0.62,0.92,0.33,1.00,2.26,23,46,69,25,57,18,56,2,-17,30.4,39.7,-9.3,3.7,0.4,4.1,1,0,1,0.0,wheelbl01
106,Bo Horvat,25,VAN,C,56,16,0.34,0.36,0.70,0.29,0.41,2.34,29,30,59,24,64,23,50,2,-6,35.3,41.9,-6.7,3.1,1.1,4.2,4,2,2,50.0,horvabo01
107,Bobby Ryan,33,DET,LW,33,6,0.21,0.21,0.42,0.17,0.82,2.21,11,10,21,9,21,5,30,0,-14,15.8,16.9,-1.2,0.8,0.1,0.9,0,,,,ryanbo01
108,Boone Jenner,27,CBJ,C,41,7,0.20,0.22,0.41,0.16,0.15,1.93,12,13,25,10,26,5,41,12,-9,19.8,23.5,-3.7,0.5,0.6,1.1,0,,,,jennebo01
109,Bowen Byram,19,COL,D,19,1,0.00,0.11,0.11,0.03,1.21,1.11,0,3,3,1,13,1,11,0,1,11.8,10.2,1.6,-0.2,0.7,0.5,0,,,,byrambo01
110,Brad Hunt,32,MIN,D,12,1,0.08,0.00,0.08,0.05,0.33,1.17,2,0,2,1,3,1,10,0,-8,3.0,4.7,-1.6,0.0,-0.4,-0.3,0,,,,huntbr01
111,Brad Marchand,32,BOS,LW,53,26,0.55,0.75,1.30,0.50,0.87,2.70,44,60,104,40,88,28,40,7,26,36.6,25.4,11.1,7.3,2.3,9.6,3,1,2,33.3,marchbr03
112,Brad Richardson,35,NSH,C,17,1,0.06,0.18,0.24,0.08,0.24,1.06,2,4,6,2,6,0,15,9,0,6.2,6.5,-0.4,0.0,0.2,0.2,0,,,,richabr02
113,Braden Holtby,31,VAN,G,21,0,0.00,0.05,0.05,0.01,0.00,0.00,0,2,2,1,57,14,76,11,0,36.4,53.2,,0.0,0.0,2.7,0,,,,holtbbr01
114,Brady Keeper,24,FLA,D,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.0,0.6,-0.6,0.0,0.0,0.0,0,,,,keepebr01
115,Brady Skjei,26,CAR,D,52,3,0.06,0.13,0.19,0.07,0.58,2.00,5,10,15,5,33,0,40,12,6,34.6,33.3,1.3,0.0,2.9,2.9,0,,,,skjeibr01
116,Brady Tkachuk,21,OTT,LW,56,15,0.30,0.34,0.64,0.26,1.23,3.93,26,28,54,22,54,17,53,0,-17,37.2,37.7,-0.5,2.7,0.5,3.2,1,0,1,0.0,tkachbr01
117,Brandon Carlo,24,BOS,D,27,2,0.11,0.04,0.15,0.07,0.44,1.59,5,1,6,3,18,0,23,5,1,15.2,16.6,-1.4,0.1,1.3,1.4,0,,,,carlobr01
118,Brandon Davidson,29,BUF,D,6,0,0.00,0.00,0.00,0.00,0.67,1.17,0,0,0,0,0,0,6,2,-4,2.9,4.0,-1.1,-0.1,-0.1,-0.2,0,,,,davidbr01
119,Brandon Hagel,22,CHI,LW,52,9,0.17,0.29,0.46,0.17,0.21,1.75,14,22,36,14,34,4,43,7,-7,24.2,29.7,-5.6,1.4,0.6,2.0,0,,,,hagelbr01
