,,,,,,,Per Game,Per Game,Per Game,Per Game,,,Adjusted,Adjusted,Adjusted,Adjusted,Plus/Minus,Plus/Minus,Plus/Minus,Plus/Minus,,Possession Quality,Possession Quality,Possession Quality,Point Shares,Point Shares,Point Shares,Shootouts,Shootouts,Shootouts,Shootouts,-additional
Rk,Player,Age,Tm,Pos,GP,GC,G,A,PTS,GC,PIM,S,G,A,PTS,GC,TGF,PGF,TGA,PGA,+/-,xGF,xGA,E+/-,OPS,DPS,PS,Att.,Made,Miss,Pct.,-9999
1,A.J. Greer,24,NJD,LW,1,0,0.00,0.00,0.00,0.00,7.00,0.00,0,0,0,0,0,0,0,0,0,0.0,1.3,-1.3,0.0,0.0,0.0,0,,,,greeraj01
2,Aaron Dell,31,NJD,G,7,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,17,4,22,7,0,11.7,10.8,,0.0,0.0,0.1,0,,,,dellaa01
3,Aaron Ekblad,24,FLA,D,35,9,0.31,0.31,0.63,0.26,0.94,2.89,17,16,33,14,56,22,38,10,5,28.6,19.3,9.3,2.4,2.0,4.4,0,,,,ekblaaa01
4,Aaron Ness,30,ARI,D,1,0,0.00,0.00,0.00,0.00,0.00,1.00,0,0,0,0,0,0,0,0,0,1.1,0.5,0.6,0.0,0.0,0.0,0,,,,nessaa01
5,Adam Boqvist,20,CHI,D,35,5,0.06,0.40,0.46,0.14,0.40,1.11,3,21,24,7,31,13,26,1,-7,20.7,21.8,-1.1,1.1,0.7,1.9,0,,,,boqviad01
6,Adam Brooks,24,TOR,C,11,2,0.36,0.09,0.45,0.21,0.00,0.91,6,1,7,4,8,1,3,0,4,3.8,2.3,1.5,0.6,0.3,0.8,0,,,,brookad01
7,Adam Erne,25,DET,LW,45,8,0.24,0.20,0.44,0.19,0.58,1.58,17,13,30,13,28,7,20,0,-1,19.1,19.6,-0.5,1.5,0.8,2.2,4,1,3,25.0,ernead01
8,Adam Fox,22,NYR,D,55,14,0.09,0.76,0.85,0.25,0.25,1.85,8,63,71,22,88,31,50,12,19,39.3,35.3,4.0,3.7,4.1,7.8,0,,,,foxad01
9,Adam Gaudette,24,TOT,C,40,4,0.13,0.15,0.28,0.11,0.30,1.65,8,9,17,7,15,4,24,0,-15,17.5,20.6,-3.1,0.5,-0.1,0.4,0,,,,gaudead01
9,Adam Gaudette,24,VAN,C,33,3,0.12,0.09,0.21,0.09,0.36,1.79,6,5,11,5,10,3,18,0,-13,13.6,15.6,-1.9,0.2,-0.1,0.1,2,1,1,50.0,gaudead01
9,Adam Gaudette,24,CHI,C,7,1,0.14,0.43,0.57,0.19,0.00,1.00,2,4,6,2,5,1,6,0,-2,3.9,5.1,-1.2,0.3,0.0,0.3,0,,,,gaudead01
10,Adam Henrique,30,ANA,C,45,9,0.27,0.20,0.47,0.20,0.24,1.71,18,13,31,13,32,5,41,7,-8,23.0,26.2,-3.1,1.5,0.6,2.1,0,,,,henriad01
11,Adam Larsson,28,EDM,D,56,4,0.07,0.11,0.18,0.07,0.43,0.93,6,9,15,6,33,0,44,12,2,30.3,33.7,-3.4,0.1,2.6,2.7,0,,,,larssad01
12,Adam Lowry,27,WPG,LW,52,9,0.19,0.27,0.46,0.18,0.25,1.54,15,21,36,14,32,2,39,14,6,18.6,27.5,-8.9,1.2,1.2,2.4,0,,,,lowryad01
13,Adam Pelech,26,NYI,D,56,5,0.07,0.18,0.25,0.09,0.32,1.46,6,15,21,7,50,0,51,17,15,48.1,33.4,14.7,0.5,4.2,4.7,0,,,,pelecad01
14,Adam Ružička,21,CGY,C,3,0,0.00,0.33,0.33,0.09,1.33,1.00,0,2,2,1,2,0,0,0,2,1.0,1.9,-0.8,0.0,0.1,0.1,0,,,,ruzicad01
15,Adin Hill,24,ARI,G,19,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,49,8,46,6,0,30.1,41.6,,0.0,0.0,3.4,0,,,,hillad01
16,Adrian Kempe,24,LAK,LW,56,12,0.25,0.27,0.52,0.21,0.50,2.27,21,22,43,17,51,25,48,4,-18,23.1,30.8,-7.7,1.8,0.7,2.5,1,1,0,100.0,kempead01
