,,,,,,,Per Game,Per Game,Per Game,Per Game,,,Adjusted,Adjusted,Adjusted,Adjusted,Plus/Minus,Plus/Minus,Plus/Minus,Plus/Minus,,Point Shares,Point Shares,Point Shares,Shootouts,Shootouts,Shootouts,Shootouts,-additional
21,Alex Goligoski,25,PIT,D,60,11,0.15,0.37,0.52,0.18,0.47,1.68,10,23,33,12,81,25,40,4,20,3.0,4.5,7.5,1,0,1,0.0,goligal01
21,Alex Goligoski,25,DAL,D,23,5,0.22,0.43,0.65,0.24,0.52,2.65,5,11,16,6,32,9,30,7,0,1.5,1.2,2.8,0,,,,goligal01
22,Alex Kovalev,37,TOT,RW,74,14,0.22,0.24,0.46,0.18,0.59,2.04,17,19,36,14,51,16,41,0,-6,2.1,1.3,3.4,0,,,,kovalal01
22,Alex Kovalev,37,OTT,RW,54,11,0.26,0.24,0.50,0.21,0.52,2.28,15,14,29,12,36,13,32,0,-9,2.1,0.8,2.9,4,1,3,25.0,kovalal01
22,Alex Kovalev,37,PIT,RW,20,2,0.10,0.25,0.35,0.12,0.80,1.40,2,5,7,2,15,3,9,0,3,0.0,0.5,0.5,6,3,3,50.0,kovalal01
23,Alex Ovechkin,25,WSH,LW,79,32,0.41,0.67,1.08,0.40,0.52,4.65,35,57,92,35,110,38,49,1,24,8.1,3.0,11.1,10,4,6,40.0,ovechal01
24,Alex Pietrangelo,21,STL,D,79,15,0.14,0.41,0.54,0.19,0.24,2.04,12,34,46,16,101,25,74,16,18,4.0,4.9,8.9,0,,,,pietral01
25,Alex Plante,21,EDM,D,3,0,0.00,0.00,0.00,0.00,3.67,1.67,0,0,0,0,1,0,4,1,-2,-0.1,-0.1,-0.1,0,,,,plantal01
26,Alex Stalock,23,SJS,G,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0,,,,staloal01
27,Alex Tanguay,31,CGY,LW,79,24,0.28,0.59,0.87,0.31,0.30,1.52,24,50,74,27,100,34,80,14,0,5.5,1.7,7.1,16,10,6,62.5,tangual01
28,Alexander Burmistrov,19,ATL,C,74,7,0.08,0.19,0.27,0.10,0.36,1.24,7,15,22,8,28,0,50,10,-12,0.1,0.5,0.6,3,1,2,33.3,burmial01
29,Alexander Edler,24,VAN,D,51,11,0.16,0.49,0.65,0.21,0.47,2.37,9,27,36,12,81,33,48,13,13,3.0,3.7,6.8,0,,,,edleral01
30,Alexander Semin,26,WSH,LW,65,22,0.43,0.40,0.83,0.34,1.09,3.02,31,28,59,25,74,23,33,4,22,5.7,2.3,8.0,6,2,4,33.3,seminal01
31,Alexander Steen,26,STL,C,72,19,0.28,0.43,0.71,0.27,0.36,3.03,22,33,55,21,69,22,56,6,-3,3.9,1.4,5.3,5,3,2,60.0,steenal01
32,Alexander Sulzer,26,TOT,D,40,2,0.03,0.10,0.13,0.04,0.35,0.93,1,4,5,2,18,2,28,4,-8,-0.2,1.0,0.9,0,,,,sulzeal01
32,Alexander Sulzer,26,NSH,D,31,1,0.03,0.10,0.13,0.04,0.45,0.97,1,3,4,1,15,2,21,3,-5,-0.1,0.9,0.8,0,,,,sulzeal01
32,Alexander Sulzer,26,FLA,D,9,0,0.00,0.11,0.11,0.03,0.00,0.78,0,1,1,0,3,0,7,1,-3,-0.1,0.1,0.1,0,,,,sulzeal01
33,Alexander Urbom,20,NJD,D,8,1,0.13,0.00,0.13,0.07,0.00,0.63,1,0,1,1,1,0,3,0,-2,0.1,0.1,0.2,0,,,,urbomal01
34,Alexander Vasyunov,22,NJD,LW,18,2,0.06,0.22,0.28,0.09,0.00,1.00,1,4,5,2,6,0,6,0,0,0.1,0.3,0.4,0,,,,vasyual01
35,Alexandre Bolduc,25,VAN,C,24,2,0.08,0.08,0.17,0.07,0.88,0.88,2,2,4,2,6,0,6,1,1,0.1,0.2,0.4,0,,,,boldual01
36,Alexandre Burrows,29,VAN,LW,72,20,0.36,0.31,0.67,0.27,1.07,2.11,29,23,52,22,70,8,46,10,26,4.6,2.4,6.9,2,2,0,100.0,burroal01
37,Alexandre Giroux,29,EDM,C,8,1,0.13,0.13,0.25,0.10,0.25,1.63,1,1,2,1,4,1,5,0,-2,0.0,0.0,0.0,1,0,1,0.0,giroual01
38,Alexandre Picard,25,MTL,D,43,3,0.07,0.12,0.19,0.07,0.40,1.14,3,5,8,3,29,5,25,1,0,0.4,1.8,2.1,0,,,,picaral01
39,Alexei Ponikarovsky,30,LAK,LW,61,5,0.08,0.16,0.25,0.09,0.59,1.54,5,11,16,6,25,6,20,2,1,0.0,1.1,1.0,0,,,,ponikal01
40,Anders Lindbäck,22,NSH,G,22,0,0.00,0.00,0.00,0.00,0.00,0.05,0,0,0,0,0,0,0,0,0,0.0,0.0,3.6,0,,,,lindban01
41,André Benoit,27,OTT,D,8,0,0.00,0.13,0.13,0.03,0.75,2.13,0,1,1,0,5,2,4,0,-1,0.0,0.3,0.2,0,,,,benoian01
42,Andreas Engqvist,23,MTL,C,3,0,0.00,0.00,0.00,0.00,0.00,0.33,0,0,0,0,0,0,2,2,0,-0.1,0.0,0.0,0,,,,engqvan01
43,Andreas Lilja,35,ANA,D,52,2,0.02,0.12,0.13,0.04,0.54,0.60,1,6,7,2,16,0,52,21,-15,-0.2,0.7,0.5,0,,,,liljaan01
44,Andreas Nödl,23,PHI,RW,67,9,0.16,0.16,0.33,0.13,0.24,1.49,12,12,24,10,39,2,25,2,14,1.1,1.3,2.4,0,,,,nodlan01
45,Andreas Thuresson,23,NSH,RW,3,0,0.00,0.00,0.00,0.00,0.67,0.67,0,0,0,0,0,0,1,0,-1,-0.1,0.0,-0.1,0,,,,thurean01
46,Andrei Kostitsyn,25,MTL,LW,81,18,0.25,0.31,0.56,0.22,0.44,2.42,22,27,49,19,65,21,41,0,3,3.5,1.8,5.2,3,0,3,0.0,kostian01
47,Andrei Loktionov,20,LAK,C,19,3,0.21,0.16,0.37,0.15,0.11,1.37,4,3,7,3,13,5,6,0,2,0.4,0.5,0.9,0,,,,loktian01
48,Andrei Markov,32,MTL,D,7,1,0.14,0.29,0.43,0.15,0.57,2.86,1,2,3,1,7,2,3,0,2,0.3,0.6,0.8,0,,,,markoan01
49,Andrei Zubarev,23,ATL,D,4,0,0.00,0.25,0.25,0.07,1.00,0.50,0,1,1,0,2,0,8,2,-4,0.0,-0.2,-0.2,0,,,,zubaran01
50,Andrej Meszároš,25,PHI,D,81,11,0.10,0.30,0.40,0.13,0.52,1.78,9,26,35,12,91,13,68,20,30,2.5,5.1,7.5,0,,,,meszaan01
51,Andrej Sekera,24,BUF,D,76,9,0.04,0.34,0.38,0.11,0.45,1.16,3,28,31,9,74,10,65,12,11,1.6,4.0,5.6,0,,,,sekeran01
52,Andrew Alberts,29,VAN,D,42,2,0.02,0.14,0.17,0.05,0.98,0.50,1,6,7,2,22,0,28,6,0,0.1,1.3,1.5,0,,,,alberan01
53,Andrew Brunette,37,MIN,LW,82,17,0.22,0.34,0.56,0.21,0.20,1.43,20,30,50,19,71,34,44,0,-7,3.0,1.5,4.5,1,0,1,0.0,brunean01
54,Andrew Cogliano,23,EDM,C,82,12,0.13,0.29,0.43,0.15,0.78,1.57,12,26,38,14,49,10,79,28,-12,0.9,1.1,2.0,2,0,2,0.0,coglian01
55,Andrew Desjardins,24,SJS,C,17,1,0.06,0.12,0.18,0.06,0.24,0.71,1,2,3,1,5,0,6,0,-1,0.1,0.1,0.2,0,,,,desjaan01
56,Andrew Ebbett,28,PHX,C,33,2,0.06,0.09,0.15,0.06,0.12,0.70,2,3,5,2,8,0,18,9,-1,-0.2,0.2,0.1,0,,,,ebbetan01
57,Andrew Ference,31,BOS,D,70,5,0.04,0.17,0.21,0.07,0.86,1.11,3,13,16,5,62,3,51,14,22,0.5,3.8,4.3,0,,,,ferenan01
58,Andrew Gordon,25,WSH,RW,9,1,0.11,0.11,0.22,0.09,0.00,0.56,1,1,2,1,4,1,5,0,-2,0.1,0.0,0.1,0,,,,gordoan01
59,Andrew Hutchinson,30,PIT,D,5,0,0.00,0.20,0.20,0.05,1.20,0.40,0,1,1,0,1,1,3,0,-3,0.0,-0.1,-0.1,0,,,,hutchan01
60,Andrew Ladd,25,ATL,LW,81,24,0.36,0.37,0.73,0.30,0.48,2.41,32,32,64,26,93,32,91,20,-10,5.2,1.3,6.5,5,2,3,40.0,laddan01
61,Andrew MacDonald,24,NYI,D,60,8,0.07,0.38,0.45,0.14,0.62,1.20,4,25,29,9,80,23,65,17,9,1.8,3.7,5.5,0,,,,macdoan01
62,Andrew Murray,29,CBJ,C,29,3,0.14,0.14,0.28,0.11,0.14,1.66,4,4,8,3,8,0,9,3,2,0.3,0.4,0.8,0,,,,murraan01
63,Andrew Raycroft,30,DAL,G,19,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.0,0.0,2.5,0,,,,raycran01
64,Andy Greene,28,NJD,D,82,7,0.05,0.23,0.28,0.09,0.27,1.11,4,20,24,8,52,7,85,17,-23,0.9,3.6,4.4,0,,,,greenan01
65,Andy McDonald,33,STL,C,58,19,0.34,0.52,0.86,0.33,0.45,3.10,22,32,54,21,72,22,36,4,18,4.5,2.0,6.5,5,3,2,60.0,mcdonan01
66,Andy Sutton,35,ANA,D,39,1,0.00,0.10,0.10,0.03,2.23,0.79,0,4,4,1,19,1,29,12,1,-0.2,1.3,1.1,0,,,,suttoan01
67,Anssi Salmela,26,NJD,D,48,2,0.02,0.13,0.15,0.05,0.29,1.19,1,6,7,2,23,0,36,2,-11,-0.1,1.6,1.5,0,,,,salmean01
68,Antero Niittymäki,30,SJS,G,24,0,0.00,0.00,0.00,0.00,0.08,0.00,0,0,0,0,0,0,0,0,0,0.0,0.0,2.4,0,,,,niittan01
69,Anthony Stewart,26,ATL,C,80,15,0.18,0.31,0.49,0.18,0.69,1.76,15,27,42,16,59,14,58,3,-10,2.5,0.8,3.3,0,,,,stewaan01
70,Antoine Vermette,28,CBJ,C,82,17,0.23,0.34,0.57,0.21,0.73,2.23,21,30,51,20,76,22,70,16,0,2.7,1.6,4.3,5,2,3,40.0,vermean01
71,Anton Babchuk,26,TOT,D,82,12,0.13,0.29,0.43,0.15,0.39,1.61,12,25,37,13,78,24,46,6,14,3.5,3.8,7.3,0,,,,babchan01
71,Anton Babchuk,26,CGY,D,65,9,0.12,0.29,0.42,0.14,0.31,1.34,9,20,29,10,64,19,31,4,18,2.6,3.5,6.1,0,,,,babchan01
71,Anton Babchuk,26,CAR,D,17,3,0.18,0.29,0.47,0.18,0.71,2.65,3,5,8,3,14,5,15,2,-4,0.8,0.3,1.2,0,,,,babchan01
72,Anton Khudobin,24,MIN,G,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.0,0.0,0.8,0,,,,khudoan01
73,Anton Strålman,24,CBJ,D,51,5,0.02,0.33,0.35,0.10,0.43,1.57,1,18,19,5,45,16,43,3,-11,0.9,1.1,2.0,0,,,,stralan01
74,Anton Volchenkov,28,NJD,D,57,2,0.00,0.14,0.14,0.04,0.63,1.14,0,9,9,2,34,0,36,5,3,-0.3,3.3,3.0,0,,,,volchan01
75,Antti Miettinen,30,MIN,RW,73,14,0.22,0.26,0.48,0.19,0.52,2.30,18,20,38,15,60,27,49,13,-3,2.0,1.5,3.4,4,0,4,0.0,miettan01
76,Antti Niemi,27,SJS,G,60,0,0.00,0.02,0.02,0.00,0.03,0.00,0,1,1,0,1,1,0,0,0,0.0,0.0,11.7,0,,,,niemian02
77,Anže Kopitar,23,LAK,C,75,26,0.33,0.64,0.97,0.35,0.27,3.11,28,51,79,29,94,26,58,15,25,6.0,3.2,9.2,10,3,7,30.0,kopitan01
78,Arron Asham,32,PIT,RW,44,4,0.11,0.14,0.25,0.10,1.05,1.36,5,6,11,4,15,0,15,0,0,0.6,0.5,1.0,0,,,,ashamar01
79,Artem Anisimov,22,NYR,C,82,17,0.22,0.32,0.54,0.20,0.24,2.32,20,28,48,19,64,16,51,6,3,3.0,1.8,4.8,5,1,4,20.0,anisiar01
80,Artūrs Kulda,22,ATL,D,2,0,0.00,0.00,0.00,0.00,1.00,1.50,0,0,0,0,1,0,3,0,-2,0.0,-0.1,-0.1,0,,,,kuldaar01
81,B.J. Crombeen,25,STL,RW,80,6,0.09,0.09,0.18,0.07,1.93,1.41,8,7,15,6,27,0,59,14,-18,-0.6,0.3,-0.3,0,,,,crombbj01
82,Barret Jackman,29,STL,D,60,4,0.00,0.22,0.22,0.06,0.95,1.08,0,14,14,4,52,1,67,19,3,0.0,2.7,2.7,0,,,,jackmba01
83,Ben Bishop,24,STL,G,7,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.0,0.0,0.7,0,,,,bishobe01
84,Ben Eager,27,TOT,LW,68,7,0.10,0.15,0.25,0.10,1.76,1.24,7,10,17,7,25,0,21,0,4,0.6,0.9,1.5,0,,,,eagerbe01
84,Ben Eager,27,ATL,LW,34,4,0.09,0.21,0.29,0.11,2.26,1.21,3,7,10,4,17,0,13,0,4,0.3,0.6,0.9,0,,,,eagerbe01
84,Ben Eager,27,SJS,LW,34,3,0.12,0.09,0.21,0.09,1.26,1.26,4,3,7,3,8,0,8,0,0,0.3,0.3,0.6,0,,,,eagerbe01
85,Ben Holmstrom,23,PHI,C,2,0,0.00,0.00,0.00,0.00,2.50,0.00,0,0,0,0,0,0,1,0,-1,-0.1,0.0,-0.1,0,,,,holmsbe01
86,Ben Lovejoy,26,PIT,D,47,5,0.06,0.30,0.36,0.11,1.02,1.28,3,15,18,6,34,1,28,6,11,1.4,2.5,3.9,0,,,,lovejbe01
87,Ben Maxwell,22,ATL,C,12,1,0.08,0.08,0.17,0.07,0.75,1.08,1,1,2,1,2,0,9,0,-7,-0.1,-0.1,-0.2,0,,,,maxwebe01
88,Ben Smith,22,CHI,RW,6,1,0.17,0.00,0.17,0.09,0.00,1.00,1,0,1,1,3,0,2,0,1,0.0,0.1,0.1,0,,,,smithbe01
89,Benn Ferriero,23,SJS,C,33,4,0.15,0.12,0.27,0.11,0.27,1.70,5,4,9,4,20,2,10,0,8,0.3,0.8,1.1,0,,,,ferribe01
90,Benoît Pouliot,24,MTL,LW,79,12,0.16,0.22,0.38,0.15,1.10,1.63,14,18,32,13,41,5,34,0,2,2.1,1.2,3.4,4,1,3,25.0,poulibe01
91,Bill Thomas,27,FLA,RW,24,3,0.17,0.13,0.29,0.12,0.25,1.38,4,3,7,3,7,0,8,2,1,0.6,0.3,0.9,0,,,,thomabi01
92,Blair Betts,30,PHI,C,75,5,0.07,0.09,0.16,0.06,0.11,0.68,5,7,12,5,16,0,45,26,-3,-0.4,0.5,0.1,0,,,,bettsbl01
93,Blair Jones,24,TBL,C,18,1,0.06,0.11,0.17,0.06,0.11,1.11,1,2,3,1,4,0,6,0,-2,0.0,0.1,0.1,0,,,,jonesbl01
94,Blake Comeau,24,NYI,RW,77,19,0.31,0.29,0.60,0.25,0.56,2.36,26,23,49,20,60,17,76,16,-17,3.7,0.9,4.6,1,0,1,0.0,comeabl01
95,Blake Geoffrion,22,NSH,LW,20,4,0.30,0.10,0.40,0.19,0.35,1.20,7,2,9,4,9,0,6,0,3,1.1,0.3,1.4,0,,,,geoffbl01
96,Blake Wheeler,24,TOT,RW,81,17,0.22,0.32,0.54,0.21,0.57,2.21,20,28,48,19,57,7,53,13,10,3.1,1.6,4.8,0,,,,wheelbl01
96,Blake Wheeler,24,BOS,RW,58,10,0.19,0.28,0.47,0.18,0.55,1.74,12,17,29,11,36,4,35,11,8,1.7,1.1,2.8,2,1,1,50.0,wheelbl01
96,Blake Wheeler,24,ATL,RW,23,7,0.30,0.43,0.74,0.29,0.61,3.39,8,11,19,7,21,3,18,2,2,1.5,0.5,2.0,3,2,1,66.7,wheelbl01
97,Bobby Butler,23,OTT,LW,36,9,0.28,0.31,0.58,0.24,0.28,2.03,11,12,23,9,31,11,36,0,-16,1.9,0.1,2.0,1,0,1,0.0,butlebo01
98,Bobby Ryan,23,ANA,RW,82,28,0.41,0.45,0.87,0.34,0.74,3.29,38,40,78,32,107,23,79,10,15,6.6,2.5,9.2,3,2,1,66.7,ryanbo01
99,Boyd Gordon,27,WSH,RW,60,3,0.05,0.10,0.15,0.05,0.27,1.28,3,6,9,3,19,0,38,14,-5,-0.9,0.7,-0.2,0,,,,gordobo01
100,Brad Boyes,28,TOT,C,83,20,0.20,0.46,0.66,0.24,0.43,2.14,18,41,59,21,83,20,51,1,13,4.0,2.0,6.0,0,,,,boyesbr01
100,Brad Boyes,28,STL,C,62,14,0.19,0.47,0.66,0.23,0.48,2.13,13,31,44,16,59,15,34,1,11,2.9,1.6,4.5,8,5,3,62.5,boyesbr01
100,Brad Boyes,28,BUF,C,21,5,0.24,0.43,0.67,0.24,0.29,2.19,5,10,15,5,24,5,17,0,2,1.1,0.4,1.5,0,,,,boyesbr01
101,Brad Lukowich,34,DAL,D,5,0,0.00,0.00,0.00,0.00,0.00,0.60,0,0,0,0,3,0,1,0,2,-0.1,0.3,0.2,0,,,,lukowbr01
102,Brad Marchand,22,BOS,C,77,17,0.27,0.26,0.53,0.22,0.66,1.94,23,21,44,18,58,4,41,12,25,3.8,2.0,5.8,0,,,,marchbr03
103,Brad Mills,27,NJD,C,4,1,0.25,0.00,0.25,0.14,1.25,1.50,1,0,1,1,1,0,1,1,1,0.1,0.1,0.2,0,,,,millsbr01
104,Brad Richards,30,DAL,C,72,28,0.39,0.68,1.07,0.40,0.33,3.78,31,52,83,31,99,41,62,5,1,7.2,1.9,9.0,12,5,7,41.7,richabr01
105,Brad Richardson,25,LAK,RW,68,7,0.10,0.18,0.28,0.10,0.69,1.51,8,13,21,8,25,0,45,7,-13,0.5,0.5,1.1,0,,,,richabr02
106,Brad Staubitz,26,MIN,RW,71,3,0.06,0.07,0.13,0.05,2.44,0.41,4,5,9,4,13,0,18,0,-5,0.1,0.4,0.5,0,,,,staubbr01
107,Brad Stuart,31,DET,D,67,6,0.04,0.25,0.30,0.09,0.60,1.21,3,18,21,7,63,5,80,26,4,0.8,2.9,3.7,0,,,,stuarbr02
108,Brad Winchester,29,TOT,LW,76,7,0.13,0.08,0.21,0.09,1.50,1.18,11,6,17,8,25,6,37,0,-18,0.6,0.1,0.7,0,,,,winchbr01
108,Brad Winchester,29,STL,LW,57,6,0.16,0.09,0.25,0.11,1.51,1.18,10,5,15,7,22,5,26,0,-9,0.9,0.3,1.1,0,,,,winchbr01
108,Brad Winchester,29,ANA,LW,19,1,0.05,0.05,0.11,0.04,1.47,1.21,1,1,2,1,3,1,11,0,-9,-0.2,-0.1,-0.4,0,,,,winchbr01
109,Braden Holtby,21,WSH,G,14,0,0.00,0.07,0.07,0.02,0.00,0.00,0,1,1,0,1,1,0,0,0,0.0,0.0,2.8,0,,,,holtbbr01
110,Brandon Dubinsky,24,NYR,C,77,21,0.31,0.39,0.70,0.27,1.30,2.62,26,32,58,23,83,23,83,20,-3,4.1,1.8,5.9,4,1,3,25.0,dubinbr01
111,Brandon Mashinter,22,SJS,LW,13,0,0.00,0.00,0.00,0.00,1.31,0.38,0,0,0,0,2,0,4,0,-2,-0.2,0.0,-0.2,0,,,,mashibr01
112,Brandon McMillan,20,ANA,LW,60,8,0.18,0.17,0.35,0.14,0.30,1.28,12,11,23,10,29,3,45,14,-5,1.0,0.8,1.8,0,,,,mcmilbr01
113,Brandon Pirri,19,CHI,C,1,0,0.00,0.00,0.00,0.00,0.00,1.00,0,0,0,0,0,0,1,0,-1,0.0,0.0,-0.1,0,,,,pirribr01
114,Brandon Prust,26,NYR,LW,82,11,0.16,0.20,0.35,0.14,1.95,1.06,14,17,31,12,39,2,47,12,2,1.4,1.5,2.9,0,,,,prustbr01
115,Brandon Segal,27,DAL,RW,46,4,0.11,0.11,0.22,0.09,0.89,0.87,5,5,10,4,15,1,14,0,0,0.6,0.4,1.0,1,0,1,0.0,segalbr01
116,Brandon Sutter,21,CAR,C,82,12,0.17,0.18,0.35,0.14,0.30,1.77,15,16,31,13,52,4,56,21,13,0.8,2.0,2.8,1,0,1,0.0,suttebr03
117,Brandon Yip,25,COL,RW,71,9,0.17,0.14,0.31,0.13,0.76,1.79,13,11,24,10,36,8,56,6,-22,1.0,0.0,0.9,1,1,0,100.0,yipbr01
118,Brayden Schenn,19,LAK,C,8,1,0.00,0.25,0.25,0.07,0.00,1.38,0,2,2,1,4,1,4,0,-1,0.0,0.1,0.0,0,,,,schenbr01
119,Braydon Coburn,25,PHI,D,82,5,0.02,0.17,0.20,0.06,0.65,1.39,2,15,17,5,78,1,78,16,15,0.0,3.8,3.8,0,,,,coburbr01
120,Brendan Mikkelson,23,TOT,D,24,1,0.00,0.08,0.08,0.02,0.38,0.58,0,2,2,1,8,0,17,3,-6,-0.2,0.2,0.0,0,,,,mikkebr01
120,Brendan Mikkelson,23,CGY,D,19,0,0.00,0.05,0.05,0.01,0.11,0.53,0,1,1,0,6,0,11,0,-5,-0.2,0.1,-0.1,0,,,,mikkebr01
120,Brendan Mikkelson,23,ANA,D,5,0,0.00,0.20,0.20,0.05,1.40,0.80,0,1,1,0,2,0,6,3,-1,0.0,0.1,0.1,0,,,,mikkebr01
121,Brendan Morrison,35,CGY,C,66,14,0.14,0.52,0.65,0.21,0.24,1.35,10,36,46,15,60,18,45,16,13,2.5,1.7,4.2,2,0,2,0.0,morribr01
122,Brenden Morrow,32,DAL,LW,82,24,0.40,0.28,0.68,0.29,0.93,2.55,36,25,61,26,102,38,78,11,-3,5.3,1.7,7.1,1,1,0,100.0,morrobr01
123,Brendon Nash,23,MTL,D,2,0,0.00,0.00,0.00,0.00,0.00,1.00,0,0,0,0,0,0,1,0,-1,0.0,0.0,-0.1,0,,,,nashbr01
124,Brent Burns,25,MIN,D,80,17,0.21,0.36,0.58,0.21,1.23,2.13,19,31,50,19,93,25,98,20,-10,4.5,4.1,8.6,3,1,2,33.3,burnsbr01
125,Brent Johnson,33,PIT,G,23,0,0.00,0.04,0.04,0.01,1.04,0.04,0,1,1,0,1,0,0,0,0,0.0,0.0,4.3,0,,,,johnsbr02
126,Brent Seabrook,25,CHI,D,82,15,0.11,0.48,0.59,0.19,0.57,1.65,10,42,52,17,101,32,98,29,0,3.9,3.8,7.7,0,,,,seabrbr01
127,Brent Sopel,34,TOT,D,71,2,0.03,0.07,0.10,0.03,0.23,0.62,2,5,7,2,44,1,76,39,6,-0.3,2.9,2.6,0,,,,sopelbr01
127,Brent Sopel,34,ATL,D,59,2,0.03,0.08,0.12,0.04,0.27,0.68,2,5,7,2,36,1,65,37,7,-0.1,2.5,2.4,0,,,,sopelbr01
127,Brent Sopel,34,MTL,D,12,0,0.00,0.00,0.00,0.00,0.00,0.33,0,0,0,0,8,0,11,2,-1,-0.2,0.4,0.2,0,,,,sopelbr01
128,Brett Carson,25,TOT,D,19,0,0.00,0.00,0.00,0.00,0.21,0.63,0,0,0,0,16,0,8,1,9,-0.3,1.2,0.9,0,,,,carsobr01
128,Brett Carson,25,CAR,D,13,0,0.00,0.00,0.00,0.00,0.31,0.62,0,0,0,0,12,0,6,1,7,-0.2,0.9,0.7,0,,,,carsobr01
128,Brett Carson,25,CGY,D,6,0,0.00,0.00,0.00,0.00,0.00,0.67,0,0,0,0,4,0,2,0,2,-0.1,0.3,0.2,0,,,,carsobr01
129,Brett Clark,34,TBL,D,82,11,0.11,0.27,0.38,0.13,0.17,1.06,10,23,33,12,79,29,51,3,2,2.6,3.5,6.0,0,,,,clarkbr01
