,,,,,,,Per Game,Per Game,Per Game,Per Game,,,Adjusted,Adjusted,Adjusted,Adjusted,Plus/Minus,Plus/Minus,Plus/Minus,Plus/Minus,,Point Shares,Point Shares,Point Shares,Shootouts,Shootouts,Shootouts,Shootouts,-additional
Rk,Player,Age,Tm,Pos,GP,GC,G,A,PTS,GC,PIM,S,G,A,PTS,GC,TGF,PGF,TGA,PGA,+/-,OPS,DPS,PS,Att.,Made,Miss,Pct.,-9999
1,Aaron Gagnon,24,DAL,C,19,1,0.00,0.11,0.11,0.03,0.00,0.47,0,2,2,1,3,0,9,3,-3,-0.2,0.1,-0.2,0,,,,gagnoaa01
2,Aaron Palushaj,21,MTL,RW,3,0,0.00,0.00,0.00,0.00,0.67,1.00,0,0,0,0,1,0,0,0,1,-0.1,0.1,0.0,0,,,,palusaa01
3,Aaron Rome,27,VAN,D,56,2,0.02,0.07,0.09,0.03,0.95,0.89,1,4,5,2,35,4,39,9,1,-0.5,2.1,1.7,0,,,,romeaa01
4,Aaron Volpatti,25,VAN,RW,15,1,0.07,0.07,0.13,0.05,1.07,0.40,1,1,2,1,3,1,3,0,-1,0.0,0.1,0.1,0,,,,volpaaa01
5,Aaron Voros,29,ANA,LW,12,0,0.00,0.00,0.00,0.00,3.58,0.67,0,0,0,0,1,0,5,0,-4,-0.2,-0.1,-0.3,0,,,,vorosaa01
6,Adam Burish,28,DAL,C,63,6,0.13,0.10,0.22,0.09,1.44,1.41,9,6,15,7,26,0,38,14,2,-0.2,1.1,1.0,0,,,,burisad01
7,Adam Cracknell,25,STL,RW,24,3,0.13,0.17,0.29,0.11,0.33,1.08,3,4,7,3,10,0,9,0,1,0.5,0.3,0.8,0,,,,crackad01
8,Adam Foote,39,COL,D,47,2,0.00,0.17,0.17,0.05,0.70,0.49,0,9,9,2,30,0,61,22,-9,-0.1,0.8,0.7,0,,,,footead01
9,Adam Hall,30,TBL,RW,82,7,0.09,0.13,0.22,0.08,0.39,2.04,8,12,20,8,28,1,62,23,-12,-0.8,0.9,0.1,7,2,5,28.6,hallad01
10,Adam Henrique,20,NJD,C,1,0,0.00,0.00,0.00,0.00,0.00,3.00,0,0,0,0,1,0,0,0,1,0.0,0.1,0.0,0,,,,henriad01
11,Adam Mair,31,NJD,C,65,1,0.02,0.05,0.06,0.02,0.69,0.89,1,3,4,1,6,0,25,3,-16,-1.1,0.3,-0.9,0,,,,mairad01
12,Adam McQuaid,24,BOS,D,67,5,0.04,0.18,0.22,0.07,1.43,0.69,3,13,16,5,56,0,34,8,30,0.8,4.1,4.9,0,,,,mcquaad01
13,Adam Pardy,26,CGY,D,30,2,0.03,0.20,0.23,0.07,0.80,1.20,1,6,7,2,22,1,19,1,3,0.4,1.1,1.5,0,,,,pardyad01
14,Adrian Aucoin,37,PHX,D,75,7,0.04,0.25,0.29,0.09,0.69,1.32,3,20,23,7,70,2,77,27,18,0.9,4.3,5.2,0,,,,aucoiad01
15,Al Montoya,25,NYI,G,21,0,0.00,0.05,0.05,0.01,0.10,0.00,0,1,1,0,1,0,0,0,0,0.0,0.0,4.1,0,,,,montoal01
16,Alec Martinez,23,LAK,D,60,6,0.08,0.18,0.27,0.09,0.30,1.23,5,12,17,6,39,6,22,0,11,1.2,3.4,4.6,0,,,,martial01
17,Aleš Hemský,27,EDM,RW,47,15,0.30,0.60,0.89,0.32,0.38,2.13,15,30,45,16,49,10,40,4,3,3.6,1.1,4.7,3,0,3,0.0,hemskal01
18,Aleš Kotalík,32,CGY,RW,26,3,0.15,0.08,0.23,0.10,0.31,2.38,4,2,6,3,11,4,14,0,-7,0.2,0.1,0.2,2,1,1,50.0,kotalal01
19,Alex Auld,30,MTL,G,16,0,0.00,0.06,0.06,0.02,0.13,0.00,0,1,1,0,1,0,0,0,0,0.0,0.0,2.3,0,,,,auldal01
20,Alex Frolov,28,NYR,LW,43,6,0.16,0.21,0.37,0.14,0.19,1.81,8,10,18,7,27,8,16,1,4,0.7,0.9,1.7,1,0,1,0.0,froloal01
21,Alex Goligoski,25,TOT,D,83,16,0.17,0.39,0.55,0.20,0.48,1.95,15,34,49,17,113,34,70,11,20,4.5,5.7,10.2,0,,,,goligal01
