,,,,,,,Per Game,Per Game,Per Game,Per Game,,,Adjusted,Adjusted,Adjusted,Adjusted,Plus/Minus,Plus/Minus,Plus/Minus,Plus/Minus,,Point Shares,Point Shares,Point Shares,Shootouts,Shootouts,Shootouts,Shootouts,-additional
Rk,Player,Age,Tm,Pos,GP,GC,G,A,PTS,GC,PIM,S,G,A,PTS,GC,TGF,PGF,TGA,PGA,+/-,OPS,DPS,PS,Att.,Made,Miss,Pct.,-9999
1,Aaron Gagnon,23,DAL,C,2,0,0.00,0.00,0.00,0.00,0.00,1.00,0,0,0,0,0,0,2,2,0,-0.1,0.0,0.0,0,,,,gagnoaa01
2,Aaron Johnson,26,TOT,D,41,4,0.10,0.15,0.24,0.09,0.85,0.88,4,6,10,4,25,4,31,4,-6,0.8,1.0,1.7,0,,,,johnsaa01
2,Aaron Johnson,26,CGY,D,22,1,0.05,0.09,0.14,0.05,0.86,0.59,1,2,3,1,11,0,12,1,0,0.1,0.7,0.8,0,,,,johnsaa01
2,Aaron Johnson,26,EDM,D,19,3,0.16,0.21,0.37,0.14,0.84,1.21,3,4,7,3,14,4,19,3,-6,0.6,0.3,1.0,0,,,,johnsaa01
3,Aaron Rome,26,VAN,D,49,1,0.00,0.08,0.08,0.02,0.49,1.00,0,4,4,1,29,1,35,5,-2,-0.5,1.1,0.6,0,,,,romeaa01
4,Aaron Voros,28,NYR,LW,41,3,0.07,0.10,0.17,0.07,2.17,0.54,3,4,7,3,9,1,10,0,-2,0.4,0.2,0.6,0,,,,vorosaa01
5,Aaron Ward,37,TOT,D,77,4,0.01,0.16,0.17,0.05,0.81,0.53,1,12,13,4,48,1,83,21,-15,-0.1,1.5,1.5,0,,,,wardaa01
5,Aaron Ward,37,CAR,D,60,3,0.02,0.17,0.18,0.05,0.90,0.53,1,10,11,3,37,1,68,15,-17,0.0,0.9,0.9,0,,,,wardaa01
5,Aaron Ward,37,ANA,D,17,1,0.00,0.12,0.12,0.03,0.47,0.53,0,2,2,1,11,0,15,6,2,-0.1,0.6,0.6,0,,,,wardaa01
6,Adam Burish,27,CHI,C,13,1,0.08,0.23,0.31,0.10,1.08,0.69,1,3,4,1,6,0,4,0,2,0.2,0.2,0.4,0,,,,burisad01
7,Adam Foote,38,COL,D,67,2,0.00,0.13,0.13,0.04,0.96,0.39,0,9,9,2,54,1,72,27,8,-0.6,3.1,2.5,0,,,,footead01
8,Adam Mair,30,BUF,C,69,5,0.09,0.12,0.20,0.08,1.06,0.97,7,8,15,6,23,2,24,1,-2,0.3,0.7,1.0,1,0,1,0.0,mairad01
9,Adam McQuaid,23,BOS,D,19,1,0.05,0.00,0.05,0.03,1.11,0.53,1,0,1,1,5,0,10,0,-5,0.0,0.1,0.1,0,,,,mcquaad01
10,Adam Pardy,25,CGY,D,57,3,0.04,0.12,0.16,0.05,0.84,0.70,2,7,9,3,27,0,37,7,-3,0.1,2.0,2.1,0,,,,pardyad01
11,Adrian Aucoin,36,PHX,D,82,10,0.10,0.24,0.34,0.12,0.68,1.76,9,21,30,11,74,24,71,23,2,1.7,4.5,6.3,9,6,3,66.7,aucoiad01
12,Alec Martinez,22,LAK,D,4,0,0.00,0.00,0.00,0.00,0.50,1.50,0,0,0,0,1,0,4,1,-2,-0.1,0.0,-0.1,0,,,,martial01
13,Aleš Hemský,26,EDM,RW,22,8,0.32,0.68,1.00,0.35,0.36,2.59,8,16,24,9,29,12,10,0,7,2.0,0.7,2.8,4,2,2,50.0,hemskal01
14,Aleš Kotalík,31,TOT,RW,71,10,0.15,0.23,0.38,0.14,0.94,2.42,12,17,29,11,48,25,42,2,-17,1.3,0.6,1.8,0,,,,kotalal01
14,Aleš Kotalík,31,NYR,RW,45,8,0.18,0.31,0.49,0.18,0.84,2.22,9,15,24,9,33,22,30,1,-18,1.5,0.0,1.5,4,1,3,25.0,kotalal01
14,Aleš Kotalík,31,CGY,RW,26,2,0.12,0.08,0.19,0.08,1.12,2.77,3,2,5,2,15,3,12,1,1,-0.2,0.5,0.3,0,,,,kotalal01
15,Alex Auld,29,TOT,G,24,1,0.00,0.08,0.08,0.02,0.08,0.00,0,2,2,1,2,1,0,0,0,0.0,0.0,2.5,0,,,,auldal01
15,Alex Auld,29,DAL,G,21,1,0.00,0.10,0.10,0.03,0.10,0.00,0,2,2,1,2,1,0,0,0,0.0,0.0,2.2,0,,,,auldal01
15,Alex Auld,29,NYR,G,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0,,,,auldal01
16,Alex Frolov,27,LAK,LW,81,19,0.23,0.40,0.63,0.23,0.32,2.25,21,34,55,21,72,19,64,10,-1,3.2,1.6,4.9,1,0,1,0.0,froloal01
17,Alex Goligoski,24,PIT,D,69,12,0.12,0.42,0.54,0.17,0.32,1.42,9,30,39,13,87,30,60,10,7,3.1,3.4,6.5,1,0,1,0.0,goligal01
18,Alex Kovalev,36,OTT,RW,77,18,0.23,0.40,0.64,0.23,0.70,2.14,20,32,52,20,78,27,61,2,-8,3.3,1.3,4.6,9,5,4,55.6,kovalal01
19,Alex Ovechkin,24,WSH,LW,72,43,0.69,0.82,1.51,0.60,1.24,5.11,55,62,117,47,148,59,45,1,45,13.0,2.5,15.6,9,2,7,22.2,ovechal01
20,Alex Pietrangelo,20,STL,D,9,1,0.11,0.11,0.22,0.09,0.67,0.78,1,1,2,1,3,1,11,0,-9,0.2,-0.4,-0.2,0,,,,pietral01
21,Alex Plante,20,EDM,D,4,0,0.00,0.25,0.25,0.07,0.50,1.00,0,1,1,0,2,0,1,0,1,0.0,0.2,0.2,0,,,,plantal01
22,Alex Tanguay,30,TBL,LW,80,13,0.13,0.34,0.46,0.16,0.40,1.14,11,28,39,14,62,15,53,4,-2,1.4,1.4,2.8,4,0,4,0.0,tangual01
23,Alexander Edler,23,VAN,D,76,13,0.07,0.49,0.55,0.17,0.53,2.12,5,39,44,13,90,34,76,20,0,3.0,2.9,5.9,0,,,,edleral01
24,Alexander Pechurski,19,PIT,G,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0,,,,pechual01
25,Alexander Salák,23,FLA,G,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,,,,salakal01
26,Alexander Semin,25,WSH,LW,73,34,0.55,0.60,1.15,0.46,0.90,3.81,44,46,90,37,125,46,46,3,36,9.7,2.1,11.7,7,2,5,28.6,seminal01
27,Alexander Steen,25,STL,C,68,19,0.35,0.34,0.69,0.28,0.44,2.78,26,24,50,21,68,26,44,8,6,4.5,1.7,6.2,1,0,1,0.0,steenal01
28,Alexander Sulzer,25,NSH,D,20,1,0.00,0.10,0.10,0.03,0.20,0.75,0,2,2,1,9,0,5,0,4,-0.1,0.9,0.8,0,,,,sulzeal01
29,Alexandre Bolduc,24,VAN,C,15,0,0.00,0.00,0.00,0.00,0.87,0.93,0,0,0,0,1,0,8,4,-3,-0.4,0.0,-0.4,0,,,,boldual01
30,Alexandre Burrows,28,VAN,LW,82,27,0.43,0.39,0.82,0.33,1.48,2.55,38,34,72,30,94,11,63,14,34,6.8,2.7,9.5,1,1,0,100.0,burroal01
31,Alexandre Giroux,28,WSH,C,9,1,0.11,0.22,0.33,0.12,0.44,1.89,1,2,3,1,7,1,4,1,3,0.2,0.2,0.3,0,,,,giroual01
32,Alexandre Picard,24,TOT,D,54,5,0.07,0.20,0.28,0.09,0.48,1.31,4,11,15,5,48,7,47,6,0,0.9,2.3,3.1,0,,,,picaral01
32,Alexandre Picard,24,OTT,D,45,5,0.09,0.24,0.33,0.11,0.44,1.42,4,11,15,5,40,7,41,6,-2,1.0,1.8,2.8,0,,,,picaral01
32,Alexandre Picard,24,CAR,D,9,0,0.00,0.00,0.00,0.00,0.67,0.78,0,0,0,0,8,0,6,0,2,-0.2,0.5,0.3,0,,,,picaral01
33,Alexandre Picard,24,CBJ,LW,9,0,0.00,0.00,0.00,0.00,1.11,1.33,0,0,0,0,0,0,3,0,-3,-0.2,-0.1,-0.2,0,,,,picaral02
34,Alexei Ponikarovsky,29,TOT,LW,77,19,0.27,0.38,0.65,0.25,0.79,2.39,23,30,53,21,75,20,60,4,-1,4.0,1.2,5.2,0,,,,ponikal01
34,Alexei Ponikarovsky,29,TOR,LW,61,16,0.31,0.36,0.67,0.26,0.72,2.41,21,23,44,18,63,14,48,4,5,3.5,1.2,4.8,0,,,,ponikal01
