,,,,,,,Per Game,Per Game,Per Game,Per Game,,,Adjusted,Adjusted,Adjusted,Adjusted,Plus/Minus,Plus/Minus,Plus/Minus,Plus/Minus,,Possession Quality,Possession Quality,Possession Quality,Point Shares,Point Shares,Point Shares,Shootouts,Shootouts,Shootouts,Shootouts,-additional
8,Adam Lowry,21,WPG,LW,80,9,0.14,0.15,0.29,0.12,0.58,1.30,12,13,25,10,41,6,37,3,1,36.9,33.8,3.1,0.8,1.2,2.0,0,,,,lowryad01
9,Adam McQuaid,28,BOS,D,63,2,0.02,0.10,0.11,0.03,1.35,0.95,1,7,8,2,31,0,48,15,-2,36.6,36.3,0.2,-0.6,2.3,1.8,0,,,,mcquaad01
10,Adam Pardy,30,WPG,D,55,2,0.00,0.16,0.16,0.04,0.73,0.53,0,10,10,3,32,1,33,11,9,28.4,26.0,2.4,0.0,2.4,2.4,0,,,,pardyad01
11,Al Montoya,29,FLA,G,20,0,0.00,0.00,0.00,0.00,0.10,0.00,0,0,0,0,45,11,49,7,0,34.4,31.2,0.0,0.0,0.0,1.5,0,,,,montoal01
12,Alec Martinez,27,LAK,D,56,7,0.11,0.29,0.39,0.13,0.18,1.84,7,17,24,8,50,8,39,6,9,34.4,34.1,0.3,1.7,3.3,5.0,0,,,,martial01
13,Aleksander Barkov,19,FLA,C,71,14,0.23,0.28,0.51,0.20,0.23,1.73,18,22,40,16,56,17,46,3,-4,40.7,37.0,3.7,2.4,1.2,3.6,4,1,3,25.0,barkoal01
14,Aleš Hemský,31,DAL,RW,76,12,0.14,0.28,0.42,0.15,0.21,1.84,12,23,35,13,51,11,48,0,-8,39.9,35.4,4.4,2.0,0.6,2.5,3,0,3,0.0,hemskal01
15,Alex Biega,26,VAN,D,7,1,0.14,0.00,0.14,0.08,0.00,1.00,1,0,1,1,5,0,7,0,-2,2.8,6.2,-3.4,0.1,0.1,0.1,0,,,,biegaal01
16,Alex Chiasson,24,OTT,RW,76,10,0.14,0.20,0.34,0.13,0.88,1.38,12,16,28,11,41,15,37,5,-5,30.4,32.1,-1.7,1.4,0.8,2.1,2,0,2,0.0,chiasal01
17,Alex Galchenyuk,20,MTL,C,80,18,0.25,0.33,0.58,0.22,0.49,2.04,23,28,51,20,72,21,44,1,8,48.2,42.4,5.8,3.8,1.8,5.6,11,4,7,36.4,galchal01
18,Alex Goligoski,29,DAL,D,81,11,0.05,0.40,0.44,0.13,0.30,1.51,5,35,40,12,96,15,108,27,0,71.7,60.5,11.2,2.1,3.1,5.2,0,,,,goligal01
19,Alex Killorn,25,TBL,C,71,14,0.21,0.32,0.54,0.20,0.51,1.83,17,25,42,16,63,11,51,7,8,46.2,34.4,11.8,2.6,1.4,4.0,0,,,,killoal01
20,Alex Ovechkin,29,WSH,LW,81,36,0.65,0.35,1.00,0.44,0.72,4.88,60,31,91,41,117,51,58,2,10,55.6,46.6,9.1,10.4,2.2,12.6,8,2,6,25.0,ovechal01
21,Alex Pietrangelo,25,STL,D,81,14,0.09,0.48,0.57,0.17,0.35,2.41,8,43,51,16,90,20,99,26,-2,59.8,64.1,-4.3,3.3,4.2,7.5,0,,,,pietral01
22,Alex Stalock,27,SJS,G,22,0,0.00,0.00,0.00,0.00,0.09,0.00,0,0,0,0,45,10,54,12,0,40.1,45.1,0.0,0.0,0.0,2.5,0,,,,staloal01
23,Alex Tanguay,35,COL,LW,80,21,0.28,0.41,0.69,0.26,0.50,1.30,25,36,61,23,72,17,65,8,-1,43.5,55.6,-12.2,4.6,1.6,6.2,9,3,6,33.3,tangual01
24,Alexander Edler,28,VAN,D,74,10,0.11,0.31,0.42,0.14,0.73,2.36,9,25,34,12,92,31,67,19,13,53.9,48.2,5.6,2.2,4.7,6.9,0,,,,edleral01
25,Alexander Khokhlachev,21,BOS,C,3,0,0.00,0.00,0.00,0.00,0.00,0.33,0,0,0,0,0,0,2,0,-2,0.1,0.7,-0.6,-0.1,-0.1,-0.1,1,1,0,100.0,khokhal01
26,Alexander Petrovic,22,FLA,D,33,1,0.00,0.09,0.09,0.02,1.03,0.88,0,3,3,1,15,0,22,3,-4,19.2,18.1,1.1,-0.3,0.9,0.5,0,,,,petroal01
27,Alexander Semin,30,CAR,RW,57,7,0.11,0.23,0.33,0.12,0.56,1.63,7,14,21,8,37,7,40,0,-10,28.4,33.3,-5.0,0.2,1.0,1.2,3,0,3,0.0,seminal01
28,Alexander Steen,30,STL,LW,74,23,0.32,0.54,0.86,0.32,0.45,3.01,27,44,71,27,96,37,65,14,8,51.0,40.1,10.9,5.7,2.0,7.7,10,2,8,20.0,steenal01
29,Alexander Wennberg,20,CBJ,C,68,6,0.06,0.24,0.29,0.09,0.32,1.25,5,17,22,7,37,12,64,20,-19,30.5,34.1,-3.7,-0.3,0.2,-0.1,5,3,2,60.0,wennbal01
30,Alexandre Bolduc,29,ARI,C,3,0,0.00,0.00,0.00,0.00,0.67,1.00,0,0,0,0,0,0,1,0,-1,0.7,1.2,-0.5,-0.1,0.0,-0.1,0,,,,boldual01
31,Alexandre Burrows,33,VAN,RW,70,14,0.26,0.21,0.47,0.20,0.97,2.07,20,16,36,15,52,13,47,8,0,35.4,34.0,1.4,2.7,1.1,3.9,1,1,0,100.0,burroal01
32,Alexei Emelin,28,MTL,D,68,5,0.04,0.16,0.21,0.07,0.87,0.63,3,12,15,5,44,0,56,17,5,35.1,43.6,-8.5,0.2,3.4,3.7,0,,,,emelial01
33,Alexey Marchenko,23,DET,D,13,1,0.08,0.08,0.15,0.06,0.15,0.54,1,1,2,1,6,0,5,0,1,4.7,4.8,-0.2,0.1,0.5,0.6,0,,,,marchal01
34,Anders Lee,24,NYI,C,76,18,0.33,0.21,0.54,0.24,0.43,2.59,28,17,45,20,69,17,44,0,9,58.4,38.8,19.6,4.5,1.4,5.9,0,,,,leean01
35,Anders Lindbäck,26,TOT,G,26,0,0.00,0.04,0.04,0.01,0.15,0.00,0,1,1,0,55,13,73,13,0,46.3,50.1,0.0,0.0,0.0,4.2,0,,,,lindban01
35,Anders Lindbäck,26,BUF,G,16,0,0.00,0.00,0.00,0.00,0.25,0.00,0,0,0,0,30,8,41,7,0,26.9,33.6,0.0,0.0,0.0,3.9,0,,,,lindban01
35,Anders Lindbäck,26,DAL,G,10,0,0.00,0.10,0.10,0.03,0.00,0.00,0,1,1,0,25,5,32,6,0,19.5,16.5,0.0,0.0,0.0,0.3,0,,,,lindban01
36,André Benoit,31,BUF,D,59,3,0.02,0.14,0.15,0.05,0.34,0.76,1,9,10,3,29,1,56,9,-19,27.7,43.6,-15.9,-0.2,1.2,1.0,0,,,,benoian01
37,André Burakovsky,19,WSH,LW,53,8,0.17,0.25,0.42,0.16,0.19,1.23,10,14,24,9,44,9,23,0,12,27.7,19.5,8.2,1.6,1.3,2.8,1,0,1,0.0,burakan01
38,Andrei Markov,36,MTL,D,81,16,0.12,0.49,0.62,0.20,0.47,1.67,11,44,55,18,113,34,78,21,22,64.7,58.5,6.1,4.3,6.4,10.7,1,0,1,0.0,markoan01
39,Andrei Vasilevskiy,20,TBL,G,16,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,42,6,34,6,0,29.0,32.7,0.0,0.0,0.0,2.7,0,,,,vasilan02
40,Andrej Meszároš,29,BUF,D,60,6,0.12,0.12,0.23,0.09,0.60,1.12,8,8,16,7,41,2,60,10,-13,32.5,47.1,-14.7,1.0,1.7,2.7,0,,,,meszaan01
41,Andrej Nestrašil,23,TOT,C,54,7,0.13,0.24,0.37,0.13,0.15,1.52,8,14,22,8,33,11,23,0,-1,27.1,22.3,4.8,1.0,1.0,2.0,0,,,,nestran01
41,Andrej Nestrašil,23,CAR,C,41,7,0.17,0.27,0.44,0.16,0.10,1.61,8,12,20,8,28,7,19,0,2,21.9,18.6,3.3,1.2,1.0,2.2,0,,,,nestran01
41,Andrej Nestrašil,23,DET,C,13,1,0.00,0.15,0.15,0.04,0.31,1.23,0,2,2,1,5,4,4,0,-3,5.2,3.7,1.5,-0.2,0.0,-0.1,1,0,1,0.0,nestran01
42,Andrej Sekera,28,TOT,D,73,7,0.04,0.27,0.32,0.09,0.19,1.37,3,22,25,8,62,12,62,9,-3,54.1,54.5,-0.4,0.9,4.4,5.3,0,,,,sekeran01
42,Andrej Sekera,28,CAR,D,57,6,0.04,0.30,0.33,0.10,0.14,1.35,2,19,21,6,49,9,56,9,-7,44.2,46.9,-2.7,0.7,3.4,4.1,0,,,,sekeran01
42,Andrej Sekera,28,LAK,D,16,1,0.06,0.19,0.25,0.08,0.38,1.44,1,3,4,1,13,3,6,0,4,9.9,7.6,2.3,0.2,1.0,1.2,0,,,,sekeran01
43,Andrej Šustr,24,TBL,D,72,4,0.00,0.18,0.18,0.05,0.47,0.76,0,14,14,4,48,1,47,10,10,42.7,39.1,3.6,-0.1,3.0,2.8,0,,,,sustran01
44,Andrew Agozzino,24,COL,LW,1,0,0.00,1.00,1.00,0.27,0.00,1.00,0,1,1,0,1,0,0,0,1,0.4,0.3,0.0,0.1,0.1,0.1,0,,,,agozzan01
45,Andrew Campbell,26,ARI,D,33,0,0.00,0.03,0.03,0.01,0.30,0.85,0,1,1,0,8,0,30,9,-13,14.4,20.7,-6.4,-0.6,0.4,-0.2,0,,,,campban01
46,Andrew Cogliano,27,ANA,C,82,12,0.18,0.17,0.35,0.15,0.17,1.63,17,15,32,13,44,0,51,11,5,38.9,39.3,-0.4,1.7,1.4,3.0,0,,,,coglian01
47,Andrew Copp,20,WPG,C,1,0,0.00,1.00,1.00,0.27,0.00,4.00,0,1,1,0,2,0,0,0,2,0.9,0.3,0.5,0.1,0.1,0.2,0,,,,coppan01
48,Andrew Desjardins,28,TOT,C,69,4,0.07,0.07,0.14,0.06,0.83,0.86,6,5,11,5,17,1,29,11,-1,19.6,24.2,-4.6,-0.4,0.8,0.4,0,,,,desjaan01
48,Andrew Desjardins,28,SJS,C,56,3,0.09,0.05,0.14,0.06,0.89,0.77,6,3,9,4,14,1,23,7,-2,13.8,19.8,-6.0,-0.2,0.6,0.4,0,,,,desjaan01
48,Andrew Desjardins,28,CHI,C,13,1,0.00,0.15,0.15,0.04,0.54,1.23,0,2,2,1,3,0,6,4,1,5.9,4.4,1.4,-0.2,0.2,0.0,0,,,,desjaan01
49,Andrew Ebbett,32,PIT,C,24,2,0.04,0.21,0.25,0.08,0.08,0.88,1,5,6,2,7,0,8,2,1,5.0,6.4,-1.4,0.2,0.3,0.5,0,,,,ebbetan01
50,Andrew Ference,35,EDM,D,70,5,0.04,0.16,0.20,0.07,0.56,0.83,3,12,15,5,43,1,71,12,-17,33.9,56.3,-22.4,0.3,1.6,1.9,0,,,,ferenan01
51,Andrew Hammond,26,OTT,G,24,0,0.00,0.04,0.04,0.01,0.00,0.00,0,1,1,0,69,13,42,7,0,47.6,44.2,0.0,0.0,0.0,6.5,0,,,,hammoan01
52,Andrew Ladd,29,WPG,LW,81,23,0.30,0.47,0.77,0.29,0.89,2.77,27,42,69,26,88,32,68,21,9,51.7,45.3,6.4,5.3,2.1,7.4,10,2,8,20.0,laddan01
53,Andrew MacDonald,28,PHI,D,58,4,0.03,0.17,0.21,0.06,0.71,1.07,2,11,13,4,37,7,45,10,-5,35.6,34.2,1.4,0.1,2.0,2.0,0,,,,macdoan01
54,Andrew MacWilliam,24,TOR,D,12,1,0.00,0.17,0.17,0.05,1.00,0.42,0,2,2,1,2,0,12,4,-6,3.1,7.1,-4.0,0.0,-0.1,-0.1,0,,,,macwian01
55,Andrew Miller,26,EDM,C,9,2,0.11,0.56,0.67,0.21,0.00,1.56,1,5,6,2,5,0,8,0,-2,5.3,5.1,0.1,0.5,0.1,0.5,0,,,,millean01
56,Andrew Shaw,23,CHI,C,79,11,0.19,0.14,0.33,0.14,0.85,1.85,17,12,29,13,55,22,43,2,-8,44.9,39.6,5.3,1.3,1.1,2.4,1,1,0,100.0,shawan01
57,Andrey Makarov,21,BUF,G,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,3,1,0,1.0,2.9,0.0,0.0,0.0,0.2,0,,,,makaran01
58,Andy Andreoff,23,LAK,C,18,1,0.11,0.06,0.17,0.07,1.00,0.78,2,1,3,1,3,0,2,0,1,5.3,6.9,-1.6,0.1,0.2,0.4,0,,,,andrean01
59,Andy Greene,32,NJD,D,82,7,0.04,0.23,0.27,0.08,0.24,1.01,3,21,24,7,58,4,92,40,1,53.8,54.0,-0.2,0.4,5.1,5.5,0,,,,greenan01
60,Anthony Bitetto,24,NSH,D,7,0,0.00,0.00,0.00,0.00,1.00,0.29,0,0,0,0,1,0,2,0,-1,3.5,3.4,0.2,-0.1,0.1,0.0,0,,,,bitetan01
61,Anthony Duclair,19,NYR,LW,18,2,0.06,0.33,0.39,0.12,0.22,1.00,1,7,8,2,9,1,4,0,4,5.8,6.6,-0.8,0.3,0.4,0.7,0,,,,duclaan01
62,Anthony Peluso,25,WPG,RW,49,1,0.02,0.02,0.04,0.02,1.76,0.47,1,1,2,1,7,0,11,1,-3,7.3,9.0,-1.7,-0.5,0.2,-0.3,0,,,,pelusan01
63,Antoine Roussel,25,DAL,LW,80,10,0.16,0.15,0.31,0.13,1.85,1.41,15,13,28,12,39,3,71,15,-20,37.6,35.0,2.7,1.1,0.1,1.2,1,1,0,100.0,roussan01
64,Antoine Vermette,32,TOT,C,82,14,0.16,0.30,0.46,0.17,0.49,1.33,15,27,42,16,61,23,88,25,-25,38.3,51.9,-13.6,1.6,0.9,2.5,0,,,,vermean01
64,Antoine Vermette,32,ARI,C,63,13,0.21,0.35,0.56,0.20,0.54,1.35,15,24,39,15,53,22,79,25,-23,28.5,40.6,-12.1,2.0,0.7,2.7,8,4,4,50.0,vermean01
64,Antoine Vermette,32,CHI,C,19,1,0.00,0.16,0.16,0.04,0.32,1.26,0,3,3,1,8,1,9,0,-2,9.8,11.3,-1.5,-0.4,0.2,-0.2,1,1,0,100.0,vermean01
65,Anton Forsberg,22,CBJ,G,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,7,2,20,6,0,8.1,9.6,0.0,0.0,0.0,0.0,0,,,,forsban01
66,Anton Khudobin,28,CAR,G,34,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,57,10,87,11,0,61.9,71.2,0.0,0.0,0.0,3.8,0,,,,khudoan01
67,Anton Lander,23,EDM,C,38,7,0.16,0.37,0.53,0.19,0.37,1.61,7,15,22,8,29,12,34,5,-12,19.9,22.0,-2.1,1.4,0.2,1.6,2,0,2,0.0,landean01
68,Anton Strålman,28,TBL,D,82,13,0.11,0.37,0.48,0.16,0.32,1.68,10,33,43,14,109,23,82,18,22,70.3,52.7,17.6,3.2,4.9,8.0,0,,,,stralan01
69,Anton Volchenkov,32,NSH,D,46,2,0.00,0.15,0.15,0.04,0.30,0.76,0,8,8,2,24,0,27,7,4,19.6,17.8,1.8,0.0,1.6,1.6,0,,,,volchan01
70,Antti Niemi,31,SJS,G,61,1,0.00,0.05,0.05,0.01,0.00,0.00,0,3,3,1,172,45,155,35,0,130.9,119.5,0.0,0.0,0.0,10.8,0,,,,niemian02
71,Antti Raanta,25,CHI,G,14,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,39,8,24,5,0,33.7,27.4,0.0,0.0,0.0,3.3,0,,,,raantan01
72,Anže Kopitar,27,LAK,C,79,21,0.20,0.61,0.81,0.27,0.13,1.70,18,53,71,24,83,32,70,16,-2,48.0,36.9,11.1,4.7,1.7,6.4,9,1,8,11.1,kopitan01
73,Artem Anisimov,26,CBJ,C,52,9,0.13,0.38,0.52,0.17,0.15,1.69,8,22,30,10,39,6,51,12,-6,27.4,29.1,-1.8,1.4,0.6,2.0,3,0,3,0.0,anisiar01
74,B.J. Crombeen,29,ARI,RW,58,2,0.05,0.05,0.10,0.04,1.36,0.74,3,3,6,2,10,0,16,0,-6,15.8,22.3,-6.5,-0.3,0.4,0.1,0,,,,crombbj01
75,Barclay Goodrow,21,SJS,RW,60,4,0.07,0.13,0.20,0.07,0.58,1.13,5,9,14,5,20,1,21,1,-1,18.9,22.0,-3.1,-0.1,0.7,0.6,2,0,2,0.0,goodrba01
76,Barret Jackman,33,STL,D,80,5,0.03,0.16,0.19,0.06,0.59,1.08,2,14,16,5,44,0,57,17,3,43.5,38.7,4.8,0.2,3.1,3.3,0,,,,jackmba01
77,Beau Bennett,23,PIT,RW,49,4,0.08,0.16,0.24,0.09,0.33,1.65,5,9,14,5,20,0,22,1,-1,21.9,20.4,1.5,0.1,0.7,0.8,1,0,1,0.0,bennebe01
78,Ben Bishop,28,TBL,G,62,1,0.00,0.06,0.06,0.02,0.06,0.00,0,4,4,1,188,43,135,28,0,124.5,100.5,0.0,0.0,0.0,10.0,0,,,,bishobe01
79,Ben Chiarot,23,WPG,D,40,3,0.05,0.15,0.20,0.07,0.55,0.93,2,7,9,3,25,0,25,5,5,26.6,20.4,6.2,0.3,1.8,2.1,0,,,,chiarbe01
80,Ben Lovejoy,30,TOT,D,60,4,0.03,0.20,0.23,0.07,0.42,1.43,2,13,15,5,34,1,46,8,-4,38.7,36.2,2.5,0.3,1.9,2.2,0,,,,lovejbe01
80,Ben Lovejoy,30,ANA,D,40,3,0.03,0.25,0.28,0.08,0.43,1.25,1,11,12,4,23,0,25,4,3,22.7,21.0,1.7,0.4,1.6,2.0,0,,,,lovejbe01
80,Ben Lovejoy,30,PIT,D,20,1,0.05,0.10,0.15,0.05,0.40,1.80,1,2,3,1,11,1,21,4,-7,16.1,15.2,0.9,-0.1,0.4,0.3,0,,,,lovejbe01
81,Ben Scrivens,28,EDM,G,57,0,0.00,0.02,0.02,0.00,0.07,0.00,0,1,1,0,123,28,169,31,0,90.4,110.8,0.0,0.0,0.0,4.6,0,,,,scrivbe01
82,Ben Smith,26,TOT,RW,80,6,0.09,0.09,0.18,0.07,0.03,1.15,8,7,15,6,23,1,30,10,2,29.4,29.4,0.0,-0.6,1.3,0.7,0,,,,smithbe01
82,Ben Smith,26,CHI,RW,61,4,0.08,0.07,0.15,0.06,0.03,1.26,6,4,10,4,18,1,25,7,-1,23.8,25.3,-1.4,-0.8,0.9,0.2,0,,,,smithbe01
82,Ben Smith,26,SJS,RW,19,2,0.11,0.16,0.26,0.10,0.00,0.79,2,3,5,2,5,0,5,3,3,5.6,4.1,1.5,0.2,0.4,0.6,0,,,,smithbe01
83,Ben Street,27,COL,C,3,0,0.00,0.00,0.00,0.00,0.00,1.33,0,0,0,0,2,0,2,0,0,0.6,1.8,-1.1,-0.1,0.0,-0.1,0,,,,streebe01
84,Benoît Pouliot,28,EDM,LW,58,14,0.33,0.26,0.59,0.25,0.48,1.81,21,16,37,16,53,13,47,6,-1,33.7,37.7,-4.0,3.4,1.1,4.5,2,0,2,0.0,poulibe01
85,Blair Jones,28,PHI,C,4,0,0.00,0.00,0.00,0.00,0.50,0.00,0,0,0,0,0,0,4,0,-4,0.8,1.5,-0.8,-0.1,-0.1,-0.2,0,,,,jonesbl01
86,Blake Comeau,28,PIT,LW,61,12,0.26,0.25,0.51,0.20,1.07,2.41,18,16,34,14,40,3,36,3,6,36.4,34.3,2.1,2.6,1.4,4.0,0,,,,comeabl01
87,Blake Wheeler,28,WPG,RW,79,24,0.33,0.44,0.77,0.30,0.92,3.09,29,38,67,26,95,28,50,9,26,53.2,39.7,13.5,5.7,2.7,8.4,12,4,8,33.3,wheelbl01
88,Bo Horvat,19,VAN,C,68,10,0.19,0.18,0.37,0.15,0.24,1.37,15,13,28,12,32,2,44,5,-8,31.1,36.5,-5.4,2.0,0.5,2.5,0,,,,horvabo01
89,Bobby Farnham,26,PIT,RW,11,0,0.00,0.00,0.00,0.00,2.18,0.55,0,0,0,0,1,0,1,0,0,1.4,2.3,-0.8,-0.2,0.1,-0.1,0,,,,farnhbo01
90,Bobby Robins,33,BOS,C,3,0,0.00,0.00,0.00,0.00,4.67,0.00,0,0,0,0,0,0,0,0,0,0.5,0.9,-0.4,-0.1,0.0,0.0,0,,,,robinbo01
91,Bobby Ryan,27,OTT,RW,78,20,0.23,0.46,0.69,0.25,0.31,2.83,20,39,59,22,77,23,51,2,5,45.5,46.0,-0.5,4.4,1.5,6.0,11,4,7,36.4,ryanbo01
92,Bogdan Yakimov,20,EDM,C,1,0,0.00,0.00,0.00,0.00,0.00,1.00,0,0,0,0,0,0,1,0,-1,0.3,0.6,-0.3,0.0,0.0,-0.1,0,,,,yakimbo01
93,Boone Jenner,21,CBJ,C,31,7,0.29,0.26,0.55,0.22,0.39,2.68,10,9,19,8,32,10,32,4,-5,21.1,20.9,0.3,1.3,0.3,1.7,2,1,1,50.0,jennebo01
94,Borna Rendulic,22,COL,RW,11,1,0.09,0.09,0.18,0.07,0.55,0.55,1,1,2,1,6,0,5,0,1,3.2,3.5,-0.3,0.0,0.2,0.2,0,,,,rendubo01
95,Boyd Gordon,31,EDM,C,68,5,0.09,0.10,0.19,0.08,0.25,0.96,7,8,15,6,23,4,45,21,-5,17.6,24.0,-6.4,-0.4,0.9,0.5,1,0,1,0.0,gordobo01
96,Brad Boyes,32,FLA,RW,78,14,0.18,0.31,0.49,0.18,0.26,1.94,16,26,42,16,61,14,37,0,11,39.4,40.6,-1.2,2.4,1.8,4.3,7,2,5,28.6,boyesbr01
97,Brad Hunt,26,EDM,D,11,1,0.09,0.18,0.27,0.10,0.00,1.82,1,2,3,1,9,3,13,1,-6,6.6,7.3,-0.6,0.2,0.0,0.2,0,,,,huntbr01
98,Brad Malone,25,CAR,C,65,6,0.11,0.12,0.23,0.09,1.14,1.00,8,9,17,7,18,0,31,5,-8,19.6,20.1,-0.4,0.6,0.7,1.3,0,,,,malonbr01
99,Brad Marchand,26,BOS,LW,77,18,0.31,0.23,0.55,0.23,1.23,2.34,27,20,47,20,61,6,63,13,5,51.6,34.5,17.1,3.8,1.6,5.5,8,2,6,25.0,marchbr03
100,Brad Richards,34,CHI,C,76,13,0.16,0.33,0.49,0.17,0.16,2.62,14,27,41,15,62,13,46,1,3,43.8,43.0,0.8,2.4,1.5,3.8,1,0,1,0.0,richabr01
101,Brad Richardson,29,VAN,RW,45,8,0.18,0.29,0.47,0.17,0.76,1.47,9,14,23,9,27,1,35,9,0,24.1,24.7,-0.5,1.5,0.7,2.1,0,,,,richabr02
102,Brad Stuart,35,COL,D,65,4,0.05,0.15,0.20,0.07,0.25,0.98,3,11,14,5,40,1,54,11,-4,37.4,45.6,-8.1,0.1,2.6,2.7,0,,,,stuarbr02
103,Braden Holtby,25,WSH,G,73,1,0.00,0.03,0.03,0.01,0.03,0.00,0,2,2,1,199,53,157,38,0,139.9,126.0,0.0,0.0,0.0,14.4,0,,,,holtbbr01
104,Brandon Bollig,28,CGY,LW,62,2,0.02,0.06,0.08,0.03,1.42,1.08,1,4,5,2,11,0,20,0,-9,14.2,17.4,-3.2,-0.8,0.2,-0.6,0,,,,bollibr01
105,Brandon Davidson,23,EDM,D,12,1,0.08,0.00,0.08,0.05,0.00,0.58,1,0,1,1,6,0,11,0,-5,5.6,7.6,-1.9,0.0,0.0,0.0,0,,,,davidbr01
106,Brandon DeFazio,26,VAN,LW,2,0,0.00,0.00,0.00,0.00,0.00,1.00,0,0,0,0,0,0,0,0,0,0.5,0.2,0.3,0.0,0.0,0.0,0,,,,defazbr01
107,Brandon Dubinsky,28,CBJ,C,47,13,0.28,0.49,0.77,0.28,0.91,2.13,15,25,40,15,47,7,46,17,11,29.0,27.4,1.6,3.1,1.3,4.4,1,0,1,0.0,dubinbr01
108,Brandon Gormley,22,ARI,D,27,2,0.07,0.07,0.15,0.06,0.37,1.44,2,2,4,2,12,2,25,8,-7,13.1,15.2,-2.1,0.2,0.5,0.7,0,,,,gormlbr01
109,Brandon Kozun,24,TOR,RW,20,2,0.10,0.10,0.20,0.08,0.30,0.40,2,2,4,2,6,0,10,1,-3,3.9,5.9,-2.0,0.3,0.1,0.3,0,,,,kozunbr01
110,Brandon Manning,24,PHI,D,11,1,0.00,0.27,0.27,0.07,0.64,0.91,0,3,3,1,7,0,8,4,3,7.1,4.9,2.2,0.1,0.6,0.7,0,,,,mannibr01
111,Brandon McMillan,24,TOT,C,58,1,0.02,0.05,0.07,0.02,0.28,0.88,1,3,4,1,8,0,39,12,-19,15.3,22.0,-6.7,-1.1,0.0,-1.2,0,,,,mcmilbr01
111,Brandon McMillan,24,ARI,C,50,1,0.02,0.04,0.06,0.02,0.32,0.88,1,2,3,1,5,0,34,11,-18,12.8,17.7,-5.0,-1.0,-0.1,-1.1,0,,,,mcmilbr01
111,Brandon McMillan,24,VAN,C,8,0,0.00,0.13,0.13,0.03,0.00,0.88,0,1,1,0,3,0,5,1,-1,2.6,4.3,-1.7,-0.1,0.1,-0.1,0,,,,mcmilbr01
112,Brandon Pirri,23,FLA,C,49,12,0.45,0.04,0.49,0.25,0.29,2.92,25,2,27,14,31,8,17,0,6,23.4,22.2,1.2,3.2,1.1,4.2,7,3,4,42.9,pirribr01
113,Brandon Prust,30,MTL,LW,82,6,0.05,0.17,0.22,0.07,1.63,0.95,5,15,20,7,29,1,39,17,6,27.7,30.6,-2.9,-0.5,1.5,1.0,0,,,,prustbr01
114,Brandon Saad,22,CHI,LW,82,20,0.28,0.35,0.63,0.25,0.15,2.48,26,32,58,23,72,18,57,11,7,58.5,49.5,9.0,4.5,2.0,6.5,1,0,1,0.0,saadbr01
