,,,,,,,Per Game,Per Game,Per Game,Per Game,,,Adjusted,Adjusted,Adjusted,Adjusted,Plus/Minus,Plus/Minus,Plus/Minus,Plus/Minus,,Possession Quality,Possession Quality,Possession Quality,Point Shares,Point Shares,Point Shares,Shootouts,Shootouts,Shootouts,Shootouts,-additional
Rk,Player,Age,Tm,Pos,GP,GC,G,A,PTS,GC,PIM,S,G,A,PTS,GC,TGF,PGF,TGA,PGA,+/-,xGF,xGA,E+/-,OPS,DPS,PS,Att.,Made,Miss,Pct.,-9999
1,Aaron Ekblad,18,FLA,D,81,14,0.15,0.33,0.48,0.17,0.40,2.10,14,29,43,16,88,22,57,4,12,60.3,50.6,9.7,3.5,5.0,8.5,1,0,1,0.0,ekblaaa01
2,Aaron Volpatti,29,WSH,LW,2,0,0.00,0.00,0.00,0.00,0.00,0.50,0,0,0,0,0,0,0,0,0,0.6,0.3,0.3,-0.1,0.0,0.0,0,,,,volpaaa01
3,Adam Burish,32,SJS,RW,20,1,0.05,0.10,0.15,0.05,1.65,1.10,1,2,3,1,3,0,13,4,-6,4.0,10.3,-6.3,-0.2,0.0,-0.2,0,,,,burisad01
4,Adam Clendening,22,TOT,D,21,1,0.05,0.14,0.19,0.06,0.48,0.81,1,3,4,1,20,4,14,0,2,12.2,14.1,-1.8,0.1,0.9,1.0,0,,,,clendad01
4,Adam Clendening,22,VAN,D,17,1,0.00,0.12,0.12,0.03,0.47,0.88,0,2,2,1,14,1,12,0,1,10.6,11.4,-0.8,-0.1,0.7,0.5,0,,,,clendad01
4,Adam Clendening,22,CHI,D,4,1,0.25,0.25,0.50,0.20,0.50,0.50,1,1,2,1,6,3,2,0,1,1.7,2.7,-1.0,0.3,0.2,0.5,0,,,,clendad01
5,Adam Cracknell,29,CBJ,RW,17,0,0.00,0.06,0.06,0.02,0.12,1.00,0,1,1,0,1,0,11,2,-8,2.8,8.0,-5.3,-0.4,-0.2,-0.5,0,,,,crackad01
6,Adam Henrique,24,NJD,C,75,16,0.21,0.36,0.57,0.21,0.45,1.69,18,29,47,18,61,21,66,20,-6,39.4,44.5,-5.1,2.9,1.5,4.4,2,0,2,0.0,henriad01
7,Adam Larsson,22,NJD,D,64,7,0.05,0.33,0.38,0.11,0.53,1.42,3,23,26,8,38,0,52,16,2,40.0,36.8,3.3,1.3,3.7,5.0,0,,,,larssad01
