,,,,,,,Per Game,Per Game,Per Game,Per Game,,,Adjusted,Adjusted,Adjusted,Adjusted,Plus/Minus,Plus/Minus,Plus/Minus,Plus/Minus,,Point Shares,Point Shares,Point Shares,Shootouts,Shootouts,Shootouts,Shootouts,-additional
Rk,Player,Age,Tm,Pos,GP,GC,G,A,PTS,GC,PIM,S,G,A,PTS,GC,TGF,PGF,TGA,PGA,+/-,OPS,DPS,PS,Att.,Made,Miss,Pct.,-9999
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999
336,Ian Moran,33,BOS,D,12,1,0.08,0.08,0.17,0.07,0.83,0.58,1,1,2,1,6,0,9,3,0,0.1,0.4,0.5,0,,,,morania01
337,Ian White,21,TOR,D,12,2,0.08,0.42,0.50,0.16,0.83,1.75,1,5,6,2,12,3,8,1,2,0.4,0.7,1.1,0,,,,whiteia01
338,Igor Ulanov,36,EDM,D,37,3,0.08,0.16,0.24,0.09,0.78,0.78,3,6,9,3,28,5,48,14,-11,0.5,0.7,1.1,0,,,,ulanoig01
339,Ilya Bryzgalov,25,MDA,G,31,1,0.00,0.06,0.06,0.02,0.13,0.00,0,2,2,1,2,2,0,0,0,0.0,0.0,5.1,0,,,,bryzgil01
340,Ilya Kovalchuk,22,ATL,LW,78,40,0.67,0.59,1.26,0.52,0.87,4.14,52,44,96,40,136,82,63,3,-6,9.8,1.4,11.2,0,,,,kovalil01
341,Ivan Majeský,29,WSH,D,57,3,0.02,0.14,0.16,0.05,1.16,0.61,1,8,9,3,36,0,66,28,-2,-0.1,1.5,1.3,0,,,,majesiv01
342,J.P. Dumont,27,BUF,RW,54,16,0.37,0.37,0.74,0.30,0.70,2.15,20,19,39,16,65,32,35,1,-1,3.3,1.0,4.4,0,,,,dumonjp01
343,J.P. Vigier,29,ATL,RW,41,4,0.10,0.15,0.24,0.09,0.98,1.29,4,6,10,4,13,3,34,20,-4,-0.3,0.4,0.1,0,,,,vigiejp01
344,Jakub Klepiš,21,WSH,C,25,1,0.04,0.12,0.16,0.06,0.32,1.04,1,3,4,1,4,1,14,0,-11,0.0,-0.3,-0.3,0,,,,klepija01
345,Jamal Mayers,31,STL,C,67,11,0.22,0.16,0.39,0.16,1.93,1.66,15,11,26,11,30,0,77,25,-22,1.0,0.7,1.7,0,,,,mayerja01
346,James Wisniewski,21,CHI,D,19,2,0.11,0.26,0.37,0.13,1.89,1.32,2,5,7,2,14,1,19,6,0,0.5,0.7,1.2,0,,,,wisnija01
