Rk,Team,GP,W,L,T,OW,OL,W-L%,G,GA,DIFF
1,Detroit Red Wings,22,16,6,0,1,1,.727,72,41,31
2,Pittsburgh Penguins,20,14,6,0,2,0,.700,61,43,18
3,Dallas Stars,18,10,8,0,3,1,.556,45,41,4
4,Philadelphia Flyers,17,9,8,0,2,1,.529,52,54,-2
5,San Jose Sharks,13,6,7,0,1,3,.462,30,32,-2
6,New York Rangers,10,5,5,0,0,2,.500,31,27,4
7,Montreal Canadiens,12,5,7,0,2,1,.417,33,35,-2
8,Colorado Avalanche,10,4,6,0,1,2,.400,26,33,-7
9,Calgary Flames,7,3,4,0,0,0,.429,17,19,-2
10,Boston Bruins,7,3,4,0,1,1,.429,15,19,-4
11,Washington Capitals,7,3,4,0,0,2,.429,20,23,-3
12,Minnesota Wild,6,2,4,0,2,1,.333,12,17,-5
13,Anaheim Ducks,6,2,4,0,0,0,.333,13,20,-7
14,Nashville Predators,6,2,4,0,0,1,.333,12,17,-5
15,New Jersey Devils,5,1,4,0,1,0,.200,12,19,-7
16,Ottawa Senators,4,0,4,0,0,0,.000,5,16,-11
,League Average,10.6,5.3,5.3,0.0,1.2,1.2,.500,28.5,28.5,0
