,Team A,Asset Sent,Asset Received,Team B,Num Players Sent,Num Player Received,Year,Month,Day
11778,GoldenKnights, • Tobias Lindberg• 2018 sixth round pick (#180-Peter Diliberatore), • Calvin Pickard,MapleLeafs,1,2,2017,10,6
11779,MapleLeafs, • Calvin Pickard, • Tobias Lindberg• 2018 sixth round pick (#180-Peter Diliberatore),GoldenKnights,2,1,2017,10,6
11780,Ducks, • future considerations (?), • Dustin Tokarski,Flyers,1,1,2017,10,9
11781,Flyers, • Dustin Tokarski, • future considerations (?),Ducks,1,1,2017,10,9
11782,Penguins, • Riley Sheahan• 2018 fifth round pick (#129-Justin Almeida), • Scott Wilson• 2018 third round pick (#84-Jesper Eliasson),RedWings,2,2,2017,10,21
11783,RedWings, • Scott Wilson• 2018 third round pick (#84-Jesper Eliasson), • Riley Sheahan• 2018 fifth round pick (#129-Justin Almeida),Penguins,2,2,2017,10,21
11784,Rangers, • Ryan Sproul, • Matt Puempel,RedWings,1,1,2017,10,21
11785,RedWings, • Matt Puempel, • Ryan Sproul,Rangers,1,1,2017,10,21
11786,Coyotes, • Scott Wedgewood, • 2018 fifth round pick (#136-Akira Schmid),Devils,1,1,2017,10,28
11787,Devils, • 2018 fifth round pick (#136-Akira Schmid), • Scott Wedgewood,Coyotes,1,1,2017,10,28
11791,Panthers, • Ludwig Bystrom, • Reece Scarlett,Stars,1,1,2017,11,10
11792,Stars, • Reece Scarlett, • Ludwig Bystrom,Panthers,1,1,2017,11,10
11793,Coyotes, • Tye McGinn• Michael Leighton, • Louis Domingue,Lightning,1,2,2017,11,14
11794,Kings, • Jussi Jokinen, • Michael Cammalleri / Mike Cammalleri,Oilers,1,1,2017,11,14
11795,Lightning, • Louis Domingue, • Tye McGinn• Michael Leighton,Coyotes,2,1,2017,11,14
11796,Oilers, • Michael Cammalleri / Mike Cammalleri, • Jussi Jokinen,Kings,1,1,2017,11,14
11797,Canadiens," • 2018 conditional round pick (fourth round if Kings qualify for 2018 playoffs, else fifth round) (#97-Allan McShane)", • Torrey Mitchell,Kings,1,1,2017,11,23
11798,Kings, • Torrey Mitchell," • 2018 conditional round pick (fourth round if Kings qualify for 2018 playoffs, else fifth round) (#97-Allan McShane)",Canadiens,1,1,2017,11,23
11799,Canadiens, • Adam Cracknell, • Peter Holland,Rangers,1,1,2017,11,30
11800,Devils," • Sami Vatanen• conditional round pick (2019 third round if Henrique re-signs with Ducks prior to Ducks making 2019 third round pick, 2020 third round if Henrique re-signs with Ducks after Ducks make 2019 third round pick) (2019 #70-Daniil Misyul)", • Adam Henrique• Joseph Blandisi• 2018 third round pick (#79-Blake McLaughlin),Ducks,3,2,2017,11,30
