Rk,Team,GP,W,L,T,OW,OL,W-L%,G,GA,DIFF
1,Boston Bruins,25,16,9,0,4,1,.640,81,53,28
2,Vancouver Canucks,25,15,10,0,4,2,.600,58,69,-11
3,Tampa Bay Lightning,18,11,7,0,1,1,.611,59,45,14
4,San Jose Sharks,18,9,9,0,5,1,.500,51,58,-7
5,Detroit Red Wings,11,7,4,0,0,2,.636,36,28,8
6,Nashville Predators,12,6,6,0,2,1,.500,33,34,-1
7,Washington Capitals,9,4,5,0,2,1,.444,23,24,-1
8,Philadelphia Flyers,11,4,7,0,1,2,.364,29,38,-9
9,Pittsburgh Penguins,7,3,4,0,1,0,.429,14,22,-8
10,Chicago Blackhawks,7,3,4,0,1,1,.429,22,16,6
11,Montreal Canadiens,7,3,4,0,0,3,.429,17,17,0
12,Buffalo Sabres,7,3,4,0,1,1,.429,18,22,-4
13,Anaheim Ducks,6,2,4,0,0,1,.333,20,22,-2
14,Los Angeles Kings,6,2,4,0,0,3,.333,20,20,0
15,New York Rangers,5,1,4,0,0,2,.200,8,13,-5
16,Phoenix Coyotes,4,0,4,0,0,0,.000,10,18,-8
,League Average,11.1,5.6,5.6,0.0,1.5,1.5,.500,31.2,31.2,0
