Rk,Team,GP,W,L,T,OW,OL,W-L%,G,GA,DIFF
1,Pittsburgh Penguins,24,16,8,0,4,3,.667,73,55,18
2,San Jose Sharks,24,14,10,0,1,4,.583,75,56,19
3,Tampa Bay Lightning,17,11,6,0,3,1,.647,48,40,8
4,St. Louis Blues,20,10,10,0,2,2,.500,57,56,1
5,Dallas Stars,13,7,6,0,1,2,.538,35,42,-7
6,Nashville Predators,14,7,7,0,2,0,.500,31,43,-12
7,Washington Capitals,12,6,6,0,1,2,.500,29,22,7
8,New York Islanders,11,5,6,0,3,2,.455,26,32,-6
9,Chicago Blackhawks,7,3,4,0,1,1,.429,20,19,1
10,Anaheim Ducks,7,3,4,0,0,0,.429,18,14,4
11,Minnesota Wild,6,2,4,0,1,0,.333,17,21,-4
12,Florida Panthers,6,2,4,0,0,3,.333,14,15,-1
13,Philadelphia Flyers,6,2,4,0,0,0,.333,6,14,-8
14,New York Rangers,5,1,4,0,0,0,.200,10,21,-11
15,Detroit Red Wings,5,1,4,0,0,0,.200,8,12,-4
16,Los Angeles Kings,5,1,4,0,1,0,.200,11,16,-5
,League Average,11.4,5.7,5.7,0.0,1.7,1.7,.500,29.9,29.9,0
