Rk,Team,GP,W,L,T,OW,OL,W-L%,G,GA,DIFF
1,Tampa Bay Lightning,25,18,7,0,7,2,.720,78,57,21
2,Dallas Stars,27,15,12,0,6,1,.556,78,82,-4
3,New York Islanders,22,13,9,0,2,4,.591,66,51,15
4,Vegas Golden Knights,20,12,8,0,2,2,.600,57,44,13
5,Philadelphia Flyers,16,10,6,0,3,0,.625,38,40,-2
6,Vancouver Canucks,17,10,7,0,2,1,.588,48,45,3
7,Colorado Avalanche,15,9,6,0,0,2,.600,60,41,19
8,Montreal Canadiens,10,5,5,0,1,0,.500,23,19,4
9,Calgary Flames,10,5,5,0,0,1,.500,33,27,6
10,Boston Bruins,13,5,8,0,1,2,.385,29,39,-10
11,Carolina Hurricanes,8,4,4,0,0,1,.500,22,19,3
12,Arizona Coyotes,9,4,5,0,1,0,.444,22,33,-11
13,Chicago Blackhawks,9,4,5,0,0,1,.444,27,30,-3
14,Columbus Blue Jackets,10,4,6,0,1,3,.400,24,24,0
15,Toronto Maple Leafs,5,2,3,0,1,1,.400,10,12,-2
16,Washington Capitals,8,2,6,0,0,2,.250,13,24,-11
17,St. Louis Blues,9,2,7,0,1,2,.222,22,32,-10
18,Nashville Predators,4,1,3,0,0,1,.250,11,14,-3
19,Winnipeg Jets,4,1,3,0,0,0,.250,6,16,-10
20,Minnesota Wild,4,1,3,0,0,1,.250,10,12,-2
21,Florida Panthers,4,1,3,0,0,0,.250,7,13,-6
22,Edmonton Oilers,4,1,3,0,0,0,.250,15,16,-1
23,Pittsburgh Penguins,4,1,3,0,0,1,.250,8,10,-2
24,New York Rangers,3,0,3,0,0,0,.000,4,11,-7
,League Average,10.8,5.4,5.4,0.0,1.4,1.4,.500,29.6,29.6,0
