Rk,Team,GP,W,L,T,OW,OL,W-L%,G,GA,DIFF
1,Washington Capitals,24,16,8,0,3,2,.667,86,61,25
2,Vegas Golden Knights,20,13,7,0,2,1,.650,57,47,10
3,Tampa Bay Lightning,17,11,6,0,1,0,.647,50,48,2
4,Winnipeg Jets,17,9,8,0,0,1,.529,53,42,11
5,Nashville Predators,13,7,6,0,1,0,.538,41,42,-1
6,San Jose Sharks,10,6,4,0,1,1,.600,30,26,4
7,Pittsburgh Penguins,12,6,6,0,0,1,.500,42,34,8
8,Boston Bruins,12,5,7,0,0,1,.417,41,37,4
9,Toronto Maple Leafs,7,3,4,0,0,0,.429,20,28,-8
10,Philadelphia Flyers,6,2,4,0,0,0,.333,15,28,-13
11,Colorado Avalanche,6,2,4,0,0,0,.333,15,22,-7
12,Columbus Blue Jackets,6,2,4,0,2,2,.333,18,24,-6
13,Minnesota Wild,5,1,4,0,0,0,.200,9,16,-7
14,New Jersey Devils,5,1,4,0,0,0,.200,12,18,-6
15,Los Angeles Kings,4,0,4,0,0,1,.000,3,7,-4
16,Anaheim Ducks,4,0,4,0,0,0,.000,4,16,-12
,League Average,10.5,5.3,5.3,0.0,1.0,1.0,.500,31.0,31.0,0
