Rk,Team,GP,W,L,T,OW,OL,W-L%,G,GA,DIFF
1,Pittsburgh Penguins,24,16,8,0,3,1,.667,79,64,15
2,Detroit Red Wings,23,15,8,0,2,2,.652,76,48,28
3,Chicago Blackhawks,17,9,8,0,3,2,.529,54,54,0
4,Carolina Hurricanes,18,8,10,0,3,1,.444,42,52,-10
5,Boston Bruins,11,7,4,0,0,2,.636,34,22,12
6,Anaheim Ducks,13,7,6,0,1,1,.538,35,32,3
7,Washington Capitals,14,7,7,0,1,2,.500,41,38,3
8,Vancouver Canucks,10,6,4,0,1,1,.600,30,28,2
9,New Jersey Devils,7,3,4,0,1,1,.429,15,17,-2
10,New York Rangers,7,3,4,0,0,0,.429,11,19,-8
11,Philadelphia Flyers,6,2,4,0,0,1,.333,16,18,-2
12,Calgary Flames,6,2,4,0,0,1,.333,16,21,-5
13,San Jose Sharks,6,2,4,0,1,0,.333,10,18,-8
14,St. Louis Blues,4,0,4,0,0,1,.000,5,11,-6
15,Montreal Canadiens,4,0,4,0,0,0,.000,6,17,-11
16,Columbus Blue Jackets,4,0,4,0,0,0,.000,7,18,-11
,League Average,10.9,5.4,5.4,0.0,1.2,1.2,.500,29.8,29.8,0
