Rk,Team,GP,W,L,T,OW,OL,W-L%,G,GA,DIFF
1,Chicago Blackhawks,22,16,6,0,3,1,.727,78,62,16
2,Philadelphia Flyers,23,14,9,0,3,2,.609,76,61,15
3,Montreal Canadiens,19,9,10,0,1,1,.474,46,57,-11
4,San Jose Sharks,15,8,7,0,3,2,.533,41,41,0
5,Pittsburgh Penguins,13,7,6,0,1,1,.538,42,38,4
6,Boston Bruins,13,7,6,0,2,1,.538,36,37,-1
7,Vancouver Canucks,12,6,6,0,1,1,.500,43,41,2
8,Detroit Red Wings,12,5,7,0,0,1,.417,43,33,10
9,Phoenix Coyotes,7,3,4,0,0,0,.429,18,26,-8
10,Washington Capitals,7,3,4,0,1,1,.429,22,20,2
11,Ottawa Senators,6,2,4,0,1,1,.333,19,24,-5
12,Colorado Avalanche,6,2,4,0,1,2,.333,11,19,-8
13,Buffalo Sabres,6,2,4,0,0,1,.333,15,16,-1
14,Los Angeles Kings,6,2,4,0,1,1,.333,18,25,-7
15,Nashville Predators,6,2,4,0,0,1,.333,15,17,-2
16,New Jersey Devils,5,1,4,0,0,1,.200,9,15,-6
,League Average,11.1,5.6,5.6,0.0,1.2,1.2,.500,33.3,33.3,0
