Rk,Team,GP,W,L,T,OW,OL,W-L%,G,GA,DIFF
1,Los Angeles Kings,26,16,10,0,5,2,.615,88,70,18
2,New York Rangers,25,13,12,0,2,4,.520,64,60,4
3,Chicago Blackhawks,19,11,8,0,4,3,.579,58,55,3
4,Montreal Canadiens,17,10,7,0,3,2,.588,51,46,5
5,Boston Bruins,12,7,5,0,2,1,.583,30,26,4
6,Anaheim Ducks,13,7,6,0,1,1,.538,35,37,-2
7,Pittsburgh Penguins,13,7,6,0,0,3,.538,35,33,2
8,Minnesota Wild,13,6,7,0,2,3,.462,35,35,0
9,Colorado Avalanche,7,3,4,0,2,2,.429,20,22,-2
10,Philadelphia Flyers,7,3,4,0,0,0,.429,16,19,-3
11,San Jose Sharks,7,3,4,0,1,0,.429,22,26,-4
12,Dallas Stars,6,2,4,0,0,1,.333,18,20,-2
13,Columbus Blue Jackets,6,2,4,0,2,0,.333,18,21,-3
14,St. Louis Blues,6,2,4,0,2,2,.333,14,20,-6
15,Detroit Red Wings,5,1,4,0,0,1,.200,6,14,-8
16,Tampa Bay Lightning,4,0,4,0,0,1,.000,10,16,-6
,League Average,11.6,5.8,5.8,0.0,1.7,1.7,.500,32.5,32.5,0
