Rk,Team,GP,W,L,T,OW,OL,W-L%,G,GA,DIFF
1,Pittsburgh Penguins,25,16,9,0,2,2,.640,77,57,20
2,Nashville Predators,22,14,8,0,2,1,.636,60,48,12
3,Ottawa Senators,19,11,8,0,6,2,.579,47,50,-3
4,Anaheim Ducks,17,10,7,0,4,1,.588,50,52,-2
5,Edmonton Oilers,13,7,6,0,1,3,.538,36,35,1
6,Washington Capitals,13,7,6,0,4,2,.538,36,36,0
7,St. Louis Blues,11,6,5,0,2,0,.545,22,23,-1
8,New York Rangers,12,6,6,0,1,3,.500,34,30,4
9,San Jose Sharks,6,2,4,0,1,1,.333,14,12,2
10,Montreal Canadiens,6,2,4,0,1,1,.333,11,14,-3
11,Boston Bruins,6,2,4,0,1,3,.333,13,15,-2
12,Toronto Maple Leafs,6,2,4,0,2,3,.333,16,18,-2
13,Minnesota Wild,5,1,4,0,0,2,.200,8,11,-3
14,Columbus Blue Jackets,5,1,4,0,0,1,.200,13,21,-8
15,Calgary Flames,4,0,4,0,0,1,.000,9,14,-5
16,Chicago Blackhawks,4,0,4,0,0,1,.000,3,13,-10
,League Average,10.9,5.4,5.4,0.0,1.7,1.7,.500,28.1,28.1,0
