Rk,Team,GP,W,L,T,OW,OL,W-L%,G,GA,DIFF
1,Carolina Hurricanes,25,16,9,0,4,3,.640,73,60,13
2,Edmonton Oilers,24,15,9,0,3,1,.625,70,61,9
3,Buffalo Sabres,18,11,7,0,5,1,.611,60,49,11
4,Mighty Ducks of Anaheim,16,9,7,0,2,1,.563,46,36,10
5,San Jose Sharks,11,6,5,0,0,1,.545,29,29,0
6,New Jersey Devils,9,5,4,0,0,1,.556,27,21,6
7,Ottawa Senators,10,5,5,0,0,3,.500,36,29,7
8,Colorado Avalanche,9,4,5,0,3,1,.444,22,31,-9
9,Calgary Flames,7,3,4,0,1,1,.429,16,17,-1
10,Detroit Red Wings,6,2,4,0,1,1,.333,17,19,-2
11,Philadelphia Flyers,6,2,4,0,0,1,.333,14,27,-13
12,Montreal Canadiens,6,2,4,0,1,2,.333,17,15,2
13,Nashville Predators,5,1,4,0,0,0,.200,10,17,-7
14,Tampa Bay Lightning,5,1,4,0,0,0,.200,13,23,-10
15,Dallas Stars,5,1,4,0,0,3,.200,15,18,-3
16,New York Rangers,4,0,4,0,0,0,.000,4,17,-13
,League Average,10.4,5.2,5.2,0.0,1.5,1.5,.500,29.3,29.3,0
