Rk,Team,GP,W,L,T,OW,OL,W-L%,G,GA,DIFF
1,Chicago Blackhawks,23,16,7,0,4,1,.696,69,60,9
2,Tampa Bay Lightning,26,14,12,0,3,0,.538,65,62,3
3,Anaheim Ducks,16,11,5,0,3,3,.688,57,42,15
4,New York Rangers,19,11,8,0,4,1,.579,45,41,4
5,Washington Capitals,14,7,7,0,1,3,.500,28,28,0
6,Montreal Canadiens,12,6,6,0,2,1,.500,25,29,-4
7,Calgary Flames,11,5,6,0,1,1,.455,27,33,-6
8,Minnesota Wild,10,4,6,0,0,0,.400,24,27,-3
9,New York Islanders,7,3,4,0,1,1,.429,15,16,-1
10,Detroit Red Wings,7,3,4,0,0,1,.429,15,17,-2
11,Ottawa Senators,6,2,4,0,0,2,.333,12,12,0
12,Nashville Predators,6,2,4,0,0,2,.333,21,19,2
13,Vancouver Canucks,6,2,4,0,0,0,.333,14,18,-4
14,St. Louis Blues,6,2,4,0,0,0,.333,14,17,-3
15,Pittsburgh Penguins,5,1,4,0,0,2,.200,8,11,-3
16,Winnipeg Jets,4,0,4,0,0,1,.000,9,16,-7
,League Average,11.1,5.6,5.6,0.0,1.5,1.5,.500,28.0,28.0,0
