Rk,Team,GP,W,L,T,OW,OL,W-L%,G,GA,DIFF
1,Tampa Bay Lightning,23,16,7,0,0,4,.696,75,45,30
2,Montreal Canadiens,22,13,9,0,6,1,.591,51,54,-3
3,New York Islanders,19,11,8,0,4,1,.579,54,53,1
4,Vegas Golden Knights,19,10,9,0,2,4,.526,53,46,7
5,Colorado Avalanche,10,6,4,0,1,1,.600,38,27,11
6,Boston Bruins,11,6,5,0,3,2,.545,33,32,1
7,Carolina Hurricanes,11,5,6,0,3,2,.455,31,30,1
8,Winnipeg Jets,8,4,4,0,3,1,.500,20,22,-2
9,Minnesota Wild,7,3,4,0,1,0,.429,13,20,-7
10,Toronto Maple Leafs,7,3,4,0,0,2,.429,18,14,4
11,Florida Panthers,6,2,4,0,1,0,.333,17,24,-7
12,Pittsburgh Penguins,6,2,4,0,0,2,.333,16,21,-5
13,Nashville Predators,6,2,4,0,2,2,.333,16,22,-6
14,Washington Capitals,5,1,4,0,1,2,.200,10,16,-6
15,St. Louis Blues,4,0,4,0,0,0,.000,7,20,-13
16,Edmonton Oilers,4,0,4,0,0,3,.000,8,14,-6
,League Average,10.5,5.3,5.3,0.0,1.8,1.8,.500,28.8,28.8,0
