Rk,Team,GP,W,L,T,OW,OL,W-L%,G,GA,DIFF
1,Anaheim Ducks,21,16,5,0,4,1,.762,58,45,13
2,Ottawa Senators,20,13,7,0,2,1,.650,59,47,12
3,Detroit Red Wings,18,10,8,0,2,2,.556,48,35,13
4,Buffalo Sabres,16,9,7,0,1,3,.563,44,39,5
5,New York Rangers,10,6,4,0,1,1,.600,30,23,7
6,San Jose Sharks,11,6,5,0,1,1,.545,25,27,-2
7,New Jersey Devils,11,5,6,0,2,0,.455,30,29,1
8,Vancouver Canucks,12,5,7,0,3,3,.417,21,26,-5
9,Dallas Stars,7,3,4,0,1,2,.429,12,13,-1
10,Calgary Flames,6,2,4,0,0,1,.333,10,18,-8
11,Tampa Bay Lightning,6,2,4,0,0,1,.333,14,19,-5
12,Minnesota Wild,5,1,4,0,0,0,.200,9,12,-3
13,Nashville Predators,5,1,4,0,0,1,.200,14,16,-2
14,Pittsburgh Penguins,5,1,4,0,0,0,.200,10,18,-8
15,New York Islanders,5,1,4,0,0,0,.200,11,17,-6
16,Atlanta Thrashers,4,0,4,0,0,0,.000,6,17,-11
,League Average,10.1,5.1,5.1,0.0,1.4,1.4,.500,25.1,25.1,0
