Rk,Team,GP,W,L,T,OW,OL,W-L%,G,GA,DIFF
1,Colorado Avalanche,20,16,4,0,5,1,.800,85,55,30
2,Tampa Bay Lightning,23,14,9,0,1,2,.609,67,61,6
3,New York Rangers,20,10,10,0,1,2,.500,62,58,4
4,Edmonton Oilers,16,8,8,0,1,2,.500,65,59,6
5,Carolina Hurricanes,14,7,7,0,1,0,.500,37,40,-3
6,St. Louis Blues,12,6,6,0,1,1,.500,40,38,2
7,Calgary Flames,12,5,7,0,1,1,.417,35,39,-4
8,Florida Panthers,10,4,6,0,2,0,.400,23,32,-9
9,Boston Bruins,7,3,4,0,0,0,.429,20,24,-4
10,Los Angeles Kings,7,3,4,0,1,0,.429,17,27,-10
11,Toronto Maple Leafs,7,3,4,0,0,1,.429,24,23,1
12,Dallas Stars,7,3,4,0,0,1,.429,14,15,-1
13,Pittsburgh Penguins,7,3,4,0,1,1,.429,29,28,1
14,Minnesota Wild,6,2,4,0,0,0,.333,16,22,-6
15,Washington Capitals,6,2,4,0,0,2,.333,19,20,-1
16,Nashville Predators,4,0,4,0,0,1,.000,9,21,-12
,League Average,11.1,5.6,5.6,0.0,1.1,1.1,.500,35.1,35.1,0
