Rk,Team,GP,W,L,T,OW,OL,W-L%,G,GA,DIFF
1,Chicago Blackhawks,23,16,7,0,5,2,.696,64,48,16
2,Boston Bruins,22,14,8,0,5,3,.636,65,47,18
3,Los Angeles Kings,18,9,9,0,1,3,.500,37,34,3
4,Pittsburgh Penguins,15,8,7,0,2,2,.533,49,40,9
5,San Jose Sharks,11,7,4,0,3,0,.636,25,22,3
6,Detroit Red Wings,14,7,7,0,3,2,.500,33,37,-4
7,Ottawa Senators,10,5,5,0,2,0,.500,31,31,0
8,New York Rangers,12,5,7,0,1,3,.417,26,28,-2
9,Anaheim Ducks,7,3,4,0,1,3,.429,21,18,3
10,Toronto Maple Leafs,7,3,4,0,0,2,.429,18,22,-4
11,Washington Capitals,7,3,4,0,2,0,.429,12,16,-4
12,St. Louis Blues,6,2,4,0,1,1,.333,10,12,-2
13,New York Islanders,6,2,4,0,0,2,.333,17,25,-8
14,Minnesota Wild,5,1,4,0,1,1,.200,7,17,-10
15,Montreal Canadiens,5,1,4,0,0,1,.200,9,20,-11
16,Vancouver Canucks,4,0,4,0,0,2,.000,8,15,-7
,League Average,10.8,5.4,5.4,0.0,1.7,1.7,.500,27.0,27.0,0
